"","date","XOM"
"362",2022-04-19,0.0672999999999999
"363",2022-04-20,0.0733
"364",2022-04-21,0.0768
"365",2022-04-22,0.0998000000000001
"366",2022-04-25,0.1084
"367",2022-04-26,0.1172
"368",2022-04-27,0.1155
"369",2022-04-28,0.1258
"370",2022-04-29,0.1325
"371",2022-05-02,0.1358
"372",2022-05-03,0.1346
"373",2022-05-04,0.1399
"374",2022-05-05,0.1435
"375",2022-05-06,0.1503
"376",2022-05-09,0.1485
"377",2022-05-10,0.1532
"378",2022-05-11,0.1567
"379",2022-05-12,0.1658
"380",2022-05-13,0.1657
"381",2022-05-16,0.1839
"382",2022-05-17,0.1864
"383",2022-05-18,0.175
"384",2022-05-19,0.1769
"385",2022-05-20,0.1833
"386",2022-05-23,0.1818
"387",2022-05-24,0.1767
"388",2022-05-25,0.1614
"389",2022-05-26,0.1654
"390",2022-05-27,0.1625
"391",2022-05-31,0.1719
"392",2022-06-01,0.1756
"393",2022-06-02,0.1871
"394",2022-06-03,0.1888
"395",2022-06-06,0.2021
"396",2022-06-07,0.1962
"397",2022-06-08,0.1892
"398",2022-06-09,0.1853
"399",2022-06-10,0.185
"400",2022-06-13,0.1854
"401",2022-06-14,0.1965
"402",2022-06-15,0.205
"403",2022-06-16,0.1991
"404",2022-06-17,0.1953
"405",2022-06-21,0.2045
"406",2022-06-22,0.2167
"407",2022-06-23,0.2188
"408",2022-06-24,0.2135
"409",2022-06-27,0.2237
"410",2022-06-28,0.2162
"411",2022-06-29,0.2226
"412",2022-06-30,0.2226
"413",2022-07-01,0.2242
"414",2022-07-05,0.2254
"415",2022-07-06,0.2331
"416",2022-07-07,0.2266
"417",2022-07-08,0.2405
"418",2022-07-11,0.2387
"419",2022-07-12,0.243
"420",2022-07-13,0.2417
"421",2022-07-14,0.2463
"422",2022-07-15,0.2456
"423",2022-07-18,0.2402
"424",2022-07-19,0.2349
"425",2022-07-20,0.2362
"426",2022-07-21,0.244
"427",2022-07-22,0.2444
"428",2022-07-25,0.2458
"429",2022-07-26,0.2491
"430",2022-07-27,0.2465
"431",2022-07-28,0.251
"432",2022-07-29,0.2518
"433",2022-08-01,0.249
"434",2022-08-02,0.2483
"435",2022-08-03,0.2575
"436",2022-08-04,0.2568
"437",2022-08-05,0.2613
"438",2022-08-08,0.2548
"439",2022-08-09,0.2515
"440",2022-08-10,0.25
"441",2022-08-11,0.2601
"442",2022-08-12,0.2657
"443",2022-08-15,0.261
"444",2022-08-16,0.2539
"445",2022-08-17,0.2539
"446",2022-08-18,0.2499
"447",2022-08-19,0.2494
"448",2022-08-22,0.2451
"449",2022-08-23,0.2464
"450",2022-08-24,0.2547
"451",2022-08-25,0.2537
"452",2022-08-26,0.2452
"453",2022-08-29,0.242
"454",2022-08-30,0.2343
"455",2022-08-31,0.2307
"456",2022-09-01,0.2257
"457",2022-09-02,0.2227
"458",2022-09-06,0.2183
"459",2022-09-07,0.2197
"460",2022-09-08,0.2101
"461",2022-09-09,0.2227
"462",2022-09-12,0.228
"463",2022-09-13,0.2166
"464",2022-09-14,0.2102
"465",2022-09-15,0.2193
"466",2022-09-16,0.2162
"467",2022-09-19,0.233
"468",2022-09-20,0.2375
"469",2022-09-21,0.2532
"470",2022-09-22,0.2523
"471",2022-09-23,0.2508
"472",2022-09-26,0.2405
"473",2022-09-27,0.2366
"474",2022-09-28,0.22
"475",2022-09-29,0.2139
"476",2022-09-30,0.2011
"477",2022-10-03,0.2154
"478",2022-10-04,0.2102
"479",2022-10-05,0.2047
"480",2022-10-06,0.1935
"481",2022-10-07,0.1879
"482",2022-10-10,0.1735
"483",2022-10-11,0.1602
"484",2022-10-12,0.1682
"485",2022-10-13,0.1597
"486",2022-10-14,0.1689
"487",2022-10-17,0.1505
"488",2022-10-18,0.1316
"489",2022-10-19,0.1248
"490",2022-10-20,0.1247
"491",2022-10-21,0.119
"492",2022-10-24,0.1145
"493",2022-10-25,0.0936
"494",2022-10-26,0.0800000000000001
"495",2022-10-27,0.0735
"496",2022-10-28,0.0759
"497",2022-10-31,0.0761999999999999
"498",2022-11-01,0.0678
"499",2022-11-02,0.0566
"500",2022-11-03,0.043
"501",2022-11-04,0.046
"502",2022-11-07,0.0518000000000001
"503",2022-11-08,0.0576
"504",2022-11-09,0.0465
"505",2022-11-10,0.0481
"506",2022-11-11,0.0432
"507",2022-11-14,0.042
"508",2022-11-15,0.0484
"509",2022-11-16,0.0438999999999999
"510",2022-11-17,0.0562
"511",2022-11-18,0.0522
"512",2022-11-21,0.0538
"513",2022-11-22,0.0555
"514",2022-11-23,0.0561
"515",2022-11-25,0.0630000000000001
"516",2022-11-28,0.0689
"517",2022-11-29,0.0730999999999999
"518",2022-11-30,0.0753
"519",2022-12-01,0.0833
"520",2022-12-02,0.0901
"521",2022-12-05,0.1002
"522",2022-12-06,0.1049
"523",2022-12-07,0.109
"524",2022-12-08,0.1157
"525",2022-12-09,0.1224
"526",2022-12-12,0.1274
"527",2022-12-13,0.1383
"528",2022-12-14,0.1448
"529",2022-12-15,0.1481
"530",2022-12-16,0.1506
"531",2022-12-19,0.1575
"532",2022-12-20,0.1713
"533",2022-12-21,0.1845
"534",2022-12-22,0.1991
"535",2022-12-23,0.2165
"536",2022-12-27,0.2287
"537",2022-12-28,0.2441
"538",2022-12-29,0.2574
"539",2022-12-30,0.2674
"540",2023-01-03,0.2721
"541",2023-01-04,0.2827
"542",2023-01-05,0.2792
"543",2023-01-06,0.2816
"544",2023-01-09,0.2813
"545",2023-01-10,0.2863
"546",2023-01-11,0.269
"547",2023-01-12,0.245
"548",2023-01-13,0.2116
"549",2023-01-17,0.2054
"550",2023-01-18,0.1788
"551",2023-01-19,0.1492
"552",2023-01-20,0.1462
"553",2023-01-23,0.1329
"554",2023-01-24,0.1394
"555",2023-01-25,0.142
"556",2023-01-26,0.148
"557",2023-01-27,0.1571
"558",2023-01-30,0.1614
"559",2023-01-31,0.1625
"560",2023-02-01,0.1699
"561",2023-02-02,0.1697
"562",2023-02-03,0.1626
"563",2023-02-06,0.1691
"564",2023-02-07,0.1721
"565",2023-02-08,0.1833
"566",2023-02-09,0.1832
"567",2023-02-10,0.1867
"568",2023-02-13,0.1903
"569",2023-02-14,0.1952
"570",2023-02-15,0.1992
"571",2023-02-16,0.203
"572",2023-02-17,0.1936
"573",2023-02-21,0.1908
"574",2023-02-22,0.1881
"575",2023-02-23,0.1989
"576",2023-02-24,0.1983
"577",2023-02-27,0.2003
"578",2023-02-28,0.2023
"579",2023-03-01,0.1964
"580",2023-03-02,0.199
"581",2023-03-03,0.1999
"582",2023-03-06,0.1984
"583",2023-03-07,0.1973
"584",2023-03-08,0.1921
"585",2023-03-09,0.1968
"586",2023-03-10,0.1899
"587",2023-03-13,0.1917
"588",2023-03-14,0.1849
"589",2023-03-15,0.1813
"590",2023-03-16,0.1759
"591",2023-03-17,0.1789
"592",2023-03-20,0.1747
"593",2023-03-21,0.1773
"594",2023-03-22,0.1733
"595",2023-03-23,0.1703
"596",2023-03-24,0.1648
"597",2023-03-27,0.1579
"598",2023-03-28,0.1537
"599",2023-03-29,0.1542
"600",2023-03-30,0.1501
"601",2023-03-31,0.154
"602",2023-04-03,0.1502
"603",2023-04-04,0.1502
"604",2023-04-05,0.1494
"605",2023-04-06,0.141
"606",2023-04-10,0.1214
"607",2023-04-11,0.1084
"608",2023-04-12,0.0976
"609",2023-04-13,0.0862999999999999
"610",2023-04-14,0.0838
"611",2023-04-17,0.0874
"612",2023-04-18,0.0797
"613",2023-04-19,0.0815
"614",2023-04-20,0.0848
"615",2023-04-21,0.0803
"616",2023-04-24,0.0725
"617",2023-04-25,0.0737
"618",2023-04-26,0.0706
"619",2023-04-27,0.0693999999999999
"620",2023-04-28,0.0672999999999999
"621",2023-05-01,0.0606
"622",2023-05-02,0.0531
"623",2023-05-03,0.0560999999999999
"624",2023-05-04,0.0587
"625",2023-05-05,0.0601
"626",2023-05-08,0.05
"627",2023-05-09,0.0467000000000001
"628",2023-05-10,0.0440999999999999
"629",2023-05-11,0.043
"630",2023-05-12,0.0394
"631",2023-05-15,0.0436
"632",2023-05-16,0.0407000000000001
"633",2023-05-17,0.0412
"634",2023-05-18,0.0383
"635",2023-05-19,0.0389
"636",2023-05-22,0.0333
"637",2023-05-23,0.0337999999999999
"638",2023-05-24,0.0321
"639",2023-05-25,0.033
"640",2023-05-26,0.0316
"641",2023-05-30,0.0346000000000001
"642",2023-05-31,0.0343
"643",2023-06-01,0.0347
"644",2023-06-02,0.036
"645",2023-06-05,0.0367
"646",2023-06-06,0.0374
"647",2023-06-07,0.0351
"648",2023-06-08,0.0323
"649",2023-06-09,0.0344000000000001
"650",2023-06-12,0.0355000000000001
"651",2023-06-13,0.0377
"652",2023-06-14,0.0408000000000001
"653",2023-06-15,0.0453
"654",2023-06-16,0.0461
"655",2023-06-20,0.0561999999999999
"656",2023-06-21,0.0550999999999999
"657",2023-06-22,0.051
"658",2023-06-23,0.0565
"659",2023-06-26,0.0587000000000001
"660",2023-06-27,0.0609000000000001
"661",2023-06-28,0.0741000000000001
"662",2023-06-29,0.0800000000000001
