"","date","UNH"
"352",2020-10-28,0.3255
"353",2020-10-29,0.311
"354",2020-10-30,0.3379
"355",2020-11-02,0.2995
"356",2020-11-03,0.3203
"357",2020-11-04,0.3157
"358",2020-11-05,0.3075
"359",2020-11-06,0.3056
"360",2020-11-09,0.3261
"361",2020-11-10,0.2937
"362",2020-11-11,0.3077
"363",2020-11-12,0.2745
"364",2020-11-13,0.2977
"365",2020-11-16,0.2769
"366",2020-11-17,0.3043
"367",2020-11-18,0.3197
"368",2020-11-19,0.3113
"369",2020-11-20,0.3063
"370",2020-11-23,0.3374
"371",2020-11-24,0.3378
"372",2020-11-25,0.3715
"373",2020-11-27,0.3129
"374",2020-11-30,0.3439
"375",2020-12-01,0.3136
"376",2020-12-02,0.3303
"377",2020-12-03,0.314
"378",2020-12-04,0.3072
"379",2020-12-07,0.2888
"380",2020-12-08,0.3168
"381",2020-12-09,0.346
"382",2020-12-10,0.4139
"383",2020-12-11,0.3756
"384",2020-12-14,0.3838
"385",2020-12-15,0.3377
"386",2020-12-16,0.3818
"387",2020-12-17,0.4053
"388",2020-12-18,0.4058
"389",2020-12-21,0.3815
"390",2020-12-22,0.3575
"391",2020-12-23,0.3458
"392",2020-12-24,0.381
"393",2020-12-28,0.3832
"394",2020-12-29,0.3902
"395",2020-12-30,0.3559
"396",2020-12-31,0.4068
"397",2021-01-04,0.41
"398",2021-01-05,0.3985
"399",2021-01-06,0.349
"400",2021-01-07,0.3524
"401",2021-01-08,0.3356
"402",2021-01-11,0.3595
"403",2021-01-12,0.3297
"404",2021-01-13,0.3573
"405",2021-01-14,0.3361
"406",2021-01-15,0.3496
"407",2021-01-19,0.362
"408",2021-01-20,0.3682
"409",2021-01-21,0.3249
"410",2021-01-22,0.3307
"411",2021-01-25,0.3459
"412",2021-01-26,0.3819
"413",2021-01-27,0.336
"414",2021-01-28,0.3502
"415",2021-01-29,0.3167
"416",2021-02-01,0.3126
"417",2021-02-02,0.3019
"418",2021-02-03,0.319
"419",2021-02-04,0.3271
"420",2021-02-05,0.3408
"421",2021-02-08,0.3263
"422",2021-02-09,0.3585
"423",2021-02-10,0.3028
"424",2021-02-11,0.3015
"425",2021-02-12,0.2615
"426",2021-02-16,0.2843
"427",2021-02-17,0.2689
"428",2021-02-18,0.272
"429",2021-02-19,0.2682
"430",2021-02-22,0.2853
"431",2021-02-23,0.284
"432",2021-02-24,0.3032
"433",2021-02-25,0.2381
"434",2021-02-26,0.2519
"435",2021-03-01,0.2349
"436",2021-03-02,0.2723
"437",2021-03-03,0.291
"438",2021-03-04,0.2784
"439",2021-03-05,0.2258
"440",2021-03-08,0.2349
"441",2021-03-09,0.2479
"442",2021-03-10,0.2836
"443",2021-03-11,0.2518
"444",2021-03-12,0.2984
"445",2021-03-15,0.2559
"446",2021-03-16,0.2804
"447",2021-03-17,0.2716
"448",2021-03-18,0.2668
"449",2021-03-19,0.2335
"450",2021-03-22,0.2643
"451",2021-03-23,0.283
"452",2021-03-24,0.3244
"453",2021-03-25,0.3098
"454",2021-03-26,0.3253
"455",2021-03-29,0.2978
"456",2021-03-30,0.3291
"457",2021-03-31,0.3219
"458",2021-04-01,0.3424
"459",2021-04-05,0.3417
"460",2021-04-06,0.3459
"461",2021-04-07,0.3419
"462",2021-04-08,0.3856
"463",2021-04-09,0.3638
"464",2021-04-12,0.3943
"465",2021-04-13,0.3737
"466",2021-04-14,0.3988
"467",2021-04-15,0.3948
"468",2021-04-16,0.3967
"469",2021-04-19,0.3513
"470",2021-04-20,0.3792
"471",2021-04-21,0.3834
"472",2021-04-22,0.4587
"473",2021-04-23,0.4537
"474",2021-04-26,0.4742
"475",2021-04-27,0.4288
"476",2021-04-28,0.4436
"477",2021-04-29,0.4563
"478",2021-04-30,0.4531
"479",2021-05-03,0.4345
"480",2021-05-04,0.4393
"481",2021-05-05,0.4289
