"","date","GOOG"
"79",2022-08-09,0.2319
"80",2022-08-10,0.2336
"81",2022-08-11,0.2358
"82",2022-08-12,0.2265
"83",2022-08-15,0.2236
"84",2022-08-16,0.2312
"85",2022-08-17,0.2321
"86",2022-08-18,0.2332
"87",2022-08-19,0.2333
"88",2022-08-22,0.2252
"89",2022-08-23,0.2277
"90",2022-08-24,0.2264
"91",2022-08-25,0.2268
"92",2022-08-26,0.2294
"93",2022-08-29,0.2247
"94",2022-08-30,0.2293
"95",2022-08-31,0.2359
"96",2022-09-01,0.2387
"97",2022-09-02,0.2395
"98",2022-09-06,0.2369
"99",2022-09-07,0.232
"100",2022-09-08,0.2308
"101",2022-09-09,0.2333
"102",2022-09-12,0.2314
"103",2022-09-13,0.2219
"104",2022-09-14,0.2229
"105",2022-09-15,0.2293
"106",2022-09-16,0.2354
"107",2022-09-19,0.2383
"108",2022-09-20,0.24
"109",2022-09-21,0.2399
"110",2022-09-22,0.2391
"111",2022-09-23,0.2408
"112",2022-09-26,0.2361
"113",2022-09-27,0.2306
"114",2022-09-28,0.2287
"115",2022-09-29,0.2283
"116",2022-09-30,0.2245
"117",2022-10-03,0.2276
"118",2022-10-04,0.2281
"119",2022-10-05,0.2318
"120",2022-10-06,0.2408
"121",2022-10-07,0.2326
"122",2022-10-10,0.235
"123",2022-10-11,0.2279
"124",2022-10-12,0.2266
"125",2022-10-13,0.2302
"126",2022-10-14,0.229
"127",2022-10-17,0.2308
"128",2022-10-18,0.2297
"129",2022-10-19,0.2297
"130",2022-10-20,0.2273
"131",2022-10-21,0.2334
"132",2022-10-24,0.2342
"133",2022-10-25,0.2252
"134",2022-10-26,0.2263
"135",2022-10-27,0.2257
"136",2022-10-28,0.2278
"137",2022-10-31,0.2272
"138",2022-11-01,0.2207
"139",2022-11-02,0.2247
"140",2022-11-03,0.2281
"141",2022-11-04,0.2321
"142",2022-11-07,0.2314
"143",2022-11-08,0.2255
"144",2022-11-09,0.2301
"145",2022-11-10,0.2321
"146",2022-11-11,0.2323
"147",2022-11-14,0.2328
"148",2022-11-15,0.2353
"149",2022-11-16,0.2442
"150",2022-11-17,0.2473
"151",2022-11-18,0.2423
"152",2022-11-21,0.2344
"153",2022-11-22,0.2267
"154",2022-11-23,0.2235
"155",2022-11-25,0.229
"156",2022-11-28,0.2367
"157",2022-11-29,0.2301
"158",2022-11-30,0.2302
"159",2022-12-01,0.2312
"160",2022-12-02,0.2289
"161",2022-12-05,0.2353
"162",2022-12-06,0.237
"163",2022-12-07,0.2305
"164",2022-12-08,0.2335
"165",2022-12-09,0.233
"166",2022-12-12,0.2301
"167",2022-12-13,0.2308
"168",2022-12-14,0.2258
"169",2022-12-15,0.2274
"170",2022-12-16,0.2313
"171",2022-12-19,0.2335
"172",2022-12-20,0.2294
"173",2022-12-21,0.2217
"174",2022-12-22,0.2284
"175",2022-12-23,0.2377
"176",2022-12-27,0.2326
"177",2022-12-28,0.2303
"178",2022-12-29,0.2273
"179",2022-12-30,0.2263
"180",2023-01-03,0.2279
"181",2023-01-04,0.2259
"182",2023-01-05,0.2231
"183",2023-01-06,0.2146
"184",2023-01-09,0.218
"185",2023-01-10,0.2248
"186",2023-01-11,0.2237
"187",2023-01-12,0.2157
"188",2023-01-13,0.2191
"189",2023-01-17,0.2208
"190",2023-01-18,0.2175
"191",2023-01-19,0.2212
"192",2023-01-20,0.2242
"193",2023-01-23,0.2138
"194",2023-01-24,0.2113
"195",2023-01-25,0.2121
"196",2023-01-26,0.213
"197",2023-01-27,0.2171
"198",2023-01-30,0.2096
"199",2023-01-31,0.2063
"200",2023-02-01,0.207
"201",2023-02-02,0.2108
"202",2023-02-03,0.2108
"203",2023-02-06,0.2081
"204",2023-02-07,0.2127
"205",2023-02-08,0.2135
"206",2023-02-09,0.2187
"207",2023-02-10,0.2182
"208",2023-02-13,0.2128
"209",2023-02-14,0.2118
"210",2023-02-15,0.2111
"211",2023-02-16,0.2151
"212",2023-02-17,0.2131
"213",2023-02-21,0.207
"214",2023-02-22,0.2078
"215",2023-02-23,0.2151
"216",2023-02-24,0.218
"217",2023-02-27,0.2149
"218",2023-02-28,0.2209
"219",2023-03-01,0.2242
"220",2023-03-02,0.2223
"221",2023-03-03,0.2242
"222",2023-03-06,0.2279
"223",2023-03-07,0.2225
"224",2023-03-08,0.2169
"225",2023-03-09,0.2187
"226",2023-03-10,0.2161
"227",2023-03-13,0.2174
"228",2023-03-14,0.2161
"229",2023-03-15,0.2151
"230",2023-03-16,0.2203
