"","date","AVGO"
"333",2022-03-08,0.165
"334",2022-03-09,0.1657
"335",2022-03-10,0.1678
"336",2022-03-11,0.1721
"337",2022-03-14,0.1701
"338",2022-03-15,0.1949
"339",2022-03-16,0.2109
"340",2022-03-17,0.217
"341",2022-03-18,0.2052
"342",2022-03-21,0.1942
"343",2022-03-22,0.1597
"344",2022-03-23,0.1533
"345",2022-03-24,0.145
"346",2022-03-25,0.1607
"347",2022-03-28,0.1636
"348",2022-03-29,0.1633
"349",2022-03-30,0.17
"350",2022-03-31,0.1771
"351",2022-04-01,0.18
"352",2022-04-04,0.1981
"353",2022-04-05,0.1905
"354",2022-04-06,0.1912
"355",2022-04-07,0.1706
"356",2022-04-08,0.1857
"357",2022-04-11,0.184
"358",2022-04-12,0.1892
"359",2022-04-13,0.2088
"360",2022-04-14,0.2138
"361",2022-04-18,0.1948
"362",2022-04-19,0.2053
"363",2022-04-20,0.1918
"364",2022-04-21,0.2013
"365",2022-04-22,0.2163
"366",2022-04-25,0.2223
"367",2022-04-26,0.2391
"368",2022-04-27,0.249
"369",2022-04-28,0.2566
"370",2022-04-29,0.2629
"371",2022-05-02,0.2588
"372",2022-05-03,0.271
"373",2022-05-04,0.2474
"374",2022-05-05,0.2537
"375",2022-05-06,0.2456
"376",2022-05-09,0.2483
"377",2022-05-10,0.2363
"378",2022-05-11,0.2574
"379",2022-05-12,0.2805
"380",2022-05-13,0.2995
"381",2022-05-16,0.2968
"382",2022-05-17,0.298
"383",2022-05-18,0.2831
"384",2022-05-19,0.2817
"385",2022-05-20,0.2612
"386",2022-05-23,0.2649
"387",2022-05-24,0.2565
"388",2022-05-25,0.246
"389",2022-05-26,0.2552
"390",2022-05-27,0.2499
"391",2022-05-31,0.2493
"392",2022-06-01,0.2692
"393",2022-06-02,0.2583
"394",2022-06-03,0.2692
"395",2022-06-06,0.273
"396",2022-06-07,0.2609
"397",2022-06-08,0.2341
"398",2022-06-09,0.2325
"399",2022-06-10,0.2229
"400",2022-06-13,0.2287
"401",2022-06-14,0.2237
"402",2022-06-15,0.2301
"403",2022-06-16,0.2161
"404",2022-06-17,0.2265
"405",2022-06-21,0.226
"406",2022-06-22,0.228
"407",2022-06-23,0.2253
"408",2022-06-24,0.2257
"409",2022-06-27,0.2196
"410",2022-06-28,0.2109
"411",2022-06-29,0.2066
"412",2022-06-30,0.2144
"413",2022-07-01,0.1915
"414",2022-07-05,0.1934
"415",2022-07-06,0.1856
"416",2022-07-07,0.1969
"417",2022-07-08,0.2029
"418",2022-07-11,0.2156
"419",2022-07-12,0.2245
"420",2022-07-13,0.2176
"421",2022-07-14,0.1979
"422",2022-07-15,0.2034
"423",2022-07-18,0.1807
"424",2022-07-19,0.1788
"425",2022-07-20,0.1773
"426",2022-07-21,0.1861
"427",2022-07-22,0.1797
"428",2022-07-25,0.202
"429",2022-07-26,0.2119
"430",2022-07-27,0.2117
"431",2022-07-28,0.2082
"432",2022-07-29,0.1943
"433",2022-08-01,0.1631
"434",2022-08-02,0.1714
"435",2022-08-03,0.1712
"436",2022-08-04,0.1825
"437",2022-08-05,0.1908
"438",2022-08-08,0.1796
"439",2022-08-09,0.1819
"440",2022-08-10,0.1897
"441",2022-08-11,0.1785
"442",2022-08-12,0.1937
"443",2022-08-15,0.1814
