"","date","INTU"
"340",2020-10-12,0.1088
"341",2020-10-13,0.1538
"342",2020-10-14,0.1559
"343",2020-10-15,0.1304
"344",2020-10-16,0.1319
"345",2020-10-19,0.1103
"346",2020-10-20,0.1358
"347",2020-10-21,0.1314
"348",2020-10-22,0.1186
"349",2020-10-23,0.0858
"350",2020-10-26,0.0942
"351",2020-10-27,0.1274
"352",2020-10-28,0.1511
"353",2020-10-29,0.1635
"354",2020-10-30,0.1961
"355",2020-11-02,0.1527
"356",2020-11-03,0.1808
"357",2020-11-04,0.1768
"358",2020-11-05,0.1719
"359",2020-11-06,0.1576
"360",2020-11-09,0.1641
"361",2020-11-10,0.1517
"362",2020-11-11,0.181
"363",2020-11-12,0.1614
"364",2020-11-13,0.1673
"365",2020-11-16,0.1697
"366",2020-11-17,0.1678
"367",2020-11-18,0.182
"368",2020-11-19,0.1764
"369",2020-11-20,0.1901
"370",2020-11-23,0.2262
"371",2020-11-24,0.2516
"372",2020-11-25,0.245
"373",2020-11-27,0.212
"374",2020-11-30,0.2122
"375",2020-12-01,0.185
"376",2020-12-02,0.1713
"377",2020-12-03,0.1289
"378",2020-12-04,0.1273
"379",2020-12-07,0.1017
"380",2020-12-08,0.1487
"381",2020-12-09,0.1774
"382",2020-12-10,0.2236
"383",2020-12-11,0.2029
"384",2020-12-14,0.1944
"385",2020-12-15,0.1597
"386",2020-12-16,0.1725
"387",2020-12-17,0.1535
"388",2020-12-18,0.1197
"389",2020-12-21,0.1077
"390",2020-12-22,0.105
"391",2020-12-23,0.1121
"392",2020-12-24,0.1517
"393",2020-12-28,0.17
"394",2020-12-29,0.1609
"395",2020-12-30,0.1707
"396",2020-12-31,0.1829
"397",2021-01-04,0.1698
"398",2021-01-05,0.1719
"399",2021-01-06,0.1359
"400",2021-01-07,0.1328
"401",2021-01-08,0.1339
"402",2021-01-11,0.1327
"403",2021-01-12,0.1129
"404",2021-01-13,0.1504
"405",2021-01-14,0.1204
"406",2021-01-15,0.2112
"407",2021-01-19,0.1865
"408",2021-01-20,0.1682
"409",2021-01-21,0.13
"410",2021-01-22,0.1406
