"","date","FANG"
"586",2021-10-04,0.0488
"587",2021-10-05,0.0494
"588",2021-10-06,0.0513
"589",2021-10-07,0.0455
"590",2021-10-08,0.0548000000000001
"591",2021-10-11,0.0621
"592",2021-10-12,0.0682
"593",2021-10-13,0.0680999999999999
"594",2021-10-14,0.0888
"595",2021-10-15,0.0918
"596",2021-10-18,0.0846
"597",2021-10-19,0.0748
"598",2021-10-20,0.0753
"599",2021-10-21,0.0736000000000001
"600",2021-10-22,0.1032
"601",2021-10-25,0.1269
"602",2021-10-26,0.1361
"603",2021-10-27,0.1311
"604",2021-10-28,0.1604
"605",2021-10-29,0.1655
"606",2021-11-01,0.1523
"607",2021-11-02,0.1252
"608",2021-11-03,0.1372
"609",2021-11-04,0.1479
"610",2021-11-05,0.1483
"611",2021-11-08,0.1407
"612",2021-11-09,0.1444
"613",2021-11-10,0.151
"614",2021-11-11,0.134
"615",2021-11-12,0.1317
"616",2021-11-15,0.1354
"617",2021-11-16,0.1422
"618",2021-11-17,0.1454
"619",2021-11-18,0.1409
"620",2021-11-19,0.1459
"621",2021-11-22,0.1459
"622",2021-11-23,0.1627
"623",2021-11-24,0.1497
"624",2021-11-26,0.1734
"625",2021-11-29,0.1918
"626",2021-11-30,0.1943
"627",2021-12-01,0.1891
"628",2021-12-02,0.1846
"629",2021-12-03,0.1853
"630",2021-12-06,0.2107
"631",2021-12-07,0.1924
"632",2021-12-08,0.1998
"633",2021-12-09,0.183
"634",2021-12-10,0.1877
"635",2021-12-13,0.1743
"636",2021-12-14,0.1925
"637",2021-12-15,0.2142
"638",2021-12-16,0.2067
"639",2021-12-17,0.1901
"640",2021-12-20,0.1987
"641",2021-12-21,0.1979
"642",2021-12-22,0.1875
"643",2021-12-23,0.1691
"644",2021-12-27,0.1574
"645",2021-12-28,0.1703
"646",2021-12-29,0.1654
"647",2021-12-30,0.1381
"648",2021-12-31,0.1448
"649",2022-01-03,0.1435
"650",2022-01-04,0.1407
"651",2022-01-05,0.1147
"652",2022-01-06,0.1138
"653",2022-01-07,0.0746
"654",2022-01-10,0.0613
"655",2022-01-11,0.0446
"656",2022-01-12,0.0346
"657",2022-01-13,0.0338000000000001
"658",2022-01-14,0.0318999999999999
"659",2022-01-18,0.0243
"660",2022-01-19,0.0406
"661",2022-01-20,0.0449999999999999
"662",2022-01-21,0.0461999999999999
"663",2022-01-24,0.0449999999999999
"664",2022-01-25,0.0539999999999999
"665",2022-01-26,0.0489000000000001
"666",2022-01-27,0.0381999999999999
"667",2022-01-28,0.0270999999999999
"668",2022-01-31,0.0319
"669",2022-02-01,0.0378999999999999
"670",2022-02-02,0.0476
"671",2022-02-03,0.0422
"672",2022-02-04,0.0502
"673",2022-02-07,0.0617
"674",2022-02-08,0.0576
"675",2022-02-09,0.0633
"676",2022-02-10,0.0778
"677",2022-02-11,0.0695
"678",2022-02-14,0.0756
"679",2022-02-15,0.0598000000000001
"680",2022-02-16,0.0538
"681",2022-02-17,0.0428000000000001
"682",2022-02-18,0.0630999999999999
"683",2022-02-22,0.0705
"684",2022-02-23,0.0842999999999999
"685",2022-02-24,0.1084
"686",2022-02-25,0.0965
"687",2022-02-28,0.0875
"688",2022-03-01,0.0931
"689",2022-03-02,0.1005
"690",2022-03-03,0.1214
"691",2022-03-04,0.1105
"692",2022-03-07,0.1245
"693",2022-03-08,0.1268
"694",2022-03-09,0.1311
"695",2022-03-10,0.1327
"696",2022-03-11,0.1524
"697",2022-03-14,0.1639
"698",2022-03-15,0.1744
"699",2022-03-16,0.1753
"700",2022-03-17,0.1832
"701",2022-03-18,0.1816
"702",2022-03-21,0.1879
"703",2022-03-22,0.1686
"704",2022-03-23,0.1661
"705",2022-03-24,0.1661
"706",2022-03-25,0.1626
"707",2022-03-28,0.1582
"708",2022-03-29,0.1557
"709",2022-03-30,0.1469
"710",2022-03-31,0.1291
"711",2022-04-01,0.1207
"712",2022-04-04,0.1249
"713",2022-04-05,0.1265
