"","date","AMD"
"257",2023-04-25,0.1781
"258",2023-04-26,0.1753
"259",2023-04-27,0.1711
"260",2023-04-28,0.1776
"261",2023-05-01,0.1764
"262",2023-05-02,0.1769
"263",2023-05-03,0.1761
"264",2023-05-04,0.1752
"265",2023-05-05,0.176
"266",2023-05-08,0.1761
"267",2023-05-09,0.1759
"268",2023-05-10,0.1747
"269",2023-05-11,0.1745
"270",2023-05-12,0.1691
"271",2023-05-15,0.1687
"272",2023-05-16,0.1736
"273",2023-05-17,0.1747
"274",2023-05-18,0.1801
"275",2023-05-19,0.1814
"276",2023-05-22,0.1838
"277",2023-05-23,0.1817
"278",2023-05-24,0.1818
"279",2023-05-25,0.1812
"280",2023-05-26,0.1829
"281",2023-05-30,0.1801
"282",2023-05-31,0.1818
"283",2023-06-01,0.1828
"284",2023-06-02,0.1831
"285",2023-06-05,0.1862
"286",2023-06-06,0.1878
"287",2023-06-07,0.1875
"288",2023-06-08,0.1879
"289",2023-06-09,0.1868
"290",2023-06-12,0.1893
"291",2023-06-13,0.1891
"292",2023-06-14,0.1888
"293",2023-06-15,0.1896
"294",2023-06-16,0.1894
"295",2023-06-20,0.1856
"296",2023-06-21,0.1909
"297",2023-06-22,0.1924
"298",2023-06-23,0.1867
"299",2023-06-26,0.1857
"300",2023-06-27,0.1891
"301",2023-06-28,0.1889
"302",2023-06-29,0.19
