"","date","CDNS"
"177",2022-12-28,0.2974
"178",2022-12-29,0.2965
"179",2022-12-30,0.2929
"180",2023-01-03,0.2967
"181",2023-01-04,0.2907
"182",2023-01-05,0.2974
"183",2023-01-06,0.3043
"184",2023-01-09,0.3091
"185",2023-01-10,0.3053
"186",2023-01-11,0.3043
"187",2023-01-12,0.3038
"188",2023-01-13,0.3094
"189",2023-01-17,0.303
"190",2023-01-18,0.3107
"191",2023-01-19,0.3057
"192",2023-01-20,0.3078
"193",2023-01-23,0.3036
"194",2023-01-24,0.2993
"195",2023-01-25,0.2935
"196",2023-01-26,0.2931
"197",2023-01-27,0.2934
"198",2023-01-30,0.2926
"199",2023-01-31,0.2953
"200",2023-02-01,0.3008
"201",2023-02-02,0.2939
"202",2023-02-03,0.2997
"203",2023-02-06,0.3008
"204",2023-02-07,0.3018
"205",2023-02-08,0.3012
"206",2023-02-09,0.3018
"207",2023-02-10,0.2975
"208",2023-02-13,0.293
"209",2023-02-14,0.2882
"210",2023-02-15,0.2975
"211",2023-02-16,0.2889
"212",2023-02-17,0.2942
"213",2023-02-21,0.293
"214",2023-02-22,0.2936
"215",2023-02-23,0.2881
"216",2023-02-24,0.2884
"217",2023-02-27,0.2851
"218",2023-02-28,0.2855
"219",2023-03-01,0.2889
"220",2023-03-02,0.2976
"221",2023-03-03,0.2948
"222",2023-03-06,0.2929
"223",2023-03-07,0.2886
"224",2023-03-08,0.2906
"225",2023-03-09,0.2844
"226",2023-03-10,0.2879
"227",2023-03-13,0.2894
"228",2023-03-14,0.2862
"229",2023-03-15,0.2813
"230",2023-03-16,0.2897
"231",2023-03-17,0.2871
"232",2023-03-20,0.295
"233",2023-03-21,0.2863
"234",2023-03-22,0.2847
"235",2023-03-23,0.2798
"236",2023-03-24,0.2815
"237",2023-03-27,0.2843
"238",2023-03-28,0.2867
"239",2023-03-29,0.2871
"240",2023-03-30,0.2955
"241",2023-03-31,0.2927
"242",2023-04-03,0.2992
"243",2023-04-04,0.3045
"244",2023-04-05,0.3002
"245",2023-04-06,0.2948
"246",2023-04-10,0.2934
"247",2023-04-11,0.2955
"248",2023-04-12,0.2997
"249",2023-04-13,0.2991
"250",2023-04-14,0.3075
"251",2023-04-17,0.3025
"252",2023-04-18,0.309
"253",2023-04-19,0.3125
"254",2023-04-20,0.3196
"255",2023-04-21,0.3162
"256",2023-04-24,0.3147
"257",2023-04-25,0.3094
"258",2023-04-26,0.3097
"259",2023-04-27,0.3059
"260",2023-04-28,0.3171
"261",2023-05-01,0.3122
"262",2023-05-02,0.3165
"263",2023-05-03,0.3192
"264",2023-05-04,0.3179
"265",2023-05-05,0.3183
"266",2023-05-08,0.3158
"267",2023-05-09,0.3167
"268",2023-05-10,0.3154
"269",2023-05-11,0.3114
"270",2023-05-12,0.3146
"271",2023-05-15,0.3113
"272",2023-05-16,0.3138
"273",2023-05-17,0.3085
"274",2023-05-18,0.3094
"275",2023-05-19,0.3042
"276",2023-05-22,0.3062
"277",2023-05-23,0.2965
"278",2023-05-24,0.2904
"279",2023-05-25,0.2856
"280",2023-05-26,0.29
"281",2023-05-30,0.2837
"282",2023-05-31,0.2878
"283",2023-06-01,0.2879
"284",2023-06-02,0.3027
"285",2023-06-05,0.3026
"286",2023-06-06,0.3088
"287",2023-06-07,0.3033
"288",2023-06-08,0.2932
"289",2023-06-09,0.2853
"290",2023-06-12,0.2886
"291",2023-06-13,0.2829
"292",2023-06-14,0.2831
"293",2023-06-15,0.276
"294",2023-06-16,0.2756
"295",2023-06-20,0.2682
"296",2023-06-21,0.2689
"297",2023-06-22,0.2649
"298",2023-06-23,0.2637
"299",2023-06-26,0.2577
"300",2023-06-27,0.2559
"301",2023-06-28,0.245
"302",2023-06-29,0.2481
