date,FANG,INTU,FTNT,ETN,AMD,IDXX,META,CDNS,MPWR,FCX,NEM,PANW,LLY,OXY
2022-07-12,0.1893,0.227,0.2865,0.2599,0.1111,0.272,0.2375,0.3193,0.2871,0.0952000000000001,0.2646,0.3314,0.2303,0.3202
2022-07-13,0.1917,0.23,0.2859,0.2649,0.1127,0.2733,0.2352,0.3245,0.2887,0.1,0.2681,0.3299,0.2296,0.3082
2022-07-14,0.1917,0.2267,0.2803,0.2683,0.1117,0.2798,0.2395,0.3227,0.2858,0.0989,0.2714,0.3394,0.226,0.3012
2022-07-15,0.1861,0.2296,0.2843,0.2701,0.1116,0.2831,0.2327,0.3246,0.2917,0.0991,0.2725,0.3441,0.2232,0.2867
2022-07-18,0.1869,0.223,0.2826,0.2622,0.1159,0.279,0.2364,0.323,0.2876,0.1001,0.2802,0.3414,0.2219,0.2762
2022-07-19,0.1833,0.222,0.2731,0.2529,0.1162,0.277,0.2327,0.3189,0.2832,0.1008,0.2763,0.3334,0.2197,0.2559
2022-07-20,0.1902,0.2266,0.2746,0.2548,0.1194,0.2772,0.2412,0.3224,0.2821,0.107,0.278,0.3411,0.2174,0.2518
2022-07-21,0.191,0.2313,0.279,0.2631,0.1193,0.281,0.243,0.3228,0.2867,0.1165,0.2823,0.3556,0.2199,0.2441
2022-07-22,0.1793,0.2224,0.2773,0.2586,0.1184,0.2802,0.2435,0.3195,0.2853,0.1166,0.292,0.357,0.229,0.2244
2022-07-25,0.1668,0.2294,0.2777,0.268,0.1206,0.2827,0.2345,0.3155,0.2854,0.118,0.3032,0.3514,0.2287,0.2025
2022-07-26,0.184,0.2257,0.2785,0.2701,0.1199,0.2844,0.2327,0.3088,0.2851,0.1218,0.3009,0.3468,0.2253,0.2283
2022-07-27,0.186,0.233,0.2764,0.2685,0.1209,0.289,0.2257,0.3144,0.2853,0.1189,0.3064,0.3341,0.2286,0.2219
2022-07-28,0.1829,0.2306,0.2723,0.2732,0.1183,0.2922,0.2352,0.3116,0.2843,0.1162,0.2976,0.3341,0.2275,0.2198
2022-07-29,0.1731,0.2225,0.2699,0.2781,0.1207,0.2916,0.2384,0.309,0.2841,0.1149,0.2946,0.3354,0.2312,0.199
2022-08-01,0.1694,0.2115,0.2692,0.2643,0.1213,0.2795,0.2463,0.304,0.287,0.1092,0.2996,0.3323,0.2395,0.1998
2022-08-02,0.1692,0.2076,0.2686,0.2606,0.1162,0.273,0.2479,0.3051,0.2966,0.105,0.2919,0.326,0.2426,0.2035
2022-08-03,0.1717,0.2023,0.2661,0.2459,0.1122,0.2672,0.2424,0.2999,0.2974,0.1029,0.2841,0.319,0.2324,0.2042
2022-08-04,0.1826,0.2158,0.2689,0.2496,0.1153,0.2695,0.2414,0.3057,0.2976,0.1088,0.2822,0.3174,0.227,0.2152
2022-08-05,0.1846,0.2141,0.2745,0.2457,0.1209,0.2674,0.2385,0.3131,0.2946,0.1118,0.2896,0.3216,0.231,0.2137
2022-08-08,0.182,0.2145,0.2744,0.2445,0.1205,0.2674,0.2314,0.3166,0.2912,0.1145,0.2926,0.326,0.2342,0.2044
2022-08-09,0.1854,0.2111,0.2752,0.2375,0.1262,0.2648,0.2461,0.3147,0.2915,0.1137,0.2916,0.3362,0.2345,0.1997
2022-08-10,0.1795,0.2105,0.2786,0.2381,0.1373,0.269,0.2412,0.3199,0.2896,0.1282,0.2975,0.3377,0.2347,0.188
2022-08-11,0.1921,0.2129,0.2819,0.2529,0.1418,0.2825,0.2465,0.3126,0.2852,0.136,0.2994,0.3461,0.2386,0.2036
2022-08-12,0.1939,0.2164,0.286,0.2655,0.1427,0.2938,0.2497,0.3156,0.2843,0.1326,0.2961,0.3449,0.2433,0.2046
2022-08-15,0.1908,0.2151,0.2783,0.2579,0.1473,0.2941,0.2502,0.3107,0.2816,0.1232,0.3004,0.3493,0.2432,0.1997
2022-08-16,0.1897,0.2233,0.2738,0.2631,0.1457,0.296,0.2461,0.3131,0.2993,0.1233,0.3031,0.3473,0.2421,0.1985
2022-08-17,0.1883,0.2078,0.2709,0.2623,0.1375,0.2896,0.2487,0.3077,0.3101,0.1149,0.3001,0.3542,0.2423,0.1956
2022-08-18,0.1785,0.2093,0.2701,0.2638,0.1356,0.2856,0.2446,0.309,0.3053,0.119,0.2947,0.3514,0.2438,0.1824
2022-08-19,0.1864,0.2092,0.2752,0.2574,0.1387,0.288,0.2434,0.3091,0.3011,0.1186,0.2906,0.351,0.2502,0.1976
2022-08-22,0.1804,0.2207,0.2696,0.257,0.1354,0.2925,0.2424,0.3078,0.2958,0.1139,0.2863,0.3386,0.2497,0.1927
2022-08-23,0.1867,0.2166,0.2639,0.2578,0.1369,0.2928,0.2466,0.3038,0.2903,0.1161,0.2754,0.3387,0.2502,0.2027
2022-08-24,0.1902,0.215,0.2633,0.2664,0.138,0.2935,0.237,0.3021,0.3145,0.1236,0.2712,0.3349,0.2518,0.2085
2022-08-25,0.1855,0.2053,0.2638,0.2552,0.1359,0.2828,0.2452,0.2962,0.3008,0.1111,0.2723,0.3255,0.2512,0.2026
2022-08-26,0.1788,0.2031,0.2729,0.2502,0.1424,0.2751,0.2419,0.3082,0.2938,0.1116,0.2815,0.3218,0.2587,0.193
2022-08-29,0.1815,0.2021,0.2797,0.2489,0.144,0.2728,0.2392,0.308,0.2888,0.1116,0.2823,0.3224,0.2546,0.2013
2022-08-30,0.1882,0.2077,0.2765,0.2459,0.1475,0.2759,0.2318,0.3118,0.286,0.1122,0.2704,0.3254,0.2494,0.2104
2022-08-31,0.1931,0.2045,0.2756,0.2437,0.1474,0.2789,0.2314,0.3056,0.279,0.1073,0.2609,0.3308,0.243,0.2149
2022-09-01,0.1924,0.2044,0.2757,0.2472,0.1475,0.282,0.2315,0.3015,0.2743,0.1123,0.2571,0.3316,0.2403,0.2091
2022-09-02,0.1834,0.1947,0.2716,0.2323,0.1494,0.2815,0.2402,0.2953,0.2732,0.1114,0.2561,0.3316,0.2481,0.1933
2022-09-06,0.1745,0.2033,0.2715,0.2335,0.1497,0.2779,0.2373,0.2952,0.2758,0.1138,0.2622,0.3298,0.2469,0.1827
2022-09-07,0.1826,0.198,0.2725,0.2292,0.1474,0.2767,0.2299,0.2962,0.277,0.1173,0.2554,0.3329,0.2424,0.1932
2022-09-08,0.1829,0.2045,0.2696,0.235,0.141,0.2882,0.2209,0.3034,0.2688,0.1164,0.249,0.3281,0.2417,0.1922
2022-09-09,0.1974,0.2168,0.2779,0.2444,0.1394,0.2967,0.2218,0.2989,0.2753,0.1217,0.2437,0.338,0.2405,0.211
2022-09-12,0.2021,0.2166,0.2808,0.2519,0.1452,0.2996,0.2192,0.3011,0.2706,0.1221,0.2406,0.3429,0.2532,0.2189
2022-09-13,0.2047,0.2098,0.2771,0.2396,0.1506,0.2855,0.2289,0.3001,0.2695,0.1162,0.2455,0.3411,0.2551,0.2212
2022-09-14,0.205,0.2091,0.2748,0.2324,0.1605,0.2822,0.2322,0.3124,0.2654,0.1182,0.2453,0.3386,0.2513,0.2168
2022-09-15,0.2072,0.2045,0.2733,0.2328,0.1587,0.2762,0.2323,0.3075,0.267,0.1216,0.2441,0.3429,0.2425,0.2164
2022-09-16,0.1972,0.2067,0.2714,0.2412,0.1557,0.2819,0.2178,0.306,0.267,0.1273,0.2388,0.333,0.2436,0.2016
2022-09-19,0.1916,0.204,0.2736,0.2425,0.1548,0.2861,0.2166,0.2977,0.2656,0.1251,0.2326,0.3306,0.2539,0.1993
2022-09-20,0.1851,0.2022,0.2699,0.2437,0.1545,0.2874,0.2179,0.2917,0.2634,0.124,0.2211,0.3247,0.2487,0.1917
2022-09-21,0.2018,0.1969,0.2696,0.2374,0.1541,0.2863,0.2237,0.287,0.2648,0.1226,0.2168,0.3292,0.2464,0.2166
2022-09-22,0.2039,0.2024,0.2733,0.2401,0.1556,0.2821,0.2191,0.2933,0.2662,0.128,0.2196,0.3268,0.2466,0.2177
2022-09-23,0.2033,0.1977,0.2748,0.2399,0.1537,0.2822,0.219,0.2938,0.263,0.1286,0.2192,0.3355,0.2442,0.2185
2022-09-26,0.2045,0.2135,0.2814,0.2457,0.158,0.2783,0.2169,0.2954,0.2678,0.1318,0.2208,0.3383,0.2463,0.2194
2022-09-27,0.1957,0.2081,0.2789,0.2371,0.1577,0.2684,0.2194,0.2881,0.2639,0.1292,0.2263,0.332,0.2408,0.212
2022-09-28,0.1925,0.2078,0.2739,0.24,0.1537,0.2722,0.2167,0.2877,0.2696,0.1345,0.2264,0.3237,0.2383,0.2097
2022-09-29,0.1871,0.1998,0.2675,0.2364,0.1485,0.2677,0.2232,0.2846,0.2651,0.1292,0.2148,0.3215,0.2374,0.2034
2022-09-30,0.1741,0.1963,0.2671,0.2339,0.1535,0.2682,0.2211,0.2831,0.2657,0.1288,0.2116,0.3156,0.2359,0.1892
2022-10-03,0.1818,0.1938,0.2751,0.2313,0.1575,0.2736,0.2164,0.2846,0.2653,0.124,0.2086,0.3151,0.2414,0.2025
2022-10-04,0.1797,0.1963,0.2843,0.2321,0.1568,0.267,0.2108,0.2871,0.2674,0.1169,0.203,0.3177,0.2421,0.1987
2022-10-05,0.1857,0.1909,0.2831,0.2188,0.1567,0.2585,0.2134,0.2823,0.2681,0.1172,0.1983,0.3265,0.2412,0.2035
2022-10-06,0.2019,0.2073,0.2912,0.2283,0.1614,0.2636,0.2096,0.2924,0.2726,0.1269,0.1973,0.3268,0.2411,0.2211
2022-10-07,0.2052,0.2011,0.2835,0.2271,0.1588,0.2669,0.2233,0.2878,0.2696,0.1271,0.2015,0.3292,0.2442,0.2249
2022-10-10,0.2036,0.2058,0.2859,0.2336,0.1635,0.2703,0.2249,0.2959,0.2718,0.1298,0.2015,0.3415,0.2447,0.2226
2022-10-11,0.2026,0.2052,0.2874,0.2278,0.1688,0.2673,0.2267,0.2963,0.2719,0.1335,0.2033,0.3411,0.2424,0.2225
2022-10-12,0.2071,0.2038,0.2817,0.2263,0.1696,0.2635,0.2264,0.2954,0.2658,0.1381,0.2044,0.3326,0.2347,0.2288
