date,NEM,ABEV3,FTNT,ENGI11,IDXX,LREN3,OXY,INTU,LLY,PANW,TOTS3,FCX,FANG,META,ALPA4,MPWR,ETN,AMD,CDNS
2021-10-05,0.1076,0.2304,0.3288,0.3273,0.2222,0.3908,0.2575,0.2696,0.2967,0.226,0.2711,0.1916,0.0494,0.1579,0.3931,0.137,0.3094,0.0461,0.08
2021-10-06,0.1246,0.2305,0.3375,0.3245,0.2233,0.383,0.2573,0.3074,0.3037,0.2298,0.2149,0.1934,0.0513,0.1588,0.3828,0.1314,0.3111,0.0466000000000001,0.0623
2021-10-07,0.1127,0.2356,0.3015,0.3261,0.2294,0.3821,0.2543,0.2961,0.2767,0.2725,0.2119,0.1813,0.0455,0.1688,0.3828,0.1374,0.3195,0.0470999999999999,0.082
2021-10-08,0.1287,0.2215,0.2136,0.3246,0.2407,0.3602,0.2405,0.2791,0.2761,0.2571,0.2058,0.1748,0.0548000000000001,0.1642,0.3758,0.1795,0.3153,0.0678,0.1418
2021-10-11,0.1315,0.2308,0.2091,0.2944,0.2399,0.3339,0.2468,0.268,0.2765,0.2235,0.2331,0.1987,0.0621,0.1865,0.4089,0.189,0.2997,0.0606,0.1336
2021-10-13,0.1378,0.2362,0.2014,0.2691,0.2531,0.3059,0.2506,0.3122,0.2642,0.2139,0.2256,0.1852,0.0680999999999999,0.1856,0.3826,0.1752,0.237,0.0518999999999999,0.1496
2021-10-14,0.1068,0.2437,0.208,0.2625,0.2626,0.2747,0.256,0.3092,0.2751,0.2506,0.2179,0.206,0.0888,0.176,0.3931,0.1738,0.2255,0.0557000000000001,0.1373
2021-10-15,0.113,0.2436,0.205,0.2475,0.2701,0.2468,0.2694,0.3199,0.2648,0.295,0.1804,0.1776,0.0918,0.1747,0.3871,0.1855,0.2558,0.0542,0.1339
2021-10-18,0.1505,0.2225,0.1951,0.2325,0.2698,0.2145,0.2717,0.3195,0.2738,0.2919,0.1221,0.1941,0.0846,0.1737,0.4043,0.1953,0.282,0.0596,0.1257
2021-10-19,0.1649,0.1785,0.191,0.2376,0.276,0.2253,0.2804,0.323,0.28,0.3132,0.1594,0.1934,0.0748,0.1669,0.3856,0.1962,0.3064,0.0677000000000001,0.1197
2021-10-20,0.1985,0.1678,0.2166,0.2476,0.2761,0.2294,0.2708,0.3497,0.3069,0.3191,0.1732,0.2028,0.0753,0.1678,0.4033,0.1997,0.2987,0.0705,0.1332
2021-10-21,0.1916,0.1775,0.2021,0.2515,0.2787,0.2418,0.2877,0.3478,0.2871,0.3621,0.2011,0.1995,0.0736000000000001,0.1771,0.3639,0.2009,0.2996,0.0609999999999999,0.1277
2021-10-22,0.1956,0.1873,0.2132,0.2515,0.2957,0.2505,0.2905,0.3342,0.3072,0.3463,0.1625,0.222,0.1032,0.1833,0.3373,0.2218,0.3126,0.0645,0.1539
2021-10-25,0.2035,0.1754,0.2066,0.2475,0.3203,0.2347,0.3046,0.3118,0.3049,0.3208,0.1213,0.1926,0.1269,0.1795,0.3234,0.245,0.3051,0.0657,0.157
2021-10-26,0.1977,0.1942,0.1984,0.2421,0.3042,0.2431,0.3294,0.3077,0.318,0.2963,0.1027,0.1987,0.1361,0.1776,0.3392,0.2612,0.3087,0.0536,0.1733
2021-10-27,0.1816,0.2005,0.1859,0.2534,0.2697,0.2212,0.3478,0.2947,0.3176,0.2942,0.1201,0.2013,0.1311,0.1731,0.2825,0.2563,0.2885,0.0508,0.169
2021-10-28,0.1781,0.1973,0.1783,0.2658,0.2618,0.2063,0.3715,0.2976,0.3201,0.3079,0.1295,0.2314,0.1604,0.183,0.3153,0.2505,0.3059,0.0509999999999999,0.1869
2021-10-29,0.1488,0.2171,0.1921,0.2752,0.2845,0.21,0.4125,0.2902,0.327,0.3278,0.1292,0.183,0.1655,0.1761,0.311,0.2373,0.3118,0.0601999999999999,0.1903
2021-11-01,0.1477,0.247,0.2008,0.2721,0.2885,0.2063,0.3854,0.281,0.3211,0.3569,0.1067,0.1926,0.1523,0.1568,0.2949,0.2256,0.2917,0.0598,0.1867
2021-11-03,0.1636,0.2471,0.1984,0.2765,0.2779,0.192,0.3219,0.336,0.3312,0.3195,0.1475,0.1848,0.1372,0.1598,0.2809,0.2345,0.2121,0.0861999999999999,0.2007
2021-11-04,0.152,0.2591,0.197,0.262,0.283,0.2073,0.241,0.333,0.3405,0.3103,0.1769,0.1874,0.1479,0.1537,0.2864,0.2277,0.2003,0.0711000000000001,0.1919
2021-11-05,0.1724,0.2731,0.1847,0.2611,0.2822,0.1964,0.0921,0.3179,0.3403,0.3304,0.1598,0.2046,0.1483,0.1559,0.2841,0.2474,0.2063,0.0683,0.2085
2021-11-08,0.1595,0.2878,0.1836,0.256,0.281,0.1885,0.0859,0.3146,0.3208,0.356,0.157,0.1837,0.1407,0.1618,0.2855,0.2756,0.2011,0.0689,0.2144
2021-11-09,0.1378,0.2652,0.1907,0.2558,0.2847,0.2083,0.0542,0.312,0.33,0.3486,0.1652,0.1871,0.1444,0.1491,0.2855,0.2904,0.2026,0.0685,0.2197
2021-11-10,0.1409,0.2622,0.1767,0.2532,0.2818,0.2021,0.042,0.3225,0.3175,0.3474,0.1841,0.1882,0.151,0.1604,0.3171,0.2929,0.1628,0.0571,0.2218
