date,XRP,BNB,BTC,DOGE,ADA,ETH,TRX,LTC
2020-06-07,0.3678,0.274,0.4484,0.3433,0.1958,0.2485,0.3128,0.1378
2020-06-08,0.3657,0.2566,0.4328,0.3267,0.1822,0.2346,0.3033,0.1232
2020-06-09,0.3549,0.248,0.4084,0.3327,0.1833,0.2178,0.2914,0.1258
2020-06-10,0.3524,0.2526,0.4195,0.3397,0.1959,0.2339,0.2977,0.1274
2020-06-11,0.3547,0.2497,0.427,0.335,0.1906,0.2363,0.3072,0.1288
2020-06-12,0.3642,0.2349,0.4068,0.3393,0.1855,0.231,0.3064,0.1339
2020-06-13,0.3615,0.2474,0.4227,0.3175,0.1871,0.2371,0.312,0.1353
2020-06-14,0.36,0.2448,0.4086,0.2834,0.1724,0.2226,0.2947,0.1245
2020-06-15,0.3293,0.2309,0.39,0.27,0.1577,0.2023,0.2854,0.1211
2020-06-16,0.3364,0.2525,0.3958,0.2952,0.1683,0.2218,0.2909,0.1366
2020-06-17,0.3473,0.2668,0.4254,0.3147,0.1797,0.246,0.2993,0.1506
2020-06-18,0.3681,0.3013,0.4315,0.3139,0.1807,0.2516,0.3008,0.1659
2020-06-19,0.3604,0.2873,0.413,0.2955,0.1808,0.2392,0.2882,0.1678
2020-06-20,0.3587,0.2884,0.4177,0.2937,0.1855,0.2527,0.2973,0.1606
2020-06-21,0.3583,0.2991,0.4226,0.3033,0.1841,0.2518,0.2986,0.1663
2020-06-22,0.3586,0.29,0.4134,0.306,0.1814,0.2351,0.2912,0.168
2020-06-23,0.3415,0.273,0.3979,0.292,0.1671,0.2252,0.2886,0.1564
2020-06-24,0.351,0.291,0.4103,0.2788,0.1727,0.246,0.293,0.1689
2020-06-25,0.3569,0.3026,0.4216,0.2772,0.1797,0.2476,0.2941,0.1668
2020-06-26,0.3728,0.3053,0.4217,0.2785,0.1682,0.2421,0.2983,0.1693
2020-06-27,0.3673,0.2908,0.4189,0.2865,0.1645,0.2347,0.2956,0.1751
2020-06-28,0.3688,0.3126,0.4301,0.272,0.1633,0.2365,0.2996,0.1821
2020-06-29,0.3699,0.3309,0.4409,0.2731,0.172,0.2451,0.3016,0.1987
2020-06-30,0.3725,0.3199,0.4259,0.2654,0.1698,0.2425,0.2985,0.1827
2020-07-01,0.358,0.3257,0.4153,0.2765,0.1673,0.2376,0.2969,0.1892
2020-07-02,0.3703,0.3269,0.4221,0.2811,0.1611,0.2458,0.2961,0.1933
2020-07-03,0.3651,0.3264,0.433,0.2709,0.1485,0.2384,0.291,0.1902
2020-07-04,0.36,0.3253,0.4248,0.2548,0.1376,0.2315,0.2882,0.2018
2020-07-05,0.3583,0.3451,0.4405,0.2467,0.1437,0.2451,0.2985,0.2062
2020-07-06,0.3612,0.3411,0.4298,0.244,0.1405,0.2414,0.2893,0.1971
2020-07-07,0.3653,0.334,0.4378,0.2547,0.138,0.2454,0.2855,0.2016
2020-07-08,0.3784,0.353,0.4327,0.2669,0.1396,0.2486,0.2816,0.2141
2020-07-09,0.3631,0.3368,0.4078,0.2635,0.131,0.2223,0.267,0.2107
2020-07-10,0.3605,0.3585,0.4285,0.266,0.149,0.2508,0.2797,0.213
2020-07-11,0.3723,0.35,0.4443,0.2721,0.1442,0.2488,0.2939,0.2083
2020-07-12,0.3954,0.3574,0.4438,0.2781,0.148,0.2492,0.294,0.2103
2020-07-13,0.3741,0.3452,0.4383,0.2688,0.1385,0.2339,0.2898,0.1981
2020-07-14,0.3624,0.3271,0.4132,0.2581,0.116,0.2206,0.28,0.1892
2020-07-15,0.3528,0.3215,0.4068,0.2634,0.1094,0.22,0.2786,0.1932
2020-07-16,0.371,0.3456,0.4196,0.2617,0.1116,0.2363,0.2909,0.2091
2020-07-17,0.3749,0.3485,0.438,0.2586,0.1091,0.2408,0.2922,0.2114
2020-07-18,0.3837,0.3759,0.4573,0.261,0.1118,0.2532,0.2971,0.2295
2020-07-19,0.3757,0.3735,0.4456,0.2587,0.1143,0.2358,0.2817,0.2304
2020-07-20,0.3825,0.3657,0.4583,0.2639,0.1087,0.24,0.279,0.2228
2020-07-21,0.3934,0.3761,0.4392,0.2643,0.1049,0.2419,0.2767,0.2348
2020-07-22,0.3955,0.3673,0.4278,0.2614,0.1131,0.2441,0.2796,0.2329
2020-07-23,0.3923,0.3723,0.4403,0.2495,0.1126,0.2488,0.2887,0.2359
2020-07-24,0.3825,0.3648,0.44,0.2279,0.1004,0.2345,0.2812,0.2275
2020-07-25,0.3646,0.3731,0.4643,0.2291,0.108,0.2508,0.2862,0.2381
2020-07-26,0.355,0.3578,0.4428,0.2357,0.0964999999999999,0.2423,0.2786,0.2189
2020-07-27,0.356,0.3666,0.451,0.2582,0.1098,0.2561,0.2799,0.2266
2020-07-28,0.3673,0.3739,0.4521,0.2629,0.1119,0.2499,0.2813,0.2282
2020-07-29,0.3613,0.3624,0.4539,0.2631,0.1053,0.2388,0.2786,0.2287
2020-07-30,0.361,0.3512,0.4546,0.255,0.1051,0.2412,0.2823,0.2186
