"","date","LTC"
"263",2020-09-08,0.2064
"264",2020-09-09,0.2174
"265",2020-09-10,0.2101
"266",2020-09-11,0.2007
"267",2020-09-12,0.1977
"268",2020-09-13,0.1913
"269",2020-09-14,0.1985
"270",2020-09-15,0.1995
"271",2020-09-16,0.1979
"272",2020-09-17,0.2039
"273",2020-09-18,0.1796
"274",2020-09-19,0.1703
"275",2020-09-20,0.1668
"276",2020-09-21,0.1541
"277",2020-09-22,0.1473
"278",2020-09-23,0.1499
"279",2020-09-24,0.1411
"280",2020-09-25,0.1434
"281",2020-09-26,0.1402
"282",2020-09-27,0.1423
"283",2020-09-28,0.1512
"284",2020-09-29,0.1463
"285",2020-09-30,0.1587
"286",2020-10-01,0.1593
"287",2020-10-02,0.1555
"288",2020-10-03,0.167
"289",2020-10-04,0.163
"290",2020-10-05,0.1558
"291",2020-10-06,0.16
"292",2020-10-07,0.1523
"293",2020-10-08,0.1551
"294",2020-10-09,0.1504
"295",2020-10-10,0.1435
"296",2020-10-11,0.1317
"297",2020-10-12,0.1279
"298",2020-10-13,0.1174
"299",2020-10-14,0.1336
"300",2020-10-15,0.1351
"301",2020-10-16,0.1373
"302",2020-10-17,0.1367
"303",2020-10-18,0.1433
"304",2020-10-19,0.148
"305",2020-10-20,0.1564
"306",2020-10-21,0.1535
"307",2020-10-22,0.1531
"308",2020-10-23,0.1618
"309",2020-10-24,0.1774
"310",2020-10-25,0.1769
"311",2020-10-26,0.1863
"312",2020-10-27,0.1822
"313",2020-10-28,0.1945
"314",2020-10-29,0.1937
"315",2020-10-30,0.2057
"316",2020-10-31,0.2097
"317",2020-11-01,0.2178
"318",2020-11-02,0.2188
"319",2020-11-03,0.2197
"320",2020-11-04,0.2234
"321",2020-11-05,0.2176
"322",2020-11-06,0.2085
"323",2020-11-07,0.2257
"324",2020-11-08,0.2222
"325",2020-11-09,0.2077
"326",2020-11-10,0.2011
"327",2020-11-11,0.2035
"328",2020-11-12,0.2048
"329",2020-11-13,0.2077
"330",2020-11-14,0.2142
"331",2020-11-15,0.2155
"332",2020-11-16,0.2072
"333",2020-11-17,0.2114
"334",2020-11-18,0.214
"335",2020-11-19,0.2333
"336",2020-11-20,0.2121
"337",2020-11-21,0.2088
"338",2020-11-22,0.2008
"339",2020-11-23,0.1939
"340",2020-11-24,0.185
"341",2020-11-25,0.1979
"342",2020-11-26,0.1877
"343",2020-11-27,0.1908
"344",2020-11-28,0.1853
"345",2020-11-29,0.1813
"346",2020-11-30,0.1756
"347",2020-12-01,0.1799
"348",2020-12-02,0.1905
"349",2020-12-03,0.189
"350",2020-12-04,0.1801
"351",2020-12-05,0.1795
"352",2020-12-06,0.1726
"353",2020-12-07,0.1915
"354",2020-12-08,0.1953
"355",2020-12-09,0.2054
"356",2020-12-10,0.2007
"357",2020-12-11,0.2009
"358",2020-12-12,0.1957
"359",2020-12-13,0.1888
"360",2020-12-14,0.1864
"361",2020-12-15,0.1911
"362",2020-12-16,0.1858
"363",2020-12-17,0.2048
"364",2020-12-18,0.1986
"365",2020-12-19,0.203
"366",2020-12-20,0.1925
"367",2020-12-21,0.1802
"368",2020-12-22,0.1869
"369",2020-12-23,0.1843
"370",2020-12-24,0.1822
"371",2020-12-25,0.1958
"372",2020-12-26,0.1895
"373",2020-12-27,0.1876
"374",2020-12-28,0.1981
"375",2020-12-29,0.1951
"376",2020-12-30,0.1887
"377",2020-12-31,0.1868
"378",2021-01-01,0.1784
"379",2021-01-02,0.1797
"380",2021-01-03,0.1684
"381",2021-01-04,0.1687
"382",2021-01-05,0.1599
"383",2021-01-06,0.1825
"384",2021-01-07,0.1779
"385",2021-01-08,0.1853
"386",2021-01-09,0.1787
"387",2021-01-10,0.1896
"388",2021-01-11,0.1893
"389",2021-01-12,0.2004
"390",2021-01-13,0.2071
"391",2021-01-14,0.1955
"392",2021-01-15,0.1827
"393",2021-01-16,0.1848
"394",2021-01-17,0.1739
"395",2021-01-18,0.1832
"396",2021-01-19,0.1842
"397",2021-01-20,0.1811
"398",2021-01-21,0.1878
"399",2021-01-22,0.1891
"400",2021-01-23,0.1992
"401",2021-01-24,0.1986
"402",2021-01-25,0.1842
"403",2021-01-26,0.1999
"404",2021-01-27,0.2
"405",2021-01-28,0.2058
"406",2021-01-29,0.1961
"407",2021-01-30,0.2091
"408",2021-01-31,0.2023
"409",2021-02-01,0.1981
"410",2021-02-02,0.1968
"411",2021-02-03,0.2009
"412",2021-02-04,0.1991
"413",2021-02-05,0.219
"414",2021-02-06,0.2223
"415",2021-02-07,0.2166
"416",2021-02-08,0.2122
"417",2021-02-09,0.2023
"418",2021-02-10,0.2085
"419",2021-02-11,0.2213
"420",2021-02-12,0.2243
"421",2021-02-13,0.2276
"422",2021-02-14,0.2168
"423",2021-02-15,0.2251
"424",2021-02-16,0.2214
"425",2021-02-17,0.2347
"426",2021-02-18,0.2342
"427",2021-02-19,0.2247
"428",2021-02-20,0.2259
"429",2021-02-21,0.2377
"430",2021-02-22,0.2258
"431",2021-02-23,0.2254
"432",2021-02-24,0.2219
"433",2021-02-25,0.2318
"434",2021-02-26,0.2359
"435",2021-02-27,0.243
"436",2021-02-28,0.2358
"437",2021-03-01,0.2458
"438",2021-03-02,0.2467
"439",2021-03-03,0.2487
"440",2021-03-04,0.247
"441",2021-03-05,0.238
"442",2021-03-06,0.2248
"443",2021-03-07,0.2392
"444",2021-03-08,0.2293
"445",2021-03-09,0.2257
"446",2021-03-10,0.2202
"447",2021-03-11,0.2249
"448",2021-03-12,0.2314
"449",2021-03-13,0.2408
"450",2021-03-14,0.2344
"451",2021-03-15,0.2435
"452",2021-03-16,0.2492
"453",2021-03-17,0.256
"454",2021-03-18,0.2569
"455",2021-03-19,0.2472
"456",2021-03-20,0.2338
"457",2021-03-21,0.2059
"458",2021-03-22,0.2199
"459",2021-03-23,0.216
"460",2021-03-24,0.2096
"461",2021-03-25,0.2172
"462",2021-03-26,0.2121
"463",2021-03-27,0.2221
"464",2021-03-28,0.2145
"465",2021-03-29,0.22
"466",2021-03-30,0.2077
"467",2021-03-31,0.2269
"468",2021-04-01,0.2197
"469",2021-04-02,0.2122
"470",2021-04-03,0.2147
"471",2021-04-04,0.2087
"472",2021-04-05,0.2016
"473",2021-04-06,0.2242
"474",2021-04-07,0.2256
"475",2021-04-08,0.2209
"476",2021-04-09,0.2077
"477",2021-04-10,0.2007
"478",2021-04-11,0.1996
"479",2021-04-12,0.1992
"480",2021-04-13,0.2089
"481",2021-04-14,0.214
"482",2021-04-15,0.2035
"483",2021-04-16,0.2106
"484",2021-04-17,0.2211
"485",2021-04-18,0.2263
"486",2021-04-19,0.225
"487",2021-04-20,0.216
"488",2021-04-21,0.226
"489",2021-04-22,0.2265
"490",2021-04-23,0.2208
"491",2021-04-24,0.2439
"492",2021-04-25,0.2335
"493",2021-04-26,0.2439
"494",2021-04-27,0.2426
"495",2021-04-28,0.2501
"496",2021-04-29,0.2413
"497",2021-04-30,0.2482
"498",2021-05-01,0.2473
"499",2021-05-02,0.2365
"500",2021-05-03,0.2377
"501",2021-05-04,0.2278
"502",2021-05-05,0.2236
"503",2021-05-06,0.2395
"504",2021-05-07,0.2412
"505",2021-05-08,0.2334
"506",2021-05-09,0.23
"507",2021-05-10,0.2317
"508",2021-05-11,0.2299
"509",2021-05-12,0.2342
"510",2021-05-13,0.2302
"511",2021-05-14,0.2215
"512",2021-05-15,0.2087
"513",2021-05-16,0.2112
"514",2021-05-17,0.2084
"515",2021-05-18,0.2184
"516",2021-05-19,0.2196
"517",2021-05-20,0.2303
"518",2021-05-21,0.2388
"519",2021-05-22,0.2391
"520",2021-05-23,0.2306
"521",2021-05-24,0.2218
"522",2021-05-25,0.2162
"523",2021-05-26,0.2223
"524",2021-05-27,0.233
"525",2021-05-28,0.2315
"526",2021-05-29,0.2309
"527",2021-05-30,0.2252
"528",2021-05-31,0.2291
"529",2021-06-01,0.228
"530",2021-06-02,0.2365
"531",2021-06-03,0.2338
"532",2021-06-04,0.2302
"533",2021-06-05,0.2551
"534",2021-06-06,0.2591
"535",2021-06-07,0.2499
"536",2021-06-08,0.2543
"537",2021-06-09,0.2516
"538",2021-06-10,0.2506
"539",2021-06-11,0.2553
"540",2021-06-12,0.253
"541",2021-06-13,0.2478
"542",2021-06-14,0.2441
"543",2021-06-15,0.2629
"544",2021-06-16,0.2647
"545",2021-06-17,0.2581
"546",2021-06-18,0.244
"547",2021-06-19,0.2387
"548",2021-06-20,0.2397
"549",2021-06-21,0.2329
"550",2021-06-22,0.2364
"551",2021-06-23,0.2335
"552",2021-06-24,0.2321
"553",2021-06-25,0.2246
"554",2021-06-26,0.2268
"555",2021-06-27,0.2208
"556",2021-06-28,0.2201
"557",2021-06-29,0.2295
"558",2021-06-30,0.2397
"559",2021-07-01,0.2269
"560",2021-07-02,0.2195
"561",2021-07-03,0.2252
"562",2021-07-04,0.2133
"563",2021-07-05,0.2293
"564",2021-07-06,0.2367
"565",2021-07-07,0.2294
"566",2021-07-08,0.2308
"567",2021-07-09,0.2218
"568",2021-07-10,0.2276
"569",2021-07-11,0.2342
"570",2021-07-12,0.2342
"571",2021-07-13,0.2388
"572",2021-07-14,0.2445
"573",2021-07-15,0.2551
"574",2021-07-16,0.2495
"575",2021-07-17,0.2447
"576",2021-07-18,0.247
"577",2021-07-19,0.25
"578",2021-07-20,0.2598
"579",2021-07-21,0.2645
"580",2021-07-22,0.2675
"581",2021-07-23,0.2723
"582",2021-07-24,0.2767
"583",2021-07-25,0.2741
"584",2021-07-26,0.2741
"585",2021-07-27,0.2649
"586",2021-07-28,0.2592
"587",2021-07-29,0.2641
"588",2021-07-30,0.2744
"589",2021-07-31,0.2688
"590",2021-08-01,0.272
"591",2021-08-02,0.2752
