date,BTC,TRX,ADA,LTC,ETH,BNB,XRP,DOGE
2021-05-13,0.3928,0.3262,0.1693,0.1879,0.2855,0.2301,0.4729,0.5469
2021-05-14,0.3929,0.3259,0.1652,0.1851,0.2805,0.2315,0.4652,0.5473
2021-05-15,0.3834,0.326,0.166,0.1923,0.2738,0.2361,0.4584,0.5451
2021-05-16,0.3758,0.3251,0.1626,0.1893,0.2722,0.2298,0.4667,0.5433
2021-05-17,0.3615,0.3237,0.1634,0.1906,0.2727,0.2261,0.4671,0.5478
2021-05-18,0.3602,0.3281,0.1676,0.2002,0.2785,0.2243,0.47,0.5562
2021-05-19,0.3665,0.3345,0.1697,0.2042,0.2795,0.2178,0.4632,0.5476
2021-05-20,0.3609,0.3313,0.1717,0.2088,0.2766,0.2286,0.4646,0.5407
2021-05-21,0.3691,0.3361,0.1789,0.2212,0.281,0.2332,0.4651,0.5444
2021-05-22,0.3722,0.3388,0.1852,0.2281,0.2944,0.2462,0.4769,0.5541
2021-05-23,0.368,0.3383,0.1853,0.2211,0.2939,0.2318,0.4747,0.5539
2021-05-24,0.3719,0.3404,0.1831,0.2259,0.2981,0.2467,0.4769,0.5525
2021-05-25,0.3738,0.3427,0.1821,0.2351,0.2949,0.2559,0.4718,0.5378
2021-05-26,0.3741,0.338,0.1788,0.2288,0.2998,0.2523,0.469,0.5327
2021-05-27,0.3646,0.3384,0.1762,0.2314,0.2962,0.2491,0.4585,0.5168
2021-05-28,0.3658,0.3367,0.1725,0.2372,0.2967,0.2457,0.4678,0.5339
2021-05-29,0.3623,0.3363,0.1737,0.2429,0.2947,0.2404,0.4634,0.5448
2021-05-30,0.3669,0.3381,0.1717,0.246,0.2967,0.245,0.4594,0.5376
2021-05-31,0.3771,0.342,0.1798,0.2511,0.3071,0.2486,0.4639,0.5437
2021-06-01,0.3744,0.3413,0.187,0.2487,0.307,0.2512,0.473,0.5412
2021-06-02,0.3777,0.3414,0.1889,0.2459,0.3048,0.2601,0.462,0.5413
2021-06-03,0.368,0.338,0.1805,0.2363,0.2967,0.255,0.4581,0.5349
2021-06-04,0.3551,0.3413,0.1857,0.2451,0.2938,0.2617,0.4538,0.5318
2021-06-05,0.3651,0.3489,0.1902,0.2477,0.3021,0.2566,0.4568,0.5349
2021-06-06,0.3675,0.3498,0.1881,0.2529,0.3028,0.255,0.4562,0.5327
2021-06-07,0.3509,0.3418,0.1848,0.2461,0.2958,0.241,0.454,0.5242
2021-06-08,0.359,0.3443,0.1859,0.2513,0.3,0.2413,0.4516,0.5321
2021-06-09,0.3598,0.3316,0.1778,0.2503,0.2948,0.2436,0.4591,0.5252
2021-06-10,0.3475,0.3221,0.1738,0.2541,0.2888,0.2416,0.4491,0.5096
2021-06-11,0.351,0.3257,0.1766,0.2605,0.2948,0.2467,0.4594,0.5203
2021-06-12,0.3644,0.3309,0.1831,0.2705,0.3092,0.2528,0.4634,0.5289
2021-06-13,0.369,0.3282,0.1838,0.2788,0.3124,0.2787,0.4701,0.5321
2021-06-14,0.36,0.3273,0.1864,0.2832,0.3083,0.2713,0.4645,0.5335
2021-06-15,0.3648,0.3316,0.1887,0.2779,0.317,0.2589,0.4662,0.5402
2021-06-16,0.3616,0.3387,0.1881,0.2779,0.314,0.2541,0.4627,0.5325
2021-06-17,0.3571,0.336,0.1855,0.2767,0.3049,0.2437,0.4601,0.5393
2021-06-18,0.3455,0.3382,0.1784,0.2749,0.3033,0.2365,0.4472,0.5292
2021-06-19,0.3485,0.3398,0.1762,0.2811,0.3095,0.2476,0.4488,0.5226
2021-06-20,0.3552,0.3438,0.1796,0.2835,0.3119,0.2517,0.4466,0.5055
2021-06-21,0.3579,0.3425,0.1714,0.2837,0.3081,0.2505,0.4591,0.508
2021-06-22,0.3534,0.3395,0.1719,0.2829,0.3065,0.2487,0.4521,0.5271
2021-06-23,0.3602,0.3402,0.1718,0.2799,0.3052,0.2537,0.4478,0.5269
2021-06-24,0.365,0.3471,0.1763,0.291,0.3109,0.26,0.4532,0.5312
2021-06-25,0.3591,0.3448,0.1743,0.2771,0.3081,0.2447,0.4569,0.5113
2021-06-26,0.3529,0.3451,0.1749,0.2783,0.3076,0.2477,0.4452,0.5064
2021-06-27,0.3569,0.3384,0.1688,0.275,0.3075,0.2384,0.45,0.5258
2021-06-28,0.3625,0.3385,0.1631,0.2741,0.3049,0.2322,0.4471,0.5281
2021-06-29,0.355,0.3385,0.1548,0.2777,0.2987,0.2352,0.4464,0.5193
2021-06-30,0.3634,0.3379,0.1571,0.2804,0.3072,0.2349,0.4476,0.5178
2021-07-01,0.3501,0.33,0.1552,0.2717,0.3009,0.2232,0.448,0.5072
2021-07-02,0.3547,0.3362,0.1566,0.2751,0.3066,0.2177,0.4452,0.4951
2021-07-03,0.3545,0.3358,0.157,0.2773,0.3072,0.2324,0.4456,0.4971
2021-07-04,0.3375,0.3276,0.1553,0.2761,0.2932,0.238,0.4355,0.5101
2021-07-05,0.3524,0.3299,0.1644,0.2771,0.3082,0.2408,0.4375,0.5157
2021-07-06,0.3588,0.3355,0.1634,0.2741,0.3084,0.2369,0.4431,0.5106
2021-07-07,0.3591,0.3336,0.1636,0.2696,0.3067,0.2307,0.4517,0.5079
2021-07-08,0.3573,0.3337,0.1616,0.2622,0.2975,0.2226,0.4333,0.4994
2021-07-09,0.3449,0.329,0.149,0.2564,0.29,0.2158,0.4303,0.4963
2021-07-10,0.339,0.3318,0.1468,0.2568,0.29,0.2075,0.426,0.4946
2021-07-11,0.3458,0.3373,0.1426,0.2644,0.2967,0.2079,0.4432,0.4944
2021-07-12,0.3552,0.3341,0.141,0.2668,0.2989,0.2052,0.4408,0.4883
2021-07-13,0.3647,0.3355,0.1436,0.2747,0.3044,0.2216,0.4437,0.4779
2021-07-14,0.3616,0.3337,0.1495,0.277,0.2979,0.2246,0.438,0.4673
2021-07-15,0.3702,0.3317,0.1464,0.274,0.3015,0.2194,0.4458,0.4766
2021-07-16,0.359,0.3324,0.1467,0.2848,0.3052,0.228,0.4512,0.4693
2021-07-17,0.3493,0.3332,0.1481,0.2769,0.3019,0.2099,0.4449,0.4883
2021-07-18,0.3563,0.3396,0.1498,0.2806,0.3057,0.2114,0.4364,0.4962
2021-07-19,0.3576,0.3316,0.1394,0.2745,0.2954,0.2105,0.4284,0.4773
2021-07-20,0.3736,0.3325,0.1443,0.2822,0.3045,0.2141,0.4213,0.4814
2021-07-21,0.3626,0.3291,0.1383,0.271,0.2989,0.2078,0.4217,0.4816
2021-07-22,0.3639,0.3319,0.144,0.2725,0.3058,0.2003,0.4241,0.4926
2021-07-23,0.3641,0.3339,0.1441,0.2731,0.3018,0.1999,0.4317,0.4859
2021-07-24,0.3634,0.3359,0.1411,0.2751,0.2968,0.1973,0.4268,0.4719
2021-07-25,0.3614,0.3349,0.142,0.2635,0.2941,0.1926,0.4269,0.4625
2021-07-26,0.3619,0.3346,0.1417,0.261,0.2901,0.1936,0.4207,0.456
2021-07-27,0.3633,0.3247,0.1389,0.2578,0.287,0.1913,0.4304,0.467
2021-07-28,0.3408,0.3183,0.1366,0.2447,0.2732,0.1703,0.4126,0.4658
2021-07-29,0.3443,0.318,0.1371,0.2435,0.277,0.1722,0.4044,0.4587
2021-07-30,0.3634,0.3296,0.1472,0.2524,0.2904,0.1773,0.4041,0.4585
2021-07-31,0.3618,0.3257,0.1445,0.2499,0.2851,0.1816,0.4055,0.4603
2021-08-01,0.352,0.3216,0.1374,0.2514,0.2799,0.184,0.3963,0.4595
2021-08-02,0.3586,0.3296,0.1492,0.2567,0.2907,0.1887,0.4102,0.4551
2021-08-03,0.3471,0.3209,0.1437,0.2613,0.2836,0.1848,0.4155,0.4518
2021-08-04,0.3497,0.3233,0.1446,0.2592,0.2831,0.1758,0.4179,0.4368
2021-08-05,0.3468,0.322,0.1469,0.2537,0.2754,0.172,0.414,0.4392
2021-08-06,0.3461,0.3189,0.1474,0.2493,0.2729,0.1648,0.4154,0.4518
2021-08-07,0.3554,0.3208,0.146,0.2514,0.2751,0.1728,0.4103,0.4455
2021-08-08,0.3494,0.3153,0.143,0.2435,0.2692,0.1747,0.4087,0.4401
2021-08-09,0.3414,0.3151,0.1538,0.2399,0.2712,0.1722,0.4023,0.4416
2021-08-10,0.3451,0.3215,0.146,0.2381,0.2737,0.1682,0.4044,0.4427
2021-08-11,0.3537,0.3173,0.1418,0.2384,0.281,0.1671,0.4057,0.4245
2021-08-12,0.3398,0.3071,0.1339,0.2373,0.2689,0.1771,0.4069,0.4171
2021-08-13,0.3291,0.3124,0.1517,0.2435,0.2661,0.1771,0.4001,0.414
2021-08-14,0.3254,0.3065,0.143,0.2348,0.2695,0.1601,0.405,0.4158
2021-08-15,0.3262,0.306,0.1473,0.2332,0.2716,0.1528,0.4057,0.4093
2021-08-16,0.3313,0.3062,0.1508,0.2277,0.271,0.1451,0.4062,0.4291
2021-08-17,0.3417,0.3075,0.1502,0.2292,0.2718,0.1418,0.399,0.44
2021-08-18,0.3383,0.2998,0.1453,0.2182,0.2668,0.1445,0.3948,0.4251
2021-08-19,0.3457,0.3097,0.1595,0.2198,0.2624,0.1392,0.3865,0.4143
2021-08-20,0.3524,0.311,0.1552,0.2189,0.2616,0.136,0.4035,0.4131
2021-08-21,0.3463,0.31,0.148,0.2212,0.2603,0.1395,0.3934,0.4081
2021-08-22,0.343,0.3076,0.1407,0.2225,0.257,0.1453,0.3883,0.419
2021-08-23,0.3351,0.3132,0.1334,0.2267,0.2532,0.1459,0.385,0.4245
2021-08-24,0.339,0.3219,0.1518,0.2282,0.2627,0.1403,0.3957,0.408
2021-08-25,0.3346,0.3169,0.1521,0.2229,0.2608,0.1396,0.3895,0.3985
2021-08-26,0.3306,0.3099,0.1414,0.2156,0.2566,0.1277,0.384,0.3958
2021-08-27,0.3245,0.3041,0.1383,0.2138,0.2508,0.1299,0.3782,0.4012
2021-08-28,0.3278,0.3036,0.1363,0.2167,0.2505,0.1316,0.3801,0.4031
2021-08-29,0.3327,0.3064,0.1538,0.2164,0.2549,0.1408,0.3753,0.4095
2021-08-30,0.3214,0.2989,0.1475,0.2025,0.2466,0.1269,0.372,0.3974
2021-08-31,0.3249,0.2965,0.1404,0.1991,0.2462,0.1262,0.3597,0.3942
2021-09-01,0.3287,0.2893,0.1404,0.1971,0.2406,0.1246,0.3508,0.3967
2021-09-02,0.3113,0.2819,0.1378,0.2009,0.2268,0.1204,0.3335,0.4045
2021-09-03,0.3111,0.2887,0.1502,0.2065,0.2374,0.1249,0.3282,0.4011
2021-09-04,0.3181,0.3011,0.1695,0.2158,0.2501,0.1236,0.3392,0.3995
2021-09-05,0.3134,0.2922,0.1619,0.2074,0.243,0.1209,0.3439,0.3997
2021-09-06,0.314,0.2904,0.1542,0.199,0.2351,0.118,0.3274,0.3727
2021-09-07,0.3116,0.2872,0.1514,0.1973,0.2353,0.1252,0.33,0.3853
2021-09-08,0.3126,0.2918,0.1611,0.1987,0.2361,0.1197,0.3328,0.3918
2021-09-09,0.3085,0.2909,0.1531,0.2031,0.2358,0.1157,0.3459,0.3929
2021-09-10,0.3097,0.287,0.1488,0.2064,0.2395,0.1147,0.3464,0.3922
2021-09-11,0.3104,0.2916,0.1543,0.2026,0.2432,0.119,0.3416,0.3952
2021-09-12,0.3017,0.2928,0.1572,0.2098,0.2368,0.1204,0.3371,0.3919
2021-09-13,0.2931,0.2843,0.1497,0.1951,0.2266,0.1182,0.3383,0.3881
2021-09-14,0.2628,0.281,0.1469,0.1916,0.2152,0.1126,0.3289,0.3797
2021-09-15,0.2609,0.2832,0.1565,0.183,0.2159,0.1039,0.3296,0.3987
2021-09-16,0.2577,0.2831,0.1468,0.1791,0.213,0.099,0.3211,0.3971
2021-09-17,0.2532,0.2789,0.1392,0.1769,0.2084,0.0992999999999999,0.3227,0.3753
2021-09-18,0.2546,0.2862,0.1702,0.1837,0.216,0.101,0.3154,0.3869
2021-09-19,0.2515,0.2823,0.1606,0.1804,0.2115,0.1014,0.3238,0.3898
