"","date","IRON.USD"
"224",2023-01-21,1.6129
"225",2023-01-22,1.6216
"226",2023-01-23,1.57
"227",2023-01-24,1.5378
"228",2023-01-25,1.3619
"229",2023-01-26,1.2107
"230",2023-01-27,1.1842
"231",2023-01-28,1.187
"232",2023-01-29,1.2967
"233",2023-01-30,1.0185
"234",2023-01-31,1.0443
"235",2023-02-01,1.1856
"236",2023-02-02,1.1595
"237",2023-02-03,1.1319
"238",2023-02-04,0.9237
"239",2023-02-05,0.991
"240",2023-02-06,0.9595
"241",2023-02-07,0.7565
"242",2023-02-08,0.877
"243",2023-02-09,0.7554
"244",2023-02-10,0.8374
"245",2023-02-11,0.7148
"246",2023-02-12,0.7653
"247",2023-02-13,0.7359
"248",2023-02-14,0.7621
"249",2023-02-15,0.7279
"250",2023-02-16,0.7474
"251",2023-02-17,0.7501
"252",2023-02-18,0.751
"253",2023-02-19,0.7064
"254",2023-02-20,0.6934
"255",2023-02-21,0.7277
"256",2023-02-22,0.6848
"257",2023-02-23,0.7221
"258",2023-02-24,0.7208
"259",2023-02-25,0.6866
"260",2023-02-26,0.7189
"261",2023-02-27,0.7256
"262",2023-02-28,0.7166
"263",2023-03-01,0.7089
"264",2023-03-02,0.6965
"265",2023-03-03,0.8131
"266",2023-03-04,0.7011
"267",2023-03-05,0.8241
"268",2023-03-06,0.6778
"269",2023-03-07,0.7041
"270",2023-03-08,0.7075
"271",2023-03-09,0.71
"272",2023-03-10,0.7091
"273",2023-03-11,0.8143
"274",2023-03-12,0.6977
"275",2023-03-13,0.708
"276",2023-03-14,0.7106
"277",2023-03-15,0.678
"278",2023-03-16,0.7026
"279",2023-03-17,0.7046
"280",2023-03-18,0.7086
"281",2023-03-19,0.6751
"282",2023-03-20,0.6935
"283",2023-03-21,0.7107
"284",2023-03-22,0.6941
"285",2023-03-23,0.7083
"286",2023-03-24,0.7115
"287",2023-03-25,0.6638
"288",2023-03-26,0.6989
"289",2023-03-27,0.7081
"290",2023-03-28,0.6953
"291",2023-03-29,0.7032
"292",2023-03-30,0.7
"293",2023-03-31,0.6771
"294",2023-04-01,0.6933
"295",2023-04-02,0.7068
"296",2023-04-03,0.7047
"297",2023-04-04,0.6781
"298",2023-04-05,0.6606
"299",2023-04-06,0.6983
"300",2023-04-07,0.6871
"301",2023-04-08,0.7422
"302",2023-04-09,0.683
"303",2023-04-10,0.6303
"304",2023-04-11,0.6968
"305",2023-04-12,0.6958
"306",2023-04-13,0.6472
"307",2023-04-14,0.6944
"308",2023-04-15,0.6954
"309",2023-04-16,0.7035
"310",2023-04-17,0.6969
"311",2023-04-18,0.6591
"312",2023-04-19,0.6947
"313",2023-04-20,0.8303
"314",2023-04-21,0.6795
"315",2023-04-22,0.6547
"316",2023-04-23,0.6918
"317",2023-04-24,0.6997
"318",2023-04-25,0.6964
"319",2023-04-26,0.6367
"320",2023-04-27,0.6915
"321",2023-04-28,0.6916
"322",2023-04-29,0.6347
"323",2023-04-30,0.6285
"324",2023-05-01,0.6888
"325",2023-05-02,0.6424
"326",2023-05-03,0.6925
"327",2023-05-04,0.6922
"328",2023-05-05,0.6523
"329",2023-05-06,0.6526
"330",2023-05-07,0.6817
"331",2023-05-08,0.6897
"332",2023-05-09,0.622
"333",2023-05-10,0.6884
"334",2023-05-11,0.6732
"335",2023-05-12,0.6765
"336",2023-05-13,0.6657
"337",2023-05-14,0.6019
"338",2023-05-15,0.66
"339",2023-05-16,0.6706
"340",2023-05-17,0.6853
"341",2023-05-18,0.6826
"342",2023-05-19,0.6697
"343",2023-05-20,0.6593
"344",2023-05-21,0.5961
"345",2023-05-22,0.587
"346",2023-05-23,0.6434
"347",2023-05-24,0.6565
"348",2023-05-25,0.6519
"349",2023-05-26,0.5831
"350",2023-05-27,0.6407
"351",2023-05-28,0.6566
"352",2023-05-29,0.6606
"353",2023-05-30,0.5793
"354",2023-05-31,0.6462
"355",2023-06-01,0.6032
"356",2023-06-02,0.6444
"357",2023-06-03,0.5988
"358",2023-06-04,0.5677
"359",2023-06-05,0.6385
"360",2023-06-06,0.6442
"361",2023-06-07,0.6101
"362",2023-06-08,0.6339
"363",2023-06-09,0.5785
"364",2023-06-10,0.6047
"365",2023-06-11,0.6396
"366",2023-06-12,0.561
"367",2023-06-13,0.6373
"368",2023-06-14,0.641
"369",2023-06-15,0.6296
"370",2023-06-16,0.6481
"371",2023-06-17,0.5538
"372",2023-06-18,0.6316
"373",2023-06-19,0.5908
"374",2023-06-20,0.6311
"375",2023-06-21,0.6593
"376",2023-06-22,0.6568
"377",2023-06-23,0.5529
"378",2023-06-24,0.6168
"379",2023-06-25,0.6533
"380",2023-06-26,0.6524
"381",2023-06-27,0.6655
"382",2023-06-28,0.6338
"383",2023-06-29,0.5572
"384",2023-06-30,0.6006
