"","date","HAS"
"326",2021-11-29,0.2129
"327",2021-11-30,0.2233
"328",2021-12-01,0.2407
"329",2021-12-02,0.2456
"330",2021-12-03,0.232
"331",2021-12-06,0.2532
"332",2021-12-07,0.24
"333",2021-12-08,0.2488
"334",2021-12-09,0.259
"335",2021-12-10,0.2444
"336",2021-12-13,0.2248
"337",2021-12-14,0.2337
"338",2021-12-15,0.2071
"339",2021-12-16,0.1903
"340",2021-12-17,0.2064
"341",2021-12-20,0.2237
"342",2021-12-21,0.2286
"343",2021-12-22,0.2196
"344",2021-12-23,0.1798
"345",2021-12-27,0.1735
"346",2021-12-28,0.2071
"347",2021-12-29,0.2393
"348",2021-12-30,0.24
"349",2021-12-31,0.2045
"350",2022-01-03,0.2056
"351",2022-01-04,0.2145
"352",2022-01-05,0.2073
"353",2022-01-06,0.1749
"354",2022-01-07,0.1603
"355",2022-01-10,0.1675
"356",2022-01-11,0.1685
"357",2022-01-12,0.1757
"358",2022-01-13,0.189
"359",2022-01-14,0.1843
"360",2022-01-18,0.1814
"361",2022-01-19,0.2033
"362",2022-01-20,0.2219
"363",2022-01-21,0.2115
"364",2022-01-24,0.2236
"365",2022-01-25,0.2012
"366",2022-01-26,0.1819
"367",2022-01-27,0.2029
"368",2022-01-28,0.1956
"369",2022-01-31,0.2031
"370",2022-02-01,0.2149
"371",2022-02-02,0.2083
"372",2022-02-03,0.1918
"373",2022-02-04,0.2028
"374",2022-02-07,0.205
"375",2022-02-08,0.22
"376",2022-02-09,0.2266
"377",2022-02-10,0.2397
"378",2022-02-11,0.2491
"379",2022-02-14,0.2543
"380",2022-02-15,0.2559
"381",2022-02-16,0.2597
"382",2022-02-17,0.2452
"383",2022-02-18,0.2199
"384",2022-02-22,0.2226
"385",2022-02-23,0.2196
"386",2022-02-24,0.2135
"387",2022-02-25,0.1992
"388",2022-02-28,0.2103
"389",2022-03-01,0.2285
"390",2022-03-02,0.2452
"391",2022-03-03,0.2755
"392",2022-03-04,0.2642
"393",2022-03-07,0.2468
"394",2022-03-08,0.2483
"395",2022-03-09,0.2566
"396",2022-03-10,0.2552
"397",2022-03-11,0.2569
"398",2022-03-14,0.227
"399",2022-03-15,0.1991
"400",2022-03-16,0.2333
"401",2022-03-17,0.2514
"402",2022-03-18,0.2521
"403",2022-03-21,0.2516
"404",2022-03-22,0.2252
"405",2022-03-23,0.2261
"406",2022-03-24,0.2693
"407",2022-03-25,0.2724
"408",2022-03-28,0.2705
"409",2022-03-29,0.2361
"410",2022-03-30,0.2047
"411",2022-03-31,0.2057
"412",2022-04-01,0.1993
"413",2022-04-04,0.1791
"414",2022-04-05,0.1608
"415",2022-04-06,0.1593
"416",2022-04-07,0.1634
"417",2022-04-08,0.196
"418",2022-04-11,0.2291
"419",2022-04-12,0.2399
"420",2022-04-13,0.2082
"421",2022-04-14,0.1896
"422",2022-04-18,0.1897
"423",2022-04-19,0.1765
"424",2022-04-20,0.1687
"425",2022-04-21,0.1624
"426",2022-04-22,0.1552
"427",2022-04-25,0.1764
"428",2022-04-26,0.1748
"429",2022-04-27,0.1748
"430",2022-04-28,0.2118
"431",2022-04-29,0.2078
"432",2022-05-02,0.2098
"433",2022-05-03,0.1998
"434",2022-05-04,0.1866
"435",2022-05-05,0.1804
"436",2022-05-06,0.1866
"437",2022-05-09,0.1895
"438",2022-05-10,0.1823
"439",2022-05-11,0.1734
"440",2022-05-12,0.1665
"441",2022-05-13,0.1812
"442",2022-05-16,0.1883
"443",2022-05-17,0.1838
"444",2022-05-18,0.1941
"445",2022-05-19,0.2194
"446",2022-05-20,0.2202
"447",2022-05-23,0.2026
"448",2022-05-24,0.215
"449",2022-05-25,0.1909
"450",2022-05-26,0.1949
"451",2022-05-27,0.203
"452",2022-05-31,0.2148
"453",2022-06-01,0.2022
"454",2022-06-02,0.2141
"455",2022-06-03,0.2254
"456",2022-06-06,0.2301
"457",2022-06-07,0.2406
"458",2022-06-08,0.2244
"459",2022-06-09,0.2176
"460",2022-06-10,0.2445
"461",2022-06-13,0.2635
"462",2022-06-14,0.2533
"463",2022-06-15,0.2383
"464",2022-06-16,0.214
"465",2022-06-17,0.2038
"466",2022-06-21,0.2256
"467",2022-06-22,0.2297
"468",2022-06-23,0.2243
"469",2022-06-24,0.2215
"470",2022-06-27,0.2251
"471",2022-06-28,0.22
"472",2022-06-29,0.2259
"473",2022-06-30,0.2121
"474",2022-07-01,0.2183
"475",2022-07-05,0.2126
"476",2022-07-06,0.2351
"477",2022-07-07,0.252
"478",2022-07-08,0.2597
"479",2022-07-11,0.2184
"480",2022-07-12,0.2074
"481",2022-07-13,0.2193
"482",2022-07-14,0.2335
"483",2022-07-15,0.2179
"484",2022-07-18,0.223
"485",2022-07-19,0.2197
"486",2022-07-20,0.2213
"487",2022-07-21,0.2357
"488",2022-07-22,0.2305
"489",2022-07-25,0.2232
"490",2022-07-26,0.232
"491",2022-07-27,0.2399
"492",2022-07-28,0.2272
"493",2022-07-29,0.1915
"494",2022-08-01,0.1892
"495",2022-08-02,0.1754
"496",2022-08-03,0.1945
"497",2022-08-04,0.1948
"498",2022-08-05,0.1801
"499",2022-08-08,0.1786
"500",2022-08-09,0.1841
