"","date","CTLT"
"274",2021-09-15,0.1015
"275",2021-09-16,0.1077
"276",2021-09-17,0.1348
"277",2021-09-20,0.1605
"278",2021-09-21,0.1599
"279",2021-09-22,0.1635
"280",2021-09-23,0.1662
"281",2021-09-24,0.1739
"282",2021-09-27,0.1674
"283",2021-09-28,0.1567
"284",2021-09-29,0.1488
"285",2021-09-30,0.1632
"286",2021-10-01,0.1722
"287",2021-10-04,0.1764
"288",2021-10-05,0.192
"289",2021-10-06,0.1911
"290",2021-10-07,0.1497
"291",2021-10-08,0.1616
"292",2021-10-11,0.1693
"293",2021-10-12,0.1816
"294",2021-10-13,0.1832
"295",2021-10-14,0.1881
"296",2021-10-15,0.1741
"297",2021-10-18,0.1561
"298",2021-10-19,0.1486
"299",2021-10-20,0.1599
"300",2021-10-21,0.1611
"301",2021-10-22,0.1723
"302",2021-10-25,0.1802
"303",2021-10-26,0.1911
"304",2021-10-27,0.2035
"305",2021-10-28,0.1963
"306",2021-10-29,0.1844
"307",2021-11-01,0.1794
"308",2021-11-02,0.2046
"309",2021-11-03,0.2025
"310",2021-11-04,0.1861
"311",2021-11-05,0.191
"312",2021-11-08,0.1918
"313",2021-11-09,0.2004
"314",2021-11-10,0.1892
"315",2021-11-11,0.1992
"316",2021-11-12,0.1966
"317",2021-11-15,0.1942
"318",2021-11-16,0.1956
"319",2021-11-17,0.1972
"320",2021-11-18,0.183
"321",2021-11-19,0.1803
"322",2021-11-22,0.1726
"323",2021-11-23,0.1853
"324",2021-11-24,0.1852
"325",2021-11-26,0.2052
"326",2021-11-29,0.1981
"327",2021-11-30,0.2005
"328",2021-12-01,0.1982
"329",2021-12-02,0.2012
"330",2021-12-03,0.2017
"331",2021-12-06,0.2084
"332",2021-12-07,0.1996
"333",2021-12-08,0.1905
"334",2021-12-09,0.1881
"335",2021-12-10,0.1888
"336",2021-12-13,0.2183
"337",2021-12-14,0.2166
"338",2021-12-15,0.1915
"339",2021-12-16,0.1811
"340",2021-12-17,0.1765
"341",2021-12-20,0.2056
"342",2021-12-21,0.2126
"343",2021-12-22,0.1862
"344",2021-12-23,0.1832
"345",2021-12-27,0.1827
"346",2021-12-28,0.1754
"347",2021-12-29,0.1807
"348",2021-12-30,0.1885
"349",2021-12-31,0.1998
"350",2022-01-03,0.1521
"351",2022-01-04,0.153
"352",2022-01-05,0.1648
"353",2022-01-06,0.1571
"354",2022-01-07,0.1379
"355",2022-01-10,0.1544
"356",2022-01-11,0.1702
"357",2022-01-12,0.1681
"358",2022-01-13,0.1794
"359",2022-01-14,0.193
"360",2022-01-18,0.181
"361",2022-01-19,0.1777
"362",2022-01-20,0.1779
"363",2022-01-21,0.1784
"364",2022-01-24,0.1708
"365",2022-01-25,0.1692
"366",2022-01-26,0.1632
"367",2022-01-27,0.1586
"368",2022-01-28,0.1792
"369",2022-01-31,0.1949
"370",2022-02-01,0.1871
