"","date","HII"
"314",2021-11-10,0.14
"315",2021-11-11,0.1494
"316",2021-11-12,0.1448
"317",2021-11-15,0.1575
"318",2021-11-16,0.1549
"319",2021-11-17,0.1453
"320",2021-11-18,0.1382
"321",2021-11-19,0.151
"322",2021-11-22,0.1371
"323",2021-11-23,0.1298
"324",2021-11-24,0.1262
"325",2021-11-26,0.1394
"326",2021-11-29,0.1303
"327",2021-11-30,0.1464
"328",2021-12-01,0.1437
"329",2021-12-02,0.144
"330",2021-12-03,0.1277
"331",2021-12-06,0.126
"332",2021-12-07,0.1228
"333",2021-12-08,0.1437
"334",2021-12-09,0.1396
"335",2021-12-10,0.1304
"336",2021-12-13,0.1188
"337",2021-12-14,0.1124
"338",2021-12-15,0.0962
"339",2021-12-16,0.0885
"340",2021-12-17,0.0865
"341",2021-12-20,0.0813
"342",2021-12-21,0.0607
"343",2021-12-22,0.0472
"344",2021-12-23,0.0416
"345",2021-12-27,0.0696
"346",2021-12-28,0.0492
"347",2021-12-29,0.0530999999999999
"348",2021-12-30,0.0393
"349",2021-12-31,0.0315000000000001
"350",2022-01-03,0.0256
"351",2022-01-04,0.0239
"352",2022-01-05,0.0269999999999999
"353",2022-01-06,0.0352
"354",2022-01-07,0.0406
"355",2022-01-10,0.0518000000000001
"356",2022-01-11,0.033
"357",2022-01-12,0.0366
"358",2022-01-13,0.0368000000000001
"359",2022-01-14,0.0355000000000001
"360",2022-01-18,0.048
"361",2022-01-19,0.0634
"362",2022-01-20,0.0679999999999999
"363",2022-01-21,0.0669000000000001
"364",2022-01-24,0.0694
"365",2022-01-25,0.0874
"366",2022-01-26,0.087
"367",2022-01-27,0.0978
"368",2022-01-28,0.0848
"369",2022-01-31,0.11
"370",2022-02-01,0.1214
"371",2022-02-02,0.125
"372",2022-02-03,0.1212
"373",2022-02-04,0.129
"374",2022-02-07,0.1214
"375",2022-02-08,0.1347
"376",2022-02-09,0.1275
"377",2022-02-10,0.1376
"378",2022-02-11,0.1295
"379",2022-02-14,0.1044
"380",2022-02-15,0.1125
"381",2022-02-16,0.1227
"382",2022-02-17,0.1146
"383",2022-02-18,0.1185
"384",2022-02-22,0.1148
"385",2022-02-23,0.1268
"386",2022-02-24,0.1098
"387",2022-02-25,0.1205
"388",2022-02-28,0.1221
"389",2022-03-01,0.1219
"390",2022-03-02,0.1115
"391",2022-03-03,0.123
"392",2022-03-04,0.1246
"393",2022-03-07,0.1293
"394",2022-03-08,0.1248
"395",2022-03-09,0.1477
"396",2022-03-10,0.1335
"397",2022-03-11,0.1416
"398",2022-03-14,0.1408
"399",2022-03-15,0.1405
"400",2022-03-16,0.1424
"401",2022-03-17,0.1472
"402",2022-03-18,0.1493
"403",2022-03-21,0.1464
"404",2022-03-22,0.1425
"405",2022-03-23,0.1656
"406",2022-03-24,0.1631
"407",2022-03-25,0.1611
"408",2022-03-28,0.158
"409",2022-03-29,0.1531
"410",2022-03-30,0.1442
"411",2022-03-31,0.1488
"412",2022-04-01,0.1464
"413",2022-04-04,0.1591
"414",2022-04-05,0.1621
"415",2022-04-06,0.1864
"416",2022-04-07,0.1646
"417",2022-04-08,0.1769
"418",2022-04-11,0.178
"419",2022-04-12,0.182
"420",2022-04-13,0.1895
"421",2022-04-14,0.1745
"422",2022-04-18,0.1718
"423",2022-04-19,0.1652
"424",2022-04-20,0.1778
"425",2022-04-21,0.1936
"426",2022-04-22,0.1741
"427",2022-04-25,0.1691
