"","date","CPB"
"350",2023-06-09,0.2873
"351",2023-06-12,0.2801
"352",2023-06-13,0.2637
"353",2023-06-14,0.2592
"354",2023-06-15,0.2614
"355",2023-06-16,0.2609
"356",2023-06-20,0.26
"357",2023-06-21,0.2696
"358",2023-06-22,0.2788
"359",2023-06-23,0.2704
"360",2023-06-26,0.2758
"361",2023-06-27,0.285
"362",2023-06-28,0.2752
"363",2023-06-29,0.2657
