"","date","FMC"
"566",2022-11-10,0.1986
"567",2022-11-11,0.1776
"568",2022-11-14,0.1685
"569",2022-11-15,0.1674
"570",2022-11-16,0.1731
"571",2022-11-17,0.1673
"572",2022-11-18,0.1783
"573",2022-11-21,0.2033
"574",2022-11-22,0.233
"575",2022-11-23,0.2009
"576",2022-11-25,0.2162
"577",2022-11-28,0.189
"578",2022-11-29,0.1839
"579",2022-11-30,0.1802
"580",2022-12-01,0.1974
"581",2022-12-02,0.1961
"582",2022-12-05,0.1925
"583",2022-12-06,0.168
"584",2022-12-07,0.1871
"585",2022-12-08,0.1688
"586",2022-12-09,0.1691
"587",2022-12-12,0.1615
"588",2022-12-13,0.1646
"589",2022-12-14,0.1401
"590",2022-12-15,0.1532
"591",2022-12-16,0.1363
"592",2022-12-19,0.1458
"593",2022-12-20,0.1414
"594",2022-12-21,0.1385
"595",2022-12-22,0.1379
"596",2022-12-23,0.1338
"597",2022-12-27,0.1262
"598",2022-12-28,0.145
"599",2022-12-29,0.147
"600",2022-12-30,0.1792
"601",2023-01-03,0.1752
"602",2023-01-04,0.1799
"603",2023-01-05,0.1535
"604",2023-01-06,0.1504
"605",2023-01-09,0.1595
"606",2023-01-10,0.1758
"607",2023-01-11,0.1599
"608",2023-01-12,0.1588
"609",2023-01-13,0.1581
"610",2023-01-17,0.1671
"611",2023-01-18,0.1663
"612",2023-01-19,0.1751
"613",2023-01-20,0.164
"614",2023-01-23,0.1796
"615",2023-01-24,0.1756
"616",2023-01-25,0.1818
"617",2023-01-26,0.1734
"618",2023-01-27,0.1784
"619",2023-01-30,0.1829
"620",2023-01-31,0.195
"621",2023-02-01,0.1982
"622",2023-02-02,0.1869
"623",2023-02-03,0.1814
"624",2023-02-06,0.1812
"625",2023-02-07,0.1843
"626",2023-02-08,0.1862
"627",2023-02-09,0.1716
"628",2023-02-10,0.1853
"629",2023-02-13,0.1841
"630",2023-02-14,0.1847
"631",2023-02-15,0.1807
"632",2023-02-16,0.1868
"633",2023-02-17,0.1868
"634",2023-02-21,0.2019
"635",2023-02-22,0.1889
"636",2023-02-23,0.1996
"637",2023-02-24,0.1805
"638",2023-02-27,0.1701
"639",2023-02-28,0.1631
"640",2023-03-01,0.1846
"641",2023-03-02,0.177
"642",2023-03-03,0.1715
"643",2023-03-06,0.1525
"644",2023-03-07,0.1528
"645",2023-03-08,0.157
"646",2023-03-09,0.1407
"647",2023-03-10,0.1358
"648",2023-03-13,0.137
"649",2023-03-14,0.1297
"650",2023-03-15,0.1404
"651",2023-03-16,0.1324
"652",2023-03-17,0.1237
"653",2023-03-20,0.1109
"654",2023-03-21,0.1223
"655",2023-03-22,0.1147
"656",2023-03-23,0.1103
"657",2023-03-24,0.094
"658",2023-03-27,0.1032
"659",2023-03-28,0.1053
"660",2023-03-29,0.1271
"661",2023-03-30,0.1227
"662",2023-03-31,0.1287
"663",2023-04-03,0.1219
"664",2023-04-04,0.1224
"665",2023-04-05,0.1116
"666",2023-04-06,0.0704
"667",2023-04-10,0.0314
"668",2023-04-11,0.0281
"669",2023-04-12,0.0237
"670",2023-04-13,0.0464000000000001
"671",2023-04-14,0.0322
"672",2023-04-17,0.0655
"673",2023-04-18,0.0551
"674",2023-04-19,0.0356
"675",2023-04-20,0.029
"676",2023-04-21,0.0301
"677",2023-04-24,0.0261
"678",2023-04-25,0.0392
"679",2023-04-26,0.041
"680",2023-04-27,0.0601
"681",2023-04-28,0.0703
"682",2023-05-01,0.0706
"683",2023-05-02,0.0724
"684",2023-05-03,0.0786000000000001
"685",2023-05-04,0.0905
"686",2023-05-05,0.0923
"687",2023-05-08,0.087
"688",2023-05-09,0.0917
"689",2023-05-10,0.0954
"690",2023-05-11,0.094
"691",2023-05-12,0.0965
"692",2023-05-15,0.0868
"693",2023-05-16,0.0935
"694",2023-05-17,0.0942
"695",2023-05-18,0.108
"696",2023-05-19,0.1188
"697",2023-05-22,0.1253
"698",2023-05-23,0.1277
"699",2023-05-24,0.1247
"700",2023-05-25,0.1485
"701",2023-05-26,0.1418
"702",2023-05-30,0.1492
"703",2023-05-31,0.1463
"704",2023-06-01,0.1434
"705",2023-06-02,0.1437
"706",2023-06-05,0.1514
"707",2023-06-06,0.1529
"708",2023-06-07,0.1471
"709",2023-06-08,0.132
"710",2023-06-09,0.1354
"711",2023-06-12,0.1496
"712",2023-06-13,0.1558
"713",2023-06-14,0.1587
"714",2023-06-15,0.15
"715",2023-06-16,0.1443
"716",2023-06-20,0.1417
"717",2023-06-21,0.144
"718",2023-06-22,0.122
"719",2023-06-23,0.1138
"720",2023-06-26,0.1156
"721",2023-06-27,0.1053
"722",2023-06-28,0.096
"723",2023-06-29,0.0778000000000001
