"","date","PARA"
"397",2022-03-11,0.1552
"398",2022-03-14,0.1457
"399",2022-03-15,0.1348
"400",2022-03-16,0.134
"401",2022-03-17,0.1358
"402",2022-03-18,0.1363
"403",2022-03-21,0.1301
"404",2022-03-22,0.1464
"405",2022-03-23,0.1546
"406",2022-03-24,0.1625
"407",2022-03-25,0.1549
"408",2022-03-28,0.1447
"409",2022-03-29,0.1476
"410",2022-03-30,0.1564
"411",2022-03-31,0.1684
"412",2022-04-01,0.1595
"413",2022-04-04,0.1508
"414",2022-04-05,0.1491
"415",2022-04-06,0.1692
"416",2022-04-07,0.1648
"417",2022-04-08,0.1636
"418",2022-04-11,0.1721
"419",2022-04-12,0.2064
"420",2022-04-13,0.2129
"421",2022-04-14,0.2036
"422",2022-04-18,0.1865
"423",2022-04-19,0.1988
"424",2022-04-20,0.2096
"425",2022-04-21,0.2638
"426",2022-04-22,0.2785
"427",2022-04-25,0.2742
"428",2022-04-26,0.2373
"429",2022-04-27,0.2388
"430",2022-04-28,0.2509
"431",2022-04-29,0.2718
"432",2022-05-02,0.2531
"433",2022-05-03,0.2471
"434",2022-05-04,0.2214
"435",2022-05-05,0.2189
"436",2022-05-06,0.205
"437",2022-05-09,0.2033
"438",2022-05-10,0.2061
"439",2022-05-11,0.209
"440",2022-05-12,0.1957
"441",2022-05-13,0.1806
"442",2022-05-16,0.1597
"443",2022-05-17,0.1635
"444",2022-05-18,0.1566
"445",2022-05-19,0.1766
"446",2022-05-20,0.165
"447",2022-05-23,0.1485
"448",2022-05-24,0.131
"449",2022-05-25,0.152
"450",2022-05-26,0.1635
"451",2022-05-27,0.1586
"452",2022-05-31,0.1509
"453",2022-06-01,0.1453
"454",2022-06-02,0.17
"455",2022-06-03,0.1618
"456",2022-06-06,0.1561
"457",2022-06-07,0.1517
"458",2022-06-08,0.1528
"459",2022-06-09,0.1466
"460",2022-06-10,0.1645
"461",2022-06-13,0.1666
"462",2022-06-14,0.1738
"463",2022-06-15,0.163
"464",2022-06-16,0.1912
"465",2022-06-17,0.1868
"466",2022-06-21,0.1869
"467",2022-06-22,0.1809
"468",2022-06-23,0.1908
"469",2022-06-24,0.1787
"470",2022-06-27,0.1848
"471",2022-06-28,0.1695
"472",2022-06-29,0.1888
"473",2022-06-30,0.1801
"474",2022-07-01,0.1859
"475",2022-07-05,0.1905
"476",2022-07-06,0.1849
"477",2022-07-07,0.1533
"478",2022-07-08,0.1612
"479",2022-07-11,0.1412
"480",2022-07-12,0.1672
"481",2022-07-13,0.1698
"482",2022-07-14,0.1748
"483",2022-07-15,0.1488
"484",2022-07-18,0.1493
"485",2022-07-19,0.1658
"486",2022-07-20,0.1611
"487",2022-07-21,0.1673
