"","date","AOS"
"296",2021-10-15,0.198
"297",2021-10-18,0.2273
"298",2021-10-19,0.2317
"299",2021-10-20,0.2352
"300",2021-10-21,0.2556
"301",2021-10-22,0.288
"302",2021-10-25,0.2824
"303",2021-10-26,0.2588
"304",2021-10-27,0.2349
"305",2021-10-28,0.2623
"306",2021-10-29,0.2555
"307",2021-11-01,0.2683
"308",2021-11-02,0.2519
"309",2021-11-03,0.2259
"310",2021-11-04,0.2196
"311",2021-11-05,0.2286
"312",2021-11-08,0.2327
"313",2021-11-09,0.2508
"314",2021-11-10,0.244
"315",2021-11-11,0.2454
"316",2021-11-12,0.2211
"317",2021-11-15,0.2173
"318",2021-11-16,0.2096
"319",2021-11-17,0.2086
"320",2021-11-18,0.1749
"321",2021-11-19,0.17
"322",2021-11-22,0.1552
"323",2021-11-23,0.1584
"324",2021-11-24,0.1504
"325",2021-11-26,0.1661
"326",2021-11-29,0.168
"327",2021-11-30,0.1836
"328",2021-12-01,0.1492
"329",2021-12-02,0.1262
"330",2021-12-03,0.1252
"331",2021-12-06,0.126
"332",2021-12-07,0.1139
"333",2021-12-08,0.1143
"334",2021-12-09,0.08
"335",2021-12-10,0.0623
"336",2021-12-13,0.0689
"337",2021-12-14,0.0879
"338",2021-12-15,0.105
"339",2021-12-16,0.1039
"340",2021-12-17,0.0766
"341",2021-12-20,0.0622
"342",2021-12-21,0.0303999999999999
"343",2021-12-22,0.0451
"344",2021-12-23,0.0394
"345",2021-12-27,0.0393
"346",2021-12-28,0.0417
"347",2021-12-29,0.0536
"348",2021-12-30,0.0414
"349",2021-12-31,0.0551
"350",2022-01-03,0.0433999999999999
"351",2022-01-04,0.0407999999999999
"352",2022-01-05,0.0556
"353",2022-01-06,0.0498000000000001
"354",2022-01-07,0.048
"355",2022-01-10,0.0413999999999999
"356",2022-01-11,0.046
"357",2022-01-12,0.0513
"358",2022-01-13,0.0451
"359",2022-01-14,0.0508
"360",2022-01-18,0.05
"361",2022-01-19,0.044
"362",2022-01-20,0.047
"363",2022-01-21,0.0478999999999999
"364",2022-01-24,0.0835
"365",2022-01-25,0.0893
"366",2022-01-26,0.0829
"367",2022-01-27,0.0803
"368",2022-01-28,0.0673
"369",2022-01-31,0.0575000000000001
"370",2022-02-01,0.0617
"371",2022-02-02,0.0594000000000001
"372",2022-02-03,0.064
"373",2022-02-04,0.0624
"374",2022-02-07,0.0582
"375",2022-02-08,0.0589999999999999
"376",2022-02-09,0.0817000000000001
"377",2022-02-10,0.0894
"378",2022-02-11,0.1019
"379",2022-02-14,0.1022
"380",2022-02-15,0.1023
"381",2022-02-16,0.0977
"382",2022-02-17,0.0777
"383",2022-02-18,0.0793
"384",2022-02-22,0.0952999999999999
"385",2022-02-23,0.0836
"386",2022-02-24,0.081
"387",2022-02-25,0.0709000000000001
"388",2022-02-28,0.0782
"389",2022-03-01,0.0805
"390",2022-03-02,0.0899
"391",2022-03-03,0.0823
"392",2022-03-04,0.0825000000000001
"393",2022-03-07,0.0759
"394",2022-03-08,0.0849
"395",2022-03-09,0.0709
"396",2022-03-10,0.0497
"397",2022-03-11,0.0377000000000001
"398",2022-03-14,0.0248
"399",2022-03-15,0.0232
"400",2022-03-16,0.05
"401",2022-03-17,0.0518
"402",2022-03-18,0.0382
"403",2022-03-21,0.0436
"404",2022-03-22,0.0417
"405",2022-03-23,0.0384
"406",2022-03-24,0.0353
"407",2022-03-25,0.0279
"408",2022-03-28,0.0236999999999999
"409",2022-03-29,0.0249
"410",2022-03-30,0.0265
"411",2022-03-31,0.0368999999999999
"412",2022-04-01,0.0603
"413",2022-04-04,0.0469000000000001
"414",2022-04-05,0.0454
"415",2022-04-06,0.0337000000000001
"416",2022-04-07,0.0289
"417",2022-04-08,0.0345
"418",2022-04-11,0.0316
"419",2022-04-12,0.0386
"420",2022-04-13,0.0457000000000001
"421",2022-04-14,0.0388000000000001
"422",2022-04-18,0.0506
"423",2022-04-19,0.0484
"424",2022-04-20,0.0781000000000001
"425",2022-04-21,0.0781000000000001
"426",2022-04-22,0.0686
"427",2022-04-25,0.0558999999999999
"428",2022-04-26,0.0541
"429",2022-04-27,0.0515
"430",2022-04-28,0.0599
"431",2022-04-29,0.0529999999999999
"432",2022-05-02,0.0682
"433",2022-05-03,0.075
"434",2022-05-04,0.0807
"435",2022-05-05,0.0767
"436",2022-05-06,0.0926999999999999
"437",2022-05-09,0.0768
"438",2022-05-10,0.0755
"439",2022-05-11,0.08
"440",2022-05-12,0.0895
"441",2022-05-13,0.0919
"442",2022-05-16,0.0939
"443",2022-05-17,0.095
"444",2022-05-18,0.1059
"445",2022-05-19,0.0945
"446",2022-05-20,0.0932999999999999
"447",2022-05-23,0.0951000000000001
"448",2022-05-24,0.1073
"449",2022-05-25,0.1104
"450",2022-05-26,0.1182
"451",2022-05-27,0.0975
"452",2022-05-31,0.0951
"453",2022-06-01,0.0892
"454",2022-06-02,0.1069
"455",2022-06-03,0.1165
"456",2022-06-06,0.1156
"457",2022-06-07,0.101
"458",2022-06-08,0.0827000000000001
"459",2022-06-09,0.0713
"460",2022-06-10,0.0888
"461",2022-06-13,0.0917
"462",2022-06-14,0.0898
"463",2022-06-15,0.0762
"464",2022-06-16,0.0776000000000001
"465",2022-06-17,0.0659
"466",2022-06-21,0.0677
"467",2022-06-22,0.0608
"468",2022-06-23,0.0624
"469",2022-06-24,0.0552
"470",2022-06-27,0.047
"471",2022-06-28,0.0447
"472",2022-06-29,0.0614
"473",2022-06-30,0.0492
"474",2022-07-01,0.0728
"475",2022-07-05,0.0624999999999999
"476",2022-07-06,0.066
"477",2022-07-07,0.0704
"478",2022-07-08,0.0609
"479",2022-07-11,0.0544999999999999
"480",2022-07-12,0.048
"481",2022-07-13,0.0355
"482",2022-07-14,0.0383000000000001
"483",2022-07-15,0.0433
"484",2022-07-18,0.0489000000000001
"485",2022-07-19,0.0343
"486",2022-07-20,0.0261
"487",2022-07-21,0.0415
"488",2022-07-22,0.0289
"489",2022-07-25,0.0186000000000001
"490",2022-07-26,0.0243
"491",2022-07-27,0.0456
"492",2022-07-28,0.0629
"493",2022-07-29,0.1009
"494",2022-08-01,0.085
"495",2022-08-02,0.0686
"496",2022-08-03,0.0345000000000001
"497",2022-08-04,0.0335000000000001
"498",2022-08-05,0.0218
"499",2022-08-08,0.0204
"500",2022-08-09,0.0208
"501",2022-08-10,0.0172999999999999
"502",2022-08-11,0.0315
"503",2022-08-12,0.0275
"504",2022-08-15,0.035
"505",2022-08-16,0.0303
"506",2022-08-17,0.0206999999999999
"507",2022-08-18,0.0307
"508",2022-08-19,0.0404
"509",2022-08-22,0.0426
"510",2022-08-23,0.0501
"511",2022-08-24,0.0554
"512",2022-08-25,0.0582
"513",2022-08-26,0.0552
"514",2022-08-29,0.0541
"515",2022-08-30,0.0483
"516",2022-08-31,0.0470999999999999
"517",2022-09-01,0.0317
"518",2022-09-02,0.0363
"519",2022-09-06,0.0464
"520",2022-09-07,0.081
"521",2022-09-08,0.0821
"522",2022-09-09,0.08
"523",2022-09-12,0.0701000000000001
"524",2022-09-13,0.0933
"525",2022-09-14,0.0796
"526",2022-09-15,0.0842
"527",2022-09-16,0.0895
"528",2022-09-19,0.0855
"529",2022-09-20,0.0913
"530",2022-09-21,0.0947
"531",2022-09-22,0.098
"532",2022-09-23,0.1291
"533",2022-09-26,0.1298
"534",2022-09-27,0.1343
"535",2022-09-28,0.1107
"536",2022-09-29,0.0908
"537",2022-09-30,0.1084
"538",2022-10-03,0.1188
"539",2022-10-04,0.1164
"540",2022-10-05,0.1192
"541",2022-10-06,0.1103
"542",2022-10-07,0.1121
"543",2022-10-10,0.1065
"544",2022-10-11,0.1384
"545",2022-10-12,0.153
"546",2022-10-13,0.1571
"547",2022-10-14,0.1386
"548",2022-10-17,0.1213
"549",2022-10-18,0.1184
"550",2022-10-19,0.1222
"551",2022-10-20,0.118
"552",2022-10-21,0.121
"553",2022-10-24,0.0983000000000001
"554",2022-10-25,0.0975
"555",2022-10-26,0.089
"556",2022-10-27,0.0823
"557",2022-10-28,0.0696
"558",2022-10-31,0.0667000000000001
"559",2022-11-01,0.0665
"560",2022-11-02,0.0817
"561",2022-11-03,0.0664
"562",2022-11-04,0.0657
"563",2022-11-07,0.0654
"564",2022-11-08,0.0564
"565",2022-11-09,0.0439999999999999
"566",2022-11-10,0.0426
"567",2022-11-11,0.0402
"568",2022-11-14,0.0507000000000001
"569",2022-11-15,0.038
"570",2022-11-16,0.0318000000000001
"571",2022-11-17,0.0234000000000001
"572",2022-11-18,0.0273
"573",2022-11-21,0.0308999999999999
"574",2022-11-22,0.0262
"575",2022-11-23,0.018
"576",2022-11-25,0.0212
"577",2022-11-28,0.0253
"578",2022-11-29,0.0546
"579",2022-11-30,0.0571
"580",2022-12-01,0.0352
"581",2022-12-02,0.0416000000000001
"582",2022-12-05,0.0565
"583",2022-12-06,0.0879
"584",2022-12-07,0.0829000000000001
"585",2022-12-08,0.0887
"586",2022-12-09,0.0741000000000001
"587",2022-12-12,0.0780000000000001
"588",2022-12-13,0.0692
"589",2022-12-14,0.0660000000000001
"590",2022-12-15,0.079
"591",2022-12-16,0.0956
"592",2022-12-19,0.0782999999999999
"593",2022-12-20,0.0827
"594",2022-12-21,0.0716
"595",2022-12-22,0.0988
"596",2022-12-23,0.1027
"597",2022-12-27,0.0856
"598",2022-12-28,0.045
"599",2022-12-29,0.0268999999999999
"600",2022-12-30,0.0204
"601",2023-01-03,0.019
"602",2023-01-04,0.0241
"603",2023-01-05,0.0288999999999999
"604",2023-01-06,0.0337999999999999
"605",2023-01-09,0.0365
"606",2023-01-10,0.0446
"607",2023-01-11,0.0508
"608",2023-01-12,0.0623
"609",2023-01-13,0.0812
"610",2023-01-17,0.1004
"611",2023-01-18,0.0989
"612",2023-01-19,0.1102
"613",2023-01-20,0.0587
"614",2023-01-23,0.054
"615",2023-01-24,0.0738
"616",2023-01-25,0.0912999999999999
"617",2023-01-26,0.1011
"618",2023-01-27,0.1198
"619",2023-01-30,0.1124
"620",2023-01-31,0.107
"621",2023-02-01,0.0961000000000001
"622",2023-02-02,0.0823
"623",2023-02-03,0.073
"624",2023-02-06,0.0635
"625",2023-02-07,0.0375000000000001
"626",2023-02-08,0.0477000000000001
"627",2023-02-09,0.0534
"628",2023-02-10,0.0549000000000001
"629",2023-02-13,0.0554
"630",2023-02-14,0.0639
"631",2023-02-15,0.0632
"632",2023-02-16,0.0674
"633",2023-02-17,0.0658
"634",2023-02-21,0.0678
"635",2023-02-22,0.074
"636",2023-02-23,0.0859
"637",2023-02-24,0.0872999999999999
"638",2023-02-27,0.075
"639",2023-02-28,0.0700000000000001
"640",2023-03-01,0.0660000000000001
"641",2023-03-02,0.0650000000000001
"642",2023-03-03,0.0713999999999999
"643",2023-03-06,0.0761999999999999
"644",2023-03-07,0.0705
"645",2023-03-08,0.0769
"646",2023-03-09,0.0851999999999999
"647",2023-03-10,0.0793
"648",2023-03-13,0.0661999999999999
"649",2023-03-14,0.0756
"650",2023-03-15,0.0750000000000001
"651",2023-03-16,0.0813
"652",2023-03-17,0.081
"653",2023-03-20,0.0785
"654",2023-03-21,0.0846
"655",2023-03-22,0.0734
"656",2023-03-23,0.0670000000000001
"657",2023-03-24,0.0704
"658",2023-03-27,0.08
"659",2023-03-28,0.0755
"660",2023-03-29,0.076
"661",2023-03-30,0.0955
"662",2023-03-31,0.1117
"663",2023-04-03,0.1145
"664",2023-04-04,0.0862
"665",2023-04-05,0.0805000000000001
"666",2023-04-06,0.0858
"667",2023-04-10,0.0789
"668",2023-04-11,0.0857000000000001
"669",2023-04-12,0.0821
"670",2023-04-13,0.0758000000000001
"671",2023-04-14,0.0628
"672",2023-04-17,0.0777000000000001
"673",2023-04-18,0.0904
"674",2023-04-19,0.1082
"675",2023-04-20,0.1324
"676",2023-04-21,0.1542
"677",2023-04-24,0.1528
"678",2023-04-25,0.1263
"679",2023-04-26,0.0921
"680",2023-04-27,0.0892000000000001
"681",2023-04-28,0.1043
"682",2023-05-01,0.1034
"683",2023-05-02,0.1207
"684",2023-05-03,0.1212
"685",2023-05-04,0.1257
"686",2023-05-05,0.142
"687",2023-05-08,0.1518
"688",2023-05-09,0.1366
"689",2023-05-10,0.0878
"690",2023-05-11,0.0657000000000001
"691",2023-05-12,0.0468000000000001
"692",2023-05-15,0.048
"693",2023-05-16,0.0430999999999999
"694",2023-05-17,0.0732
"695",2023-05-18,0.0871
"696",2023-05-19,0.0933
"697",2023-05-22,0.0858
"698",2023-05-23,0.0632
"699",2023-05-24,0.0573
"700",2023-05-25,0.0705
"701",2023-05-26,0.0608
"702",2023-05-30,0.0622
"703",2023-05-31,0.0551
"704",2023-06-01,0.0566
"705",2023-06-02,0.085
"706",2023-06-05,0.0828
"707",2023-06-06,0.0819
"708",2023-06-07,0.0670999999999999
"709",2023-06-08,0.0578
"710",2023-06-09,0.0746999999999999
"711",2023-06-12,0.0956
"712",2023-06-13,0.1062
"713",2023-06-14,0.0715
"714",2023-06-15,0.0495
"715",2023-06-16,0.0422999999999999
"716",2023-06-20,0.0568
"717",2023-06-21,0.0513
"718",2023-06-22,0.0429
"719",2023-06-23,0.0511
"720",2023-06-26,0.0591
"721",2023-06-27,0.0566
"722",2023-06-28,0.0559
"723",2023-06-29,0.05
