"","date","AIZ"
"293",2023-03-20,0.3105
"294",2023-03-21,0.304
"295",2023-03-22,0.2986
"296",2023-03-23,0.3054
"297",2023-03-24,0.3109
"298",2023-03-27,0.2974
"299",2023-03-28,0.289
"300",2023-03-29,0.2941
"301",2023-03-30,0.312
"302",2023-03-31,0.3048
"303",2023-04-03,0.3022
"304",2023-04-04,0.3055
"305",2023-04-05,0.304
"306",2023-04-06,0.3041
"307",2023-04-10,0.3108
"308",2023-04-11,0.3041
"309",2023-04-12,0.2902
"310",2023-04-13,0.2904
"311",2023-04-14,0.3065
"312",2023-04-17,0.3007
"313",2023-04-18,0.2923
"314",2023-04-19,0.2773
"315",2023-04-20,0.2719
"316",2023-04-21,0.2772
"317",2023-04-24,0.2831
"318",2023-04-25,0.2943
"319",2023-04-26,0.2868
"320",2023-04-27,0.2781
"321",2023-04-28,0.2946
"322",2023-05-01,0.2862
"323",2023-05-02,0.2754
"324",2023-05-03,0.2812
"325",2023-05-04,0.2722
"326",2023-05-05,0.2651
"327",2023-05-08,0.2654
"328",2023-05-09,0.2682
"329",2023-05-10,0.2529
"330",2023-05-11,0.258
"331",2023-05-12,0.2614
"332",2023-05-15,0.2581
"333",2023-05-16,0.2592
"334",2023-05-17,0.2558
"335",2023-05-18,0.2626
"336",2023-05-19,0.2684
"337",2023-05-22,0.2663
"338",2023-05-23,0.2535
"339",2023-05-24,0.2503
"340",2023-05-25,0.2498
"341",2023-05-26,0.2653
"342",2023-05-30,0.2493
"343",2023-05-31,0.2453
"344",2023-06-01,0.2413
"345",2023-06-02,0.2407
"346",2023-06-05,0.2424
"347",2023-06-06,0.2447
"348",2023-06-07,0.2441
"349",2023-06-08,0.2377
"350",2023-06-09,0.2254
"351",2023-06-12,0.2226
"352",2023-06-13,0.2094
"353",2023-06-14,0.1817
"354",2023-06-15,0.1829
"355",2023-06-16,0.1858
"356",2023-06-20,0.1917
"357",2023-06-21,0.1935
"358",2023-06-22,0.1861
"359",2023-06-23,0.1662
"360",2023-06-26,0.1677
"361",2023-06-27,0.1842
"362",2023-06-28,0.1756
"363",2023-06-29,0.1825
