"","date","WHR"
"546",2022-10-13,0.1979
"547",2022-10-14,0.1967
"548",2022-10-17,0.1872
"549",2022-10-18,0.2086
"550",2022-10-19,0.1988
"551",2022-10-20,0.1823
"552",2022-10-21,0.1767
"553",2022-10-24,0.164
"554",2022-10-25,0.1762
"555",2022-10-26,0.1634
"556",2022-10-27,0.1508
"557",2022-10-28,0.1541
"558",2022-10-31,0.1463
"559",2022-11-01,0.151
"560",2022-11-02,0.1426
"561",2022-11-03,0.1267
"562",2022-11-04,0.1078
"563",2022-11-07,0.0846
"564",2022-11-08,0.0774
"565",2022-11-09,0.0724
"566",2022-11-10,0.057
"567",2022-11-11,0.055
"568",2022-11-14,0.0605
"569",2022-11-15,0.0722
"570",2022-11-16,0.1451
"571",2022-11-17,0.1762
"572",2022-11-18,0.1465
"573",2022-11-21,0.137
"574",2022-11-22,0.1347
"575",2022-11-23,0.1398
"576",2022-11-25,0.1373
"577",2022-11-28,0.1256
"578",2022-11-29,0.1201
"579",2022-11-30,0.119
"580",2022-12-01,0.1079
"581",2022-12-02,0.1092
"582",2022-12-05,0.1058
"583",2022-12-06,0.1108
"584",2022-12-07,0.1145
"585",2022-12-08,0.1155
"586",2022-12-09,0.0993
"587",2022-12-12,0.1145
"588",2022-12-13,0.1163
"589",2022-12-14,0.1268
"590",2022-12-15,0.1471
"591",2022-12-16,0.1782
"592",2022-12-19,0.189
"593",2022-12-20,0.1723
"594",2022-12-21,0.1741
"595",2022-12-22,0.1578
"596",2022-12-23,0.1589
"597",2022-12-27,0.1582
"598",2022-12-28,0.1504
"599",2022-12-29,0.1258
"600",2022-12-30,0.1197
"601",2023-01-03,0.138
"602",2023-01-04,0.1365
"603",2023-01-05,0.1469
"604",2023-01-06,0.1651
"605",2023-01-09,0.1673
"606",2023-01-10,0.1571
"607",2023-01-11,0.1625
"608",2023-01-12,0.1678
"609",2023-01-13,0.1769
"610",2023-01-17,0.1572
"611",2023-01-18,0.1458
"612",2023-01-19,0.1509
"613",2023-01-20,0.1781
"614",2023-01-23,0.2052
"615",2023-01-24,0.1914
"616",2023-01-25,0.1713
"617",2023-01-26,0.1652
"618",2023-01-27,0.1638
"619",2023-01-30,0.1909
"620",2023-01-31,0.2168
"621",2023-02-01,0.2131
"622",2023-02-02,0.1999
"623",2023-02-03,0.1912
"624",2023-02-06,0.1971
"625",2023-02-07,0.1867
"626",2023-02-08,0.1733
"627",2023-02-09,0.1779
"628",2023-02-10,0.1685
"629",2023-02-13,0.1558
"630",2023-02-14,0.1578
"631",2023-02-15,0.1644
"632",2023-02-16,0.1361
"633",2023-02-17,0.128
"634",2023-02-21,0.1472
"635",2023-02-22,0.1299
"636",2023-02-23,0.1069
"637",2023-02-24,0.0965
"638",2023-02-27,0.1036
"639",2023-02-28,0.1151
"640",2023-03-01,0.1343
"641",2023-03-02,0.1356
"642",2023-03-03,0.1384
"643",2023-03-06,0.1236
"644",2023-03-07,0.1342
"645",2023-03-08,0.1428
"646",2023-03-09,0.1417
"647",2023-03-10,0.1509
"648",2023-03-13,0.1568
"649",2023-03-14,0.1549
"650",2023-03-15,0.177
"651",2023-03-16,0.1716
"652",2023-03-17,0.1805
"653",2023-03-20,0.1848
"654",2023-03-21,0.1779
"655",2023-03-22,0.1806
"656",2023-03-23,0.1717
"657",2023-03-24,0.1729
"658",2023-03-27,0.1703
"659",2023-03-28,0.1685
"660",2023-03-29,0.1834
"661",2023-03-30,0.1997
"662",2023-03-31,0.1934
"663",2023-04-03,0.1977
"664",2023-04-04,0.2338
"665",2023-04-05,0.1997
"666",2023-04-06,0.181
"667",2023-04-10,0.1896
"668",2023-04-11,0.1923
"669",2023-04-12,0.1983
"670",2023-04-13,0.1961
"671",2023-04-14,0.1838
"672",2023-04-17,0.1638
"673",2023-04-18,0.175
"674",2023-04-19,0.1776
"675",2023-04-20,0.1861
"676",2023-04-21,0.187
"677",2023-04-24,0.1812
"678",2023-04-25,0.1699
"679",2023-04-26,0.1752
"680",2023-04-27,0.1846
"681",2023-04-28,0.1794
"682",2023-05-01,0.1668
"683",2023-05-02,0.1504
"684",2023-05-03,0.157
"685",2023-05-04,0.173
"686",2023-05-05,0.1727
"687",2023-05-08,0.1762
"688",2023-05-09,0.1609
"689",2023-05-10,0.1572
"690",2023-05-11,0.1509
"691",2023-05-12,0.1552
"692",2023-05-15,0.1434
"693",2023-05-16,0.1458
"694",2023-05-17,0.1529
"695",2023-05-18,0.1465
"696",2023-05-19,0.1518
"697",2023-05-22,0.1602
"698",2023-05-23,0.14
"699",2023-05-24,0.1439
"700",2023-05-25,0.1611
"701",2023-05-26,0.1561
"702",2023-05-30,0.1464
"703",2023-05-31,0.1541
"704",2023-06-01,0.1634
"705",2023-06-02,0.16
"706",2023-06-05,0.1643
"707",2023-06-06,0.1676
"708",2023-06-07,0.1575
"709",2023-06-08,0.1656
"710",2023-06-09,0.1729
"711",2023-06-12,0.1751
"712",2023-06-13,0.1771
"713",2023-06-14,0.1599
"714",2023-06-15,0.1575
"715",2023-06-16,0.1615
"716",2023-06-20,0.1532
"717",2023-06-21,0.1775
"718",2023-06-22,0.1791
"719",2023-06-23,0.1795
"720",2023-06-26,0.1904
"721",2023-06-27,0.1872
"722",2023-06-28,0.1697
"723",2023-06-29,0.1687
