"","date","NCLH"
"299",2021-10-20,0.3047
"300",2021-10-21,0.332
"301",2021-10-22,0.3621
"302",2021-10-25,0.3809
"303",2021-10-26,0.3931
"304",2021-10-27,0.4018
"305",2021-10-28,0.4173
"306",2021-10-29,0.4318
"307",2021-11-01,0.3749
"308",2021-11-02,0.354
"309",2021-11-03,0.3247
"310",2021-11-04,0.255
"311",2021-11-05,0.2167
"312",2021-11-08,0.2105
"313",2021-11-09,0.213
"314",2021-11-10,0.2217
"315",2021-11-11,0.2147
"316",2021-11-12,0.1946
"317",2021-11-15,0.1878
"318",2021-11-16,0.209
"319",2021-11-17,0.1996
"320",2021-11-18,0.1914
"321",2021-11-19,0.1926
"322",2021-11-22,0.1943
"323",2021-11-23,0.2016
"324",2021-11-24,0.1953
"325",2021-11-26,0.2179
"326",2021-11-29,0.2229
"327",2021-11-30,0.1969
"328",2021-12-01,0.191
"329",2021-12-02,0.1841
"330",2021-12-03,0.2009
"331",2021-12-06,0.2064
"332",2021-12-07,0.2019
"333",2021-12-08,0.2168
"334",2021-12-09,0.2243
"335",2021-12-10,0.215
"336",2021-12-13,0.2252
"337",2021-12-14,0.2266
"338",2021-12-15,0.2429
"339",2021-12-16,0.2317
"340",2021-12-17,0.2346
"341",2021-12-20,0.2456
"342",2021-12-21,0.235
"343",2021-12-22,0.2342
"344",2021-12-23,0.2377
"345",2021-12-27,0.2472
"346",2021-12-28,0.2546
"347",2021-12-29,0.2288
"348",2021-12-30,0.2241
"349",2021-12-31,0.238
"350",2022-01-03,0.2395
"351",2022-01-04,0.259
"352",2022-01-05,0.253
"353",2022-01-06,0.2616
"354",2022-01-07,0.2385
"355",2022-01-10,0.2337
"356",2022-01-11,0.246
"357",2022-01-12,0.2571
"358",2022-01-13,0.2777
"359",2022-01-14,0.2398
"360",2022-01-18,0.2345
"361",2022-01-19,0.2354
"362",2022-01-20,0.2319
"363",2022-01-21,0.221
"364",2022-01-24,0.2133
"365",2022-01-25,0.2236
"366",2022-01-26,0.2445
"367",2022-01-27,0.2203
"368",2022-01-28,0.2032
"369",2022-01-31,0.2048
"370",2022-02-01,0.1976
"371",2022-02-02,0.2048
"372",2022-02-03,0.189
"373",2022-02-04,0.2161
"374",2022-02-07,0.2148
"375",2022-02-08,0.2279
"376",2022-02-09,0.2391
"377",2022-02-10,0.2453
"378",2022-02-11,0.2529
"379",2022-02-14,0.2563
"380",2022-02-15,0.2585
"381",2022-02-16,0.2496
"382",2022-02-17,0.2321
"383",2022-02-18,0.2286
"384",2022-02-22,0.2254
"385",2022-02-23,0.2405
"386",2022-02-24,0.2632
"387",2022-02-25,0.2433
"388",2022-02-28,0.2481
"389",2022-03-01,0.2439
"390",2022-03-02,0.2478
"391",2022-03-03,0.2485
"392",2022-03-04,0.226
"393",2022-03-07,0.2496
"394",2022-03-08,0.2485
"395",2022-03-09,0.2481
"396",2022-03-10,0.2485
"397",2022-03-11,0.2465
"398",2022-03-14,0.2349
"399",2022-03-15,0.2331
"400",2022-03-16,0.2324
"401",2022-03-17,0.2176
"402",2022-03-18,0.2056
"403",2022-03-21,0.1853
"404",2022-03-22,0.1869
"405",2022-03-23,0.2113
"406",2022-03-24,0.233
"407",2022-03-25,0.2167
"408",2022-03-28,0.2259
"409",2022-03-29,0.2264
"410",2022-03-30,0.2101
"411",2022-03-31,0.1874
"412",2022-04-01,0.1563
"413",2022-04-04,0.1716
"414",2022-04-05,0.1809
"415",2022-04-06,0.1686
"416",2022-04-07,0.1867
"417",2022-04-08,0.2053
"418",2022-04-11,0.2264
"419",2022-04-12,0.2223
"420",2022-04-13,0.208
"421",2022-04-14,0.2219
"422",2022-04-18,0.2276
"423",2022-04-19,0.2478
"424",2022-04-20,0.2422
"425",2022-04-21,0.2344
"426",2022-04-22,0.2464
"427",2022-04-25,0.217
"428",2022-04-26,0.2319
"429",2022-04-27,0.2335
"430",2022-04-28,0.2395
"431",2022-04-29,0.2232
"432",2022-05-02,0.2166
"433",2022-05-03,0.2039
"434",2022-05-04,0.1994
"435",2022-05-05,0.2063
"436",2022-05-06,0.2152
"437",2022-05-09,0.2146
"438",2022-05-10,0.2265
"439",2022-05-11,0.228
"440",2022-05-12,0.2411
"441",2022-05-13,0.2586
"442",2022-05-16,0.2524
"443",2022-05-17,0.2478
"444",2022-05-18,0.2308
"445",2022-05-19,0.2253
"446",2022-05-20,0.2255
"447",2022-05-23,0.2075
"448",2022-05-24,0.2178
"449",2022-05-25,0.2227
"450",2022-05-26,0.2374
"451",2022-05-27,0.2401
"452",2022-05-31,0.2354
"453",2022-06-01,0.2456
"454",2022-06-02,0.2492
"455",2022-06-03,0.2511
"456",2022-06-06,0.2639
"457",2022-06-07,0.2595
"458",2022-06-08,0.251
"459",2022-06-09,0.2266
"460",2022-06-10,0.2195
"461",2022-06-13,0.2347
"462",2022-06-14,0.2527
"463",2022-06-15,0.2496
"464",2022-06-16,0.2507
"465",2022-06-17,0.2722
"466",2022-06-21,0.2788
"467",2022-06-22,0.2562
"468",2022-06-23,0.2597
"469",2022-06-24,0.2736
"470",2022-06-27,0.2956
"471",2022-06-28,0.2855
"472",2022-06-29,0.2746
"473",2022-06-30,0.2729
"474",2022-07-01,0.2882
"475",2022-07-05,0.2754
"476",2022-07-06,0.2781
"477",2022-07-07,0.2865
"478",2022-07-08,0.2979
"479",2022-07-11,0.297
"480",2022-07-12,0.2801
"481",2022-07-13,0.2899
"482",2022-07-14,0.2851
"483",2022-07-15,0.2959
"484",2022-07-18,0.3015
"485",2022-07-19,0.2999
"486",2022-07-20,0.3012
"487",2022-07-21,0.2646
"488",2022-07-22,0.2656
"489",2022-07-25,0.2488
"490",2022-07-26,0.2566
"491",2022-07-27,0.2631
"492",2022-07-28,0.2666
"493",2022-07-29,0.2722
"494",2022-08-01,0.2699
"495",2022-08-02,0.259
"496",2022-08-03,0.2569
"497",2022-08-04,0.226
"498",2022-08-05,0.2285
"499",2022-08-08,0.2164
"500",2022-08-09,0.2103
"501",2022-08-10,0.2281
"502",2022-08-11,0.2152
"503",2022-08-12,0.2039
"504",2022-08-15,0.2046
"505",2022-08-16,0.2156
"506",2022-08-17,0.2281
