"","Company","Symbol","Weight","Price","Chg","Pct_chg"
"124","Fedex Corp","FDX",0.170608,"265.11",0.19,"(0.07%)"
"125","Marathon Petroleum Corp","MPC",0.168409,"150.02",-1.32,"(-0.87%)"
"126","Humana Inc","HUM",0.167785,"491.74",5.22,"(1.07%)"
"127","Sherwin Williams Co","SHW",0.167755,"252.65",-2.4,"(-0.94%)"
"128","Colgate Palmolive Co","CL",0.163595,"70.76",-0.35,"(-0.49%)"
"129","Mckesson Corp","MCK",0.163243,"437.42",2.57,"(0.59%)"
"130","Airbnb Inc Class A","ABNB",0.162797,"136.56",-0.65,"(-0.47%)"
"131","Waste Management Inc","WM",0.156372,"151.21",-1.23,"(-0.81%)"
"132","Emerson Electric Co","EMR",0.153881,"95.71",-0.86,"(-0.89%)"
"133","O Reilly Automotive Inc","ORLY",0.152791,"898.62",-10.22,"(-1.12%)"
"134","Pioneer Natural Resources Co","PXD",0.14895,"224.46",-5.09,"(-2.22%)"
"135","Phillips 66","PSX",0.148894,"119.02",-1.13,"(-0.94%)"
"136","Freeport Mcmoran Inc","FCX",0.14865,"36.64",-0.65,"(-1.74%)"
"137","3m Co W/d","MMM",0.14408,"90.22",-3.4,"(-3.63%)"
"138","Nxp Semiconductors Nv","NXPI",0.143424,"200.19",0.27,"(0.14%)"
"139","Us Bancorp","USB",0.143249,"32.14",-0.92,"(-2.78%)"
"140","Roper Technologies Inc","ROP",0.142993,"483.88",-0.4,"(-0.08%)"
"141","Target Corp","TGT",0.141702,"106.69",-3.88,"(-3.51%)"
"142","Chipotle Mexican Grill Inc","CMG",0.140567,"1,867.13",35.3,"(1.93%)"
"143","Parker Hannifin Corp","PH",0.139324,"385.24",-4.28,"(-1.10%)"
"144","Valero Energy Corp","VLO",0.139265,"138.09",-3.62,"(-2.55%)"
"145","Amphenol Corp Cl A","APH",0.139189,"82.65",-1.34,"(-1.60%)"
"146","General Dynamics Corp","GD",0.138714,"222.93",1.96,"(0.89%)"
"147","Moody S Corp","MCO",0.138432,"316.22",0.05,"(0.02%)"
"148","Hca Healthcare Inc","HCA",0.137789,"247.21",1.23,"(0.50%)"
"149","Marriott International  Cl A","MAR",0.137038,"193.75",-2.81,"(-1.43%)"
"150","Arthur J Gallagher & Co","AJG",0.136338,"224.91",-3.02,"(-1.32%)"
"151","Ford Motor Co","F",0.136077,"12.31",-0.11,"(-0.89%)"
"152","Pnc Financial Services Group","PNC",0.136072,"120.02",-2.75,"(-2.24%)"
"153","Transdigm Group Inc","TDG",0.129503,"824.38",-18.75,"(-2.22%)"
"154","Trane Technologies Plc","TT",0.128979,"198.10",-4.81,"(-2.37%)"
"155","Carrier Global Corp","CARR",0.128918,"54.56",-0.64,"(-1.16%)"
"156","Autozone Inc","AZO",0.128385,"2,522.93",-17.06,"(-0.67%)"
"157","Arista Networks Inc","ANET",0.128354,"187.81",3.88,"(2.11%)"
"158","Motorola Solutions Inc","MSI",0.126518,"272.92",0.68,"(0.25%)"
"159","General Motors Co","GM",0.126245,"32.47",-0.5,"(-1.52%)"
"160","Charter Communications Inc A","CHTR",0.124603,"438.50",-1.32,"(-0.30%)"
"161","Norfolk Southern Corp","NSC",0.124414,"191.50",-5.43,"(-2.76%)"
"162","Paccar Inc","PCAR",0.123508,"84.76",-0.26,"(-0.31%)"
"163","Autodesk Inc","ADSK",0.123065,"208.99",2.08,"(1.01%)"
"164","American International Group","AIG",0.120058,"60.05",-0.55,"(-0.91%)"
"165","Occidental Petroleum Corp","OXY",0.119798,"62.30",-2.58,"(-3.98%)"
"166","Ecolab Inc","ECL",0.119597,"166.90",-2.5,"(-1.48%)"
"167","Sempra","SRE",0.119089,"65.27",-2.76,"(-4.06%)"
"168","Welltower Inc","WELL",0.118255,"81.73",-0.19,"(-0.23%)"
"169","Microchip Technology Inc","MCHP",0.118238,"78.37",0.32,"(0.41%)"
"170","Hess Corp","HES",0.117662,"149.12",-3.88,"(-2.54%)"
"171","Edwards Lifesciences Corp","EW",0.117275,"69.18",-0.1,"(-0.14%)"
"172","Public Storage","PSA",0.116174,"260.74",-2.78,"(-1.05%)"
"173","Cintas Corp","CTAS",0.115824,"484.87",3.86,"(0.80%)"
"174","Aflac Inc","AFL",0.115463,"76.47",-0.28,"(-0.36%)"
"175","Williams Cos Inc","WMB",0.113915,"32.93",-0.76,"(-2.26%)"
"176","Kimberly Clark Corp","KMB",0.113759,"119.01",-1.84,"(-1.52%)"
"177","Msci Inc","MSCI",0.112923,"506.99",-6.09,"(-1.19%)"
"178","Constellation Brands Inc A","STZ",0.112828,"248.64",-2.69,"(-1.07%)"
"179","Archer Daniels Midland Co","ADM",0.112525,"74.20",-1.22,"(-1.62%)"
"180","On Semiconductor","ON",0.111723,"93.37",0.44,"(0.47%)"
"181","Crown Castle Inc","CCI",0.110962,"90.93",-1.1,"(-1.20%)"
"182","Metlife Inc","MET",0.110598,"61.69",-1.22,"(-1.94%)"
"183","Monster Beverage Corp","MNST",0.109593,"52.54",-0.41,"(-0.77%)"
"184","Hilton Worldwide Holdings In","HLT",0.109289,"149.22",-0.96,"(-0.64%)"
"185","Nucor Corp","NUE",0.108226,"154.78",-1.57,"(-1.00%)"
"186","Te Connectivity Ltd","TEL",0.107931,"123.22",-0.31,"(-0.25%)"
"187","American Electric Power","AEP",0.107623,"71.84",-3.38,"(-4.49%)"
"188","Ross Stores Inc","ROST",0.107087,"114.47",1.52,"(1.35%)"
"189","Fortinet Inc","FTNT",0.105941,"58.63",-0.05,"(-0.09%)"
"190","Truist Financial Corp","TFC",0.1057,"27.63",-0.98,"(-3.43%)"
"191","Exelon Corp","EXC",0.104738,"36.61",-1.19,"(-3.15%)"
"192","General Mills Inc","GIS",0.104211,"62.58",-1.41,"(-2.20%)"
"193","Copart Inc","CPRT",0.104203,"43.63",0.54,"(1.25%)"
"194","Travelers Cos Inc","TRV",0.104049,"162.27",-1.04,"(-0.64%)"
"195","Dominion Energy Inc","D",0.103814,"42.31",-2.36,"(-5.28%)"
"196","Centene Corp","CNC",0.103797,"69.30",0.42,"(0.61%)"
"197","Biogen Inc","BIIB",0.103367,"252.86",-4.15,"(-1.61%)"
"198","Paychex Inc","PAYX",0.103012,"113.78",-1.55,"(-1.34%)"
"199","Capital One Financial Corp","COF",0.103006,"95.12",-1.93,"(-1.99%)"
"200","Oneok Inc","OKE",0.102757,"61.85",-1.58,"(-2.49%)"
"201","Old Dominion Freight Line","ODFL",0.102012,"403.19",-5.95,"(-1.45%)"
"202","Digital Realty Trust Inc","DLR",0.101952,"118.22",-2.8,"(-2.31%)"
"203","Halliburton Co","HAL",0.101273,"39.77",-0.73,"(-1.80%)"
"204","Corteva Inc","CTVA",0.101053,"50.05",-1.11,"(-2.17%)"
"205","Dow Inc","DOW",0.101023,"51.30",-0.26,"(-0.50%)"
"206","Idexx Laboratories Inc","IDXX",0.101022,"430.95",-6.32,"(-1.45%)"
"207","Johnson Controls Internation","JCI",0.10074,"52.38",-0.83,"(-1.56%)"
"208","Dexcom Inc","DXCM",0.100357,"94.55",1.25,"(1.34%)"
"209","Iqvia Holdings Inc","IQV",0.100272,"193.88",-2.87,"(-1.46%)"
"210","Realty Income Corp","O",0.098505,"48.99",-0.95,"(-1.90%)"
"211","Simon Property Group Inc","SPG",0.098503,"104.63",-3.4,"(-3.15%)"
"212","Baker Hughes Co","BKR",0.098496,"34.56",-0.76,"(-2.15%)"
"213","Constellation Energy","CEG",0.097621,"104.73",-4.35,"(-3.99%)"
"214","Yum  Brands Inc","YUM",0.097435,"125.06",0.12,"(0.10%)"
"215","Kenvue Inc W/i","KVUE",0.096364,"20.32",0.24,"(1.20%)"
"216","Prudential Financial Inc","PRU",0.09586,"93.38",-1.51,"(-1.59%)"
"217","Verisk Analytics Inc","VRSK",0.09551,"236.35",0.11,"(0.05%)"
"218","Dupont De Nemours Inc","DD",0.095304,"73.32",-1.27,"(-1.70%)"
"219","Cognizant Tech Solutions A","CTSH",0.095207,"67.76",0.02,"(0.03%)"
"220","Moderna Inc","MRNA",0.095027,"103.31",0.02,"(0.02%)"
"221","Ametek Inc","AME",0.094648,"147.42",-0.34,"(-0.23%)"
"222","Ameriprise Financial Inc","AMP",0.09416,"325.86",-3.82,"(-1.16%)"
"223","P G & E Corp","PCG",0.093873,"15.22",-0.91,"(-5.64%)"
"224","Estee Lauder Companies Cl A","EL",0.093401,"143.40",-1.15,"(-0.80%)"
"225","Sysco Corp","SYY",0.092844,"65.18",-0.87,"(-1.32%)"
"226","Bank of New York Mellon Corp","BK",0.092436,"42.07",-0.58,"(-1.36%)"
"227","Otis Worldwide Corp","OTIS",0.092026,"79.50",-0.81,"(-1.01%)"
"228","Agilent Technologies Inc","A",0.091982,"110.90",-0.92,"(-0.82%)"
"229","L3harris Technologies Inc","LHX",0.091637,"171.56",-2.56,"(-1.47%)"
"230","Fidelity National Info Serv","FIS",0.091319,"54.24",-1.03,"(-1.86%)"
"231","Rockwell Automation Inc","ROK",0.091142,"283.95",-1.92,"(-0.67%)"
"232","Dr Horton Inc","DHI",0.091062,"106.18",-1.29,"(-1.20%)"
"233","Cummins Inc","CMI",0.090028,"225.55",-2.91,"(-1.27%)"
"234","Kinder Morgan Inc","KMI",0.089444,"16.16",-0.42,"(-2.53%)"
"235","Keurig Dr Pepper Inc","KDP",0.088387,"31.21",-0.36,"(-1.14%)"
"236","Xcel Energy Inc","XEL",0.0872,"55.03",-2.19,"(-3.83%)"
"237","Costar Group Inc","CSGP",0.08708,"75.97",-0.92,"(-1.20%)"
"238","Fastenal Co","FAST",0.086991,"54.86",0.22,"(0.40%)"
"239","Ww Grainger Inc","GWW",0.085643,"694.62",2.78,"(0.40%)"
"240","Devon Energy Corp","DVN",0.085038,"45.65",-2.05,"(-4.30%)"
"241","Ppg Industries Inc","PPG",0.084664,"129.37",-0.43,"(-0.33%)"
"242","United Rentals Inc","URI",0.084498,"437.37",-7.2,"(-1.62%)"
"243","Global Payments Inc","GPN",0.083495,"115.91",0.52,"(0.45%)"
"244","Cencora Inc","COR",0.083495,"179.08",-0.89,"(-0.49%)"
"245","Hershey Co","HSY",0.083439,"199.01",-1.07,"(-0.53%)"
"246","Electronic Arts Inc","EA",0.082611,"120.17",-0.23,"(-0.19%)"
"247","Arch Capital Group Ltd","ACGL",0.082111,"79.37",-0.37,"(-0.46%)"
"248","Consolidated Edison Inc","ED",0.082099,"81.62",-3.91,"(-4.57%)"
"249","Newmont Corp","NEM",0.081794,"35.54",-1.41,"(-3.82%)"
"250","Vici Properties Inc","VICI",0.081474,"28.65",-0.45,"(-1.55%)"
"251","Republic Services Inc","RSG",0.081225,"141.16",-1.35,"(-0.95%)"
"252","Kroger Co","KR",0.081221,"44.03",-0.72,"(-1.61%)"
"253","Allstate Corp","ALL",0.081094,"110.91",-0.5,"(-0.45%)"
"254","Public Service Enterprise Gp","PEG",0.07908,"54.69",-2.22,"(-3.90%)"
"255","Lennar Corp A","LEN",0.07887,"111.15",-1.08,"(-0.96%)"
"256","Aptiv Plc","APTV",0.077597,"97.25",-1.34,"(-1.36%)"
"257","West Pharmaceutical Services","WST",0.077112,"370.58",-4.63,"(-1.23%)"
"258","Diamondback Energy Inc","FANG",0.077068,"150.20",-4.68,"(-3.02%)"
"259","Quanta Services Inc","PWR",0.075586,"176.64",-10.43,"(-5.58%)"
"260","Gartner Inc","IT",0.075431,"346.00",2.39,"(0.70%)"
"261","Cdw Corp/de","CDW",0.075274,"200.98",-0.78,"(-0.39%)"
"262","Vulcan Materials Co","VMC",0.074768,"200.93",-1.09,"(-0.54%)"
"263","Kraft Heinz Co","KHC",0.074356,"33.09",-0.55,"(-1.63%)"
"264","Ge Healthcare Technology","GEHC",0.074224,"67.84",-0.2,"(-0.29%)"
"265","Fortive Corp","FTV",0.072642,"73.70",-0.46,"(-0.62%)"
"266","Ingersoll Rand Inc","IR",0.071954,"63.60",-0.12,"(-0.19%)"
"267","Ansys Inc","ANSS",0.071883,"297.40",-0.15,"(-0.05%)"
"268","Extra Space Storage Inc","EXR",0.071663,"119.27",-2.31,"(-1.90%)"
"269","Wec Energy Group Inc","WEC",0.070754,"77.03",-3.52,"(-4.37%)"
"270","Martin Marietta Materials","MLM",0.070616,"405.70",-4.78,"(-1.16%)"
"271","Mettler Toledo International","MTD",0.067432,"1,087.33",-20.74,"(-1.87%)"
"272","Edison International","EIX",0.067305,"61.04",-2.25,"(-3.56%)"
"273","Warner Bros Discovery Inc","WBD",0.066933,"10.51",-0.35,"(-3.22%)"
"274","Avalonbay Communities Inc","AVB",0.066911,"168.09",-3.65,"(-2.13%)"
"275","Lyondellbasell Indu Cl A","LYB",0.066881,"93.45",-1.25,"(-1.32%)"
"276","American Water Works Co Inc","AWK",0.066656,"119.75",-4.08,"(-3.29%)"
"277","Delta Air Lines Inc","DAL",0.066171,"36.45",-0.55,"(-1.49%)"
"278","Keysight Technologies In","KEYS",0.065667,"131.70",-0.61,"(-0.46%)"
"279","T Rowe Price Group Inc","TROW",0.065612,"104.61",-0.26,"(-0.25%)"
"280","Ebay Inc","EBAY",0.065294,"43.55",-0.55,"(-1.24%)"
"281","Zimmer Biomet Holdings Inc","ZBH",0.065251,"111.42",-0.8,"(-0.71%)"
"282","Dollar General Corp","DG",0.064722,"103.78",-2.02,"(-1.91%)"
"283","Corning Inc","GLW",0.064696,"30.21",-0.26,"(-0.85%)"
"284","Cbre Group Inc   A","CBRE",0.063686,"73.03",-0.83,"(-1.12%)"
"285","Equifax Inc","EFX",0.062455,"178.93",-4.25,"(-2.32%)"
"286","Hewlett Packard Enterprise","HPE",0.062373,"17.44",0.07,"(0.40%)"
"287","Weyerhaeuser Co","WY",0.062349,"29.98",-0.68,"(-2.22%)"
"288","Church & Dwight Co Inc","CHD",0.062326,"91.65",0.02,"(0.02%)"
"289","Hp Inc","HPQ",0.061952,"25.67",-0.03,"(-0.12%)"
"290","Dollar Tree Inc","DLTR",0.061722,"104.66",-1.79,"(-1.68%)"
"291","Take Two Interactive Softwre","TTWO",0.061699,"139.00",-1.39,"(-0.99%)"
"292","Tractor Supply Company","TSCO",0.061491,"203.50",0.45,"(0.22%)"
"293","Monolithic Power Systems Inc","MPWR",0.061404,"459.34",-2.66,"(-0.58%)"
"294","Cardinal Health Inc","CAH",0.061156,"86.38",-0.44,"(-0.51%)"
"295","Willis Towers Watson Plc","WTW",0.060947,"208.14",-0.82,"(-0.39%)"
"296","Align Technology Inc","ALGN",0.060618,"299.76",-5.56,"(-1.82%)"
"297","Xylem Inc","XYL",0.060472,"91.82",0.79,"(0.87%)"
"298","Royal Caribbean Cruises Ltd","RCL",0.060432,"91.70",-0.44,"(-0.48%)"
"299","Hartford Financial Svcs Grp","HIG",0.060352,"70.83",-0.08,"(-0.11%)"
"300","Resmed Inc","RMD",0.060333,"145.75",-2.12,"(-1.43%)"
"301","Discover Financial Services","DFS",0.060263,"90.83",4.2,"(4.85%)"
"302","Sba Communications Corp","SBAC",0.060257,"198.24",-1.93,"(-0.96%)"
"303","Steris Plc","STE",0.060232,"215.50",-3.92,"(-1.79%)"
"304","Illumina Inc","ILMN",0.060134,"136.44",-0.84,"(-0.61%)"
"305","Fair Isaac Corp","FICO",0.060096,"863.59",-4.94,"(-0.57%)"
"306","State Street Corp","STT",0.059373,"66.19",-0.77,"(-1.15%)"
"307","Broadridge Financial Solutio","BR",0.058664,"176.99",-2.06,"(-1.15%)"
"308","M & T Bank Corp","MTB",0.058539,"122.10",-4.35,"(-3.44%)"
"309","Coterra Energy Inc","CTRA",0.057208,"26.32",-0.73,"(-2.70%)"
"310","Dte Energy Company","DTE",0.05714,"95.49",-3.79,"(-3.82%)"
"311","Eversource Energy","ES",0.056489,"55.73",-2.42,"(-4.16%)"
"312","Genuine Parts Co","GPC",0.05642,"145.18",0.8,"(0.55%)"
"313","Equity Residential","EQR",0.055785,"57.87",-0.84,"(-1.43%)"
"314","Albemarle Corp","ALB",0.055471,"162.41",-7.63,"(-4.49%)"
"315","Ulta Beauty Inc","ULTA",0.055377,"402.95",3.5,"(0.88%)"
"316","Entergy Corp","ETR",0.054615,"88.87",-3.63,"(-3.92%)"
"317","Dover Corp","DOV",0.054499,"137.68",-1.83,"(-1.31%)"
"318","Nvr Inc","NVR",0.054213,"5,960.95",-2.35,"(-0.04%)"
"319","Ameren Corporation","AEE",0.053878,"71.13",-3.7,"(-4.94%)"
"320","Teledyne Technologies Inc","TDY",0.053413,"402.28",-6.3,"(-1.54%)"
"321","Targa Resources Corp","TRGP",0.05336,"83.43",-2.29,"(-2.67%)"
"322","Baxter International Inc","BAX",0.053122,"37.35",-0.39,"(-1.03%)"
"323","Wabtec Corp","WAB",0.052969,"105.24",-1.03,"(-0.97%)"
"324","Molina Healthcare Inc","MOH",0.052929,"332.46",4.57,"(1.39%)"
"325","Mccormick & Co Non Vtg Shrs","MKC",0.052781,"74.72",-0.92,"(-1.22%)"
"326","Raymond James Financial Inc","RJF",0.052535,"98.09",-2.34,"(-2.33%)"
"327","Fleetcor Technologies Inc","FLT",0.052445,"255.88",0.54,"(0.21%)"
"328","Invitation Homes Inc","INVH",0.050967,"31.29",-0.4,"(-1.26%)"
"329","Verisign Inc","VRSN",0.050562,"202.34",-0.19,"(-0.09%)"
"330","Howmet Aerospace Inc","HWM",0.050404,"45.42",-0.83,"(-1.79%)"
"331","Laboratory Crp of Amer Hldgs","LH",0.049615,"199.56",-1.49,"(-0.74%)"
"332","Firstenergy Corp","FE",0.049086,"32.60",-1.58,"(-4.62%)"
