"","Company","Symbol","Weight","Price","Chg","Pct_chg"
"91","The Cigna Group","CI",0.23663,"288.23",2.88,"(1.01%)"
"92","Lam Research Corp","LRCX",0.233728,"628.11",2.28,"(0.36%)"
"93","Progressive Corp","PGR",0.233726,"142.86",0.36,"(0.25%)"
"94","Eaton Corp Plc","ETN",0.226887,"210.19",7.01,"(3.45%)"
"95","Zoetis Inc","ZTS",0.221829,"175.58",3.58,"(2.08%)"
"96","Schlumberger Ltd","SLB",0.220558,"55.70",0.3,"(0.54%)"
"97","Citigroup Inc","C",0.215168,"40.57",0.69,"(1.73%)"
"98","Schwab (Charles) Corp","SCHW",0.212725,"51.52",0.46,"(0.90%)"
"99","Becton Dickinson and Co","BDX",0.212185,"262.42",1.37,"(0.52%)"
"100","Boston Scientific Corp","BSX",0.212012,"52.12",0.44,"(0.85%)"
"101","Micron Technology Inc","MU",0.211205,"69.96",0.91,"(1.32%)"
"102","Cme Group Inc","CME",0.209157,"211.93",4.53,"(2.18%)"
"103","Altria Group Inc","MO",0.208775,"42.07",0.08,"(0.19%)"
"104","Blackstone Inc","BX",0.207187,"105.13",0.94,"(0.90%)"
"105","American Tower Corp","AMT",0.207159,"159.57",0.86,"(0.54%)"
"106","Palo Alto Networks Inc","PANW",0.202904,"246.69",9.91,"(4.19%)"
"107","T Mobile Us Inc","TMUS",0.199316,"139.03",1.6,"(1.16%)"
"108","Southern Co","SO",0.197116,"64.97",0.38,"(0.59%)"
"109","Synopsys Inc","SNPS",0.195996,"473.26",13.51,"(2.94%)"
"110","Fiserv Inc","FI",0.193258,"114.06",0.91,"(0.80%)"
"111","Eog Resources Inc","EOG",0.193249,"120.68",2.22,"(1.87%)"
"112","Equinix Inc","EQIX",0.189007,"723.66",2.67,"(0.37%)"
"113","Activision Blizzard Inc","ATVI",0.187305,"94.24",0.57,"(0.61%)"
"114","Aon Plc Class A","AON",0.185211,"327.04",1.19,"(0.37%)"
"115","Duke Energy Corp","DUK",0.184539,"86.92",1.44,"(1.68%)"
"116","Illinois Tool Works","ITW",0.179511,"235.05",2.22,"(0.95%)"
"117","Cadence Design Sys Inc","CDNS",0.17878,"243.95",9.18,"(3.91%)"
"118","Paypal Holdings Inc","PYPL",0.176834,"57.77",0.29,"(0.50%)"
"119","Kla Corp","KLAC",0.176617,"468.05",6.97,"(1.51%)"
"120","Intercontinental Exchange In","ICE",0.17587,"110.88",1.19,"(1.08%)"
"121","Air Products & Chemicals Inc","APD",0.174026,"281.06",1.2,"(0.43%)"
"122","Csx Corp","CSX",0.170946,"30.91",0.5,"(1.64%)"
"123","Humana Inc","HUM",0.169758,"498.17",9.19,"(1.88%)"
"124","Mckesson Corp","MCK",0.168494,"445.29",-0.51,"(-0.11%)"
"125","Fedex Corp","FDX",0.168016,"257.90",-1.26,"(-0.49%)"
"126","Sherwin Williams Co","SHW",0.167997,"254.85",1.13,"(0.45%)"
"127","Northrop Grumman Corp","NOC",0.167389,"423.24",3.17,"(0.75%)"
"128","Colgate Palmolive Co","CL",0.160442,"69.43",0.16,"(0.23%)"
"129","Waste Management Inc","WM",0.159786,"155.44",0.72,"(0.47%)"
"130","Marathon Petroleum Corp","MPC",0.159394,"143.18",0.9,"(0.63%)"
"131","O Reilly Automotive Inc","ORLY",0.152452,"902.15",1.35,"(0.15%)"
"132","Emerson Electric Co","EMR",0.150145,"95.04",1.45,"(1.55%)"
"133","Airbnb Inc Class A","ABNB",0.149306,"126.36",1.37,"(1.10%)"
"134","Roper Technologies Inc","ROP",0.14542,"494.83",5.65,"(1.15%)"
"135","Chipotle Mexican Grill Inc","CMG",0.143886,"1,822.27",-39.31,"(-2.11%)"
"136","Freeport Mcmoran Inc","FCX",0.141948,"36.67",1.3,"(3.68%)"
"137","Nxp Semiconductors Nv","NXPI",0.14117,"199.06",3.61,"(1.85%)"
"138","Pioneer Natural Resources Co","PXD",0.140418,"237.43",22.47,"(10.45%)"
"139","Us Bancorp","USB",0.139029,"31.86",-0.01,"(-0.03%)"
"140","Hca Healthcare Inc","HCA",0.138403,"245.38",-0.05,"(-0.02%)"
"141","Moody S Corp","MCO",0.138393,"317.11",3.12,"(0.99%)"
"142","Arthur J Gallagher & Co","AJG",0.138237,"232.01",2.45,"(1.07%)"
"143","Parker Hannifin Corp","PH",0.138178,"391.72",8.04,"(2.10%)"
"144","Amphenol Corp Cl A","APH",0.137871,"83.37",0.73,"(0.88%)"
"145","General Dynamics Corp","GD",0.136966,"219.94",3.19,"(1.47%)"
"146","Marriott International  Cl A","MAR",0.136707,"195.98",1.21,"(0.62%)"
"147","Phillips 66","PSX",0.136586,"109.19",-0.29,"(-0.26%)"
"148","3m Co W/d","MMM",0.136089,"88.40",0.57,"(0.65%)"
"149","Target Corp","TGT",0.135665,"105.01",-0.14,"(-0.13%)"
"150","Pnc Financial Services Group","PNC",0.134323,"120.32",-0.06,"(-0.05%)"
"151","Arista Networks Inc","ANET",0.132104,"194.02",5.99,"(3.19%)"
"152","Ford Motor Co","F",0.131265,"12.00",0.1,"(0.84%)"
"153","Transdigm Group Inc","TDG",0.129715,"850.08",11.15,"(1.33%)"
"154","Trane Technologies Plc","TT",0.128509,"204.30",3.48,"(1.73%)"
"155","Autozone Inc","AZO",0.128273,"2,549.04",27.36,"(1.08%)"
"156","Motorola Solutions Inc","MSI",0.127844,"276.14",2.91,"(1.07%)"
"157","Valero Energy Corp","VLO",0.126127,"126.53",-0.95,"(-0.75%)"
"158","Paccar Inc","PCAR",0.126108,"87.48",1.25,"(1.45%)"
"159","Carrier Global Corp","CARR",0.12582,"54.28",0.77,"(1.44%)"
"160","Charter Communications Inc A","CHTR",0.123174,"431.16",-0.62,"(-0.14%)"
"161","Edwards Lifesciences Corp","EW",0.123048,"73.70",1.5,"(2.08%)"
"162","Autodesk Inc","ADSK",0.122132,"210.04",6.08,"(2.98%)"
"163","Norfolk Southern Corp","NSC",0.121286,"191.51",0.82,"(0.43%)"
"164","Welltower Inc","WELL",0.120627,"81.48",-1.52,"(-1.83%)"
"165","American International Group","AIG",0.119974,"60.87",0.72,"(1.20%)"
"166","Ecolab Inc","ECL",0.11972,"169.54",1.1,"(0.65%)"
"167","Microchip Technology Inc","MCHP",0.117968,"79.54",2.19,"(2.83%)"
"168","General Motors Co","GM",0.116844,"30.90",0.59,"(1.95%)"
"169","Cintas Corp","CTAS",0.116831,"493.26",11.41,"(2.37%)"
"170","Sempra","SRE",0.116757,"67.13",0.88,"(1.33%)"
"171","Aflac Inc","AFL",0.115777,"77.60",1.16,"(1.52%)"
"172","Public Storage","PSA",0.114904,"263.97",5.09,"(1.97%)"
"173","Williams Cos Inc","WMB",0.11356,"33.68",0.32,"(0.96%)"
"174","Kimberly Clark Corp","KMB",0.112293,"118.81",0.32,"(0.27%)"
"175","Occidental Petroleum Corp","OXY",0.110461,"61.40",1.98,"(3.33%)"
"176","Msci Inc","MSCI",0.110375,"513.34",15.21,"(3.05%)"
"177","Hess Corp","HES",0.109898,"145.65",3.71,"(2.61%)"
"178","Archer Daniels Midland Co","ADM",0.109845,"72.86",-0.27,"(-0.37%)"
"179","Hilton Worldwide Holdings In","HLT",0.109778,"151.39",1.56,"(1.04%)"
"180","Constellation Brands Inc A","STZ",0.109069,"236.61",-4.72,"(-1.96%)"
"181","Crown Castle Inc","CCI",0.109014,"91.18",1.37,"(1.53%)"
"182","Nucor Corp","NUE",0.109012,"157.23",0.8,"(0.51%)"
"183","Copart Inc","CPRT",0.107223,"44.83",0.79,"(1.79%)"
"184","Metlife Inc","MET",0.106712,"61.32",1.03,"(1.71%)"
"185","On Semiconductor","ON",0.1067,"90.93",2.76,"(3.13%)"
"186","Ross Stores Inc","ROST",0.106643,"112.33",0.61,"(0.55%)"
"187","Te Connectivity Ltd","TEL",0.10637,"123.97",3.04,"(2.51%)"
"188","Fortinet Inc","FTNT",0.105451,"59.93",1.91,"(3.29%)"
"189","Biogen Inc","BIIB",0.105181,"263.25",3.48,"(1.34%)"
"190","Travelers Cos Inc","TRV",0.10512,"162.95",-0.93,"(-0.57%)"
"191","Centene Corp","CNC",0.104711,"70.21",1.19,"(1.72%)"
"192","Exelon Corp","EXC",0.104386,"38.08",0.67,"(1.79%)"
"193","Monster Beverage Corp","MNST",0.104375,"49.97",-0.12,"(-0.24%)"
"194","Paychex Inc","PAYX",0.103293,"117.40",2.53,"(2.20%)"
"195","American Electric Power","AEP",0.102745,"72.19",0.86,"(1.21%)"
"196","Oneok Inc","OKE",0.101838,"63.50",1.06,"(1.70%)"
"197","Iqvia Holdings Inc","IQV",0.101497,"198.64",0.82,"(0.41%)"
"198","Truist Financial Corp","TFC",0.101461,"27.32",0.04,"(0.15%)"
"199","General Mills Inc","GIS",0.101275,"62.49",0.13,"(0.21%)"
"200","Old Dominion Freight Line","ODFL",0.10124,"413.42",10.41,"(2.58%)"
"201","Idexx Laboratories Inc","IDXX",0.100149,"445.98",15.46,"(3.59%)"
"202","Digital Realty Trust Inc","DLR",0.099825,"117.37",-0.33,"(-0.28%)"
"203","Realty Income Corp","O",0.099411,"50.11",0.05,"(0.10%)"
"204","Corteva Inc","CTVA",0.099091,"50.05",0.22,"(0.44%)"
"205","Capital One Financial Corp","COF",0.098422,"93.54",1.43,"(1.55%)"
"206","Dow Inc","DOW",0.098356,"50.28",0.42,"(0.84%)"
"207","Johnson Controls Internation","JCI",0.09784,"52.35",1.02,"(1.99%)"
"208","Constellation Energy","CEG",0.097202,"110.17",2.29,"(2.12%)"
"209","Verisk Analytics Inc","VRSK",0.097137,"239.97",1.34,"(0.56%)"
"210","Simon Property Group Inc","SPG",0.095973,"104.41",-0.13,"(-0.12%)"
"211","Dominion Energy Inc","D",0.09588,"41.70",0.72,"(1.76%)"
"212","Halliburton Co","HAL",0.095816,"38.69",0.63,"(1.66%)"
"213","Cognizant Tech Solutions A","CTSH",0.095795,"67.84",0.14,"(0.21%)"
"214","Ametek Inc","AME",0.095705,"150.22",1.81,"(1.22%)"
"215","Yum  Brands Inc","YUM",0.095655,"119.46",-2.38,"(-1.95%)"
"216","Kenvue Inc W/i","KVUE",0.095472,"20.07",0.31,"(1.57%)"
"217","Moderna Inc","MRNA",0.095368,"103.88",0.91,"(0.88%)"
"218","Dupont De Nemours Inc","DD",0.094739,"75.30",1.65,"(2.24%)"
"219","Baker Hughes Co","BKR",0.093617,"33.73",0.38,"(1.14%)"
"220","Prudential Financial Inc","PRU",0.093405,"92.89",1.05,"(1.14%)"
"221","Ameriprise Financial Inc","AMP",0.092678,"326.44",4.13,"(1.28%)"
"222","Estee Lauder Companies Cl A","EL",0.091978,"145.26",3.87,"(2.74%)"
"223","Rockwell Automation Inc","ROK",0.091854,"290.31",4.15,"(1.45%)"
"224","Agilent Technologies Inc","A",0.091572,"110.64",0.29,"(0.26%)"
"225","Otis Worldwide Corp","OTIS",0.091297,"79.54",0.4,"(0.51%)"
"226","Bank of New York Mellon Corp","BK",0.090966,"42.15",0.46,"(1.10%)"
"227","Dexcom Inc","DXCM",0.090954,"83.22",-0.78,"(-0.93%)"
"228","Costar Group Inc","CSGP",0.090625,"80.64",1.15,"(1.45%)"
"229","Fidelity National Info Serv","FIS",0.090078,"53.44",-0.71,"(-1.31%)"
"230","Sysco Corp","SYY",0.090077,"62.95",-0.7,"(-1.10%)"
"231","P G & E Corp","PCG",0.089879,"15.51",0.17,"(1.11%)"
"232","Cummins Inc","CMI",0.089434,"227.62",2.2,"(0.98%)"
"233","Dr Horton Inc","DHI",0.088538,"104.30",0.51,"(0.49%)"
"234","Fastenal Co","FAST",0.087997,"56.12",1.22,"(2.22%)"
"235","Kinder Morgan Inc","KMI",0.087768,"16.26",0.1,"(0.62%)"
"236","Ww Grainger Inc","GWW",0.087586,"716.32",13.77,"(1.96%)"
"237","Xcel Energy Inc","XEL",0.08664,"57.35",0.87,"(1.54%)"
"238","Cencora Inc","COR",0.086429,"183.85",-1.19,"(-0.64%)"
"239","Ppg Industries Inc","PPG",0.086233,"133.13",1.8,"(1.37%)"
"240","L3harris Technologies Inc","LHX",0.08546,"163.89",2.61,"(1.62%)"
"241","Keurig Dr Pepper Inc","KDP",0.085151,"30.07",-0.14,"(-0.46%)"
"242","Arch Capital Group Ltd","ACGL",0.084652,"82.18",0.54,"(0.66%)"
"243","Electronic Arts Inc","EA",0.083434,"122.96",2.17,"(1.80%)"
"244","Global Payments Inc","GPN",0.08313,"114.71",0.59,"(0.52%)"
"245","Allstate Corp","ALL",0.082351,"113.15",0.78,"(0.69%)"
"246","Republic Services Inc","RSG",0.082339,"144.39",0.89,"(0.62%)"
"247","Hershey Co","HSY",0.082087,"195.04",-0.47,"(-0.24%)"
"248","Consolidated Edison Inc","ED",0.081911,"86.35",1.59,"(1.88%)"
"249","Newmont Corp","NEM",0.081013,"37.80",1.45,"(3.99%)"
"250","Kroger Co","KR",0.080656,"43.45",-0.7,"(-1.59%)"
"251","United Rentals Inc","URI",0.080529,"433.30",12.37,"(2.94%)"
"252","Vici Properties Inc","VICI",0.079788,"28.61",0.3,"(1.06%)"
"253","Public Service Enterprise Gp","PEG",0.079124,"57.32",0.76,"(1.34%)"
"254","Gartner Inc","IT",0.077823,"353.60",1.46,"(0.41%)"
"255","West Pharmaceutical Services","WST",0.077116,"377.56",4.83,"(1.30%)"
"256","Vulcan Materials Co","VMC",0.077112,"212.40",5.45,"(2.63%)"
"257","Devon Energy Corp","DVN",0.076907,"43.70",0.85,"(1.98%)"
"258","Lennar Corp A","LEN",0.076865,"109.22",0.58,"(0.53%)"
"259","Cdw Corp/de","CDW",0.076258,"205.63",2.59,"(1.28%)"
"260","Aptiv Plc","APTV",0.074534,"96.97",2.91,"(3.09%)"
"261","Ge Healthcare Technology","GEHC",0.074249,"68.46",0.86,"(1.27%)"
"262","Fortive Corp","FTV",0.073569,"75.46",0.86,"(1.15%)"
"263","Martin Marietta Materials","MLM",0.072775,"432.70",12.45,"(2.96%)"
"264","Diamondback Energy Inc","FANG",0.072704,"151.23",6.11,"(4.21%)"
"265","Kraft Heinz Co","KHC",0.071913,"32.03",-0.29,"(-0.90%)"
"266","Ingersoll Rand Inc","IR",0.071425,"63.42",0.6,"(0.96%)"
"267","Ansys Inc","ANSS",0.070565,"296.51",6.33,"(2.18%)"
"268","Wec Energy Group Inc","WEC",0.070132,"80.63",1.33,"(1.68%)"
"269","Extra Space Storage Inc","EXR",0.069174,"118.52",1.95,"(1.67%)"
"270","Quanta Services Inc","PWR",0.068439,"172.71",4.48,"(2.66%)"
"271","Avalonbay Communities Inc","AVB",0.06677,"172.00",1.74,"(1.02%)"
"272","Mettler Toledo International","MTD",0.066061,"1,081.73",3.48,"(0.32%)"
"273","Delta Air Lines Inc","DAL",0.065611,"37.00",0.56,"(1.54%)"
"274","Dollar General Corp","DG",0.065161,"103.67",-2.71,"(-2.55%)"
"275","Edison International","EIX",0.064972,"62.06",1.37,"(2.26%)"
"276","Keysight Technologies In","KEYS",0.064597,"131.06",1.78,"(1.38%)"
"277","Lyondellbasell Indu Cl A","LYB",0.064472,"90.59",-0.1,"(-0.11%)"
"278","American Water Works Co Inc","AWK",0.064331,"118.85",0.12,"(0.10%)"
"279","T Rowe Price Group Inc","TROW",0.064217,"102.16",0.22,"(0.22%)"
"280","Cardinal Health Inc","CAH",0.06407,"89.93",0.11,"(0.12%)"
"281","Zimmer Biomet Holdings Inc","ZBH",0.063985,"110.91",1.61,"(1.47%)"
"282","Hp Inc","HPQ",0.063655,"25.90",-0.33,"(-1.26%)"
"283","Ebay Inc","EBAY",0.06353,"43.01",0.4,"(0.94%)"
"284","Corning Inc","GLW",0.063437,"29.58",-0.1,"(-0.34%)"
"285","Cbre Group Inc   A","CBRE",0.062755,"72.78",0.49,"(0.68%)"
"286","Warner Bros Discovery Inc","WBD",0.062607,"10.28",0.19,"(1.88%)"
"287","Tractor Supply Company","TSCO",0.062547,"204.47",-0.7,"(-0.34%)"
"288","Dollar Tree Inc","DLTR",0.062114,"105.35",-1.06,"(-1.00%)"
"289","Equifax Inc","EFX",0.062048,"182.22",1.45,"(0.80%)"
"290","Take Two Interactive Softwre","TTWO",0.06203,"140.91",0.71,"(0.51%)"
"291","Church & Dwight Co Inc","CHD",0.061783,"85.99",-4.24,"(-4.70%)"
"292","Illumina Inc","ILMN",0.061483,"140.02",0.59,"(0.42%)"
"293","Steris Plc","STE",0.061472,"224.23",1.77,"(0.80%)"
"294","Weyerhaeuser Co","WY",0.061462,"29.82",-0.2,"(-0.67%)"
"295","Willis Towers Watson Plc","WTW",0.061254,"209.18",0.6,"(0.29%)"
"296","Discover Financial Services","DFS",0.061031,"88.69",1.54,"(1.77%)"
"297","Hewlett Packard Enterprise","HPE",0.060696,"16.83",0.04,"(0.24%)"
"298","Hartford Financial Svcs Grp","HIG",0.060527,"70.97",0.33,"(0.47%)"
"299","Monolithic Power Systems Inc","MPWR",0.060466,"473.68",21.92,"(4.85%)"
"300","Xylem Inc","XYL",0.060276,"90.97",0.83,"(0.92%)"
"301","Fair Isaac Corp","FICO",0.060066,"873.52",10.99,"(1.27%)"
"302","Resmed Inc","RMD",0.059778,"146.59",1.07,"(0.74%)"
"303","Broadridge Financial Solutio","BR",0.059149,"179.69",0.37,"(0.21%)"
"304","Royal Caribbean Cruises Ltd","RCL",0.058617,"90.88",2.11,"(2.38%)"
"305","Sba Communications Corp","SBAC",0.057975,"191.93",0.65,"(0.34%)"
"306","M & T Bank Corp","MTB",0.057493,"124.82",1.46,"(1.18%)"
"307","State Street Corp","STT",0.057376,"65.17",0.9,"(1.40%)"
"308","Genuine Parts Co","GPC",0.056143,"144.06",1.37,"(0.96%)"
"309","Align Technology Inc","ALGN",0.056013,"284.64",4.46,"(1.59%)"
"310","Equity Residential","EQR",0.055921,"59.30",0.83,"(1.42%)"
"311","Coterra Energy Inc","CTRA",0.055598,"26.80",0.69,"(2.64%)"
"312","Dte Energy Company","DTE",0.054582,"95.16",0.96,"(1.02%)"
"313","Entergy Corp","ETR",0.054546,"91.99",0.23,"(0.25%)"
"314","Nvr Inc","NVR",0.05444,"6,049.21",97.53,"(1.64%)"
"315","Dover Corp","DOV",0.054401,"138.89",0.58,"(0.42%)"
"316","Ulta Beauty Inc","ULTA",0.054253,"389.64",0.82,"(0.21%)"
"317","Eversource Energy","ES",0.053998,"55.81",0.6,"(1.09%)"
"318","Molina Healthcare Inc","MOH",0.053466,"333.13",4.04,"(1.23%)"
"319","Ameren Corporation","AEE",0.053081,"74.00",0.75,"(1.02%)"
"320","Baxter International Inc","BAX",0.05246,"36.62",-0.4,"(-1.08%)"
"321","Teledyne Technologies Inc","TDY",0.052392,"401.42",3.32,"(0.83%)"
"322","Fleetcor Technologies Inc","FLT",0.052121,"254.54",2.47,"(0.98%)"
"323","Raymond James Financial Inc","RJF",0.051755,"99.27",0.99,"(1.01%)"
"324","Verisign Inc","VRSN",0.051552,"207.23",2.15,"(1.05%)"
"325","Invitation Homes Inc","INVH",0.051268,"31.97",0.31,"(0.98%)"
"326","Wabtec Corp","WAB",0.051239,"102.93",0.83,"(0.81%)"
"327","Albemarle Corp","ALB",0.050911,"159.84",4.81,"(3.10%)"
"328","Targa Resources Corp","TRGP",0.05023,"81.29",1.14,"(1.42%)"
"329","Howmet Aerospace Inc","HWM",0.050064,"45.96",0.33,"(0.72%)"
"330","Laboratory Crp of Amer Hldgs","LH",0.04988,"201.39",0.6,"(0.30%)"
"331","Firstenergy Corp","FE",0.048839,"34.25",0.47,"(1.39%)"
"332","Factset Research Systems Inc","FDS",0.048257,"452.31",3.12,"(0.69%)"
"333","Hologic Inc","HOLX",0.047621,"69.84",0.45,"(0.65%)"
"334","Jacobs Solutions Inc","J",0.047413,"137.60",3.21,"(2.39%)"
"335","Darden Restaurants Inc","DRI",0.047346,"136.94",-4.17,"(-2.96%)"
"336","Expeditors Intl Wash Inc","EXPD",0.047324,"114.60",0.39,"(0.34%)"
"337","Cboe Global Markets Inc","CBOE",0.047281,"161.65",1.44,"(0.90%)"
"338","Ppl Corp","PPL",0.04717,"23.44",0.48,"(2.09%)"
"339","Centerpoint Energy Inc","CNP",0.047055,"26.87",0.25,"(0.94%)"
"340","Iron Mountain Inc","IRM",0.046771,"58.08",0.78,"(1.36%)"
"341","Brown & Brown Inc","BRO",0.046703,"71.02",0.26,"(0.37%)"
"342","Steel Dynamics Inc","STLD",0.046666,"108.25",1.28,"(1.20%)"
