"","Company","Symbol","Weight","Price","Chg","Pct_chg"
"138","Chipotle Mexican Grill, Inc.","CMG","0.14%","1,831.25",-16.38,"(-0.89%)"
"139","Freeport-Mcmoran Inc.","FCX","0.14%","33.88",-1.35,"(-3.83%)"
"140","Target Corporation","TGT","0.14%","108.83",0.47,"(0.43%)"
"141","Arthur J. Gallagher & Co.","AJG","0.14%","227.57",-3.46,"(-1.50%)"
"142","Hca Healthcare, Inc.","HCA","0.14%","241.13",-2.92,"(-1.20%)"
"143","Moody's Corporation","MCO","0.14%","309.60",-1.98,"(-0.64%)"
"144","Nxp Semiconductors N.v.","NXPI","0.14%","185.76",-2.17,"(-1.15%)"
"145","Parker-Hannifin Corporation","PH","0.13%","372.92",-2.06,"(-0.55%)"
"146","Marriot International Class A","MAR","0.13%","187.97",-4.34,"(-2.26%)"
"147","Amphenol Corporation","APH","0.13%","79.86",-1.03,"(-1.27%)"
"148","3m Company","MMM","0.13%","86.55",-0.51,"(-0.59%)"
"149","Arista Networks","ANET","0.13%","186.11",-5.37,"(-2.80%)"
"150","Motorola Solutions, Inc.","MSI","0.13%","281.25",-0.69,"(-0.24%)"
"151","Valero Energy Corporation","VLO","0.13%","131.18",-1.24,"(-0.94%)"
"152","Pnc Financial Services Group","PNC","0.13%","111.82",-3.84,"(-3.32%)"
"153","Hess Corporation","HES","0.13%","163.02",-3.06,"(-1.84%)"
"154","Transdigm Group Incorporated","TDG","0.13%","822.76",-7.86,"(-0.95%)"
"155","Lululemon Athletica Inc.","LULU","0.13%","395.82",-0.37,"(-0.09%)"
"156","Norfolk Southern Corp.","NSC","0.13%","201.70",1.61,"(0.80%)"
"157","Ford Motor Company","F","0.13%","11.64",0.11,"(0.95%)"
"158","Autozone, Inc.","AZO","0.13%","2,488.55",-6.11,"(-0.24%)"
"159","Charter Comm Inc Del Cl a","CHTR","0.12%","429.65",-6.22,"(-1.43%)"
"160","Occidental Petroleum Corporation","OXY","0.12%","65.18",-1.28,"(-1.93%)"
"161","Autodesk Inc","ADSK","0.12%","202.69",-3.38,"(-1.64%)"
"162","Sempra","SRE","0.12%","68.56",-0.99,"(-1.42%)"
"163","Trane Technologies Plc","TT","0.12%","187.27",-4.05,"(-2.12%)"
"164","American International Group, Inc.","AIG","0.12%","59.52",-1.65,"(-2.70%)"
"165","Welltower Inc.","WELL","0.12%","83.89",-0.03,"(-0.04%)"
"166","Cintas Corp","CTAS","0.12%","498.19",-4.82,"(-0.96%)"
"167","Williams Companies Inc.","WMB","0.12%","34.92",-0.65,"(-1.83%)"
"168","Paccar Inc","PCAR","0.12%","81.58",-0.97,"(-1.18%)"
"169","Aflac Inc.","AFL","0.12%","77.58",-1.97,"(-2.48%)"
"170","Edwards Lifesciences Corp","EW","0.12%","69.48",0.4,"(0.58%)"
"171","Microchip Technology Inc","MCHP","0.12%","75.36",-1.43,"(-1.86%)"
"172","Kimberly-Clark Corp.","KMB","0.12%","123.09",0.23,"(0.19%)"
"173","Carrier Global Corporation","CARR","0.11%","48.28",-0.72,"(-1.47%)"
"174","Public Storage","PSA","0.11%","251.19",-7.31,"(-2.83%)"
"175","Ecolab, Inc.","ECL","0.11%","159.93",-0.41,"(-0.26%)"
"176","General Motors Company","GM","0.11%","29.66",0.33,"(1.13%)"
"177","Oneok, Inc.","OKE","0.11%","67.58",-1.63,"(-2.36%)"
"178","Ross Stores Inc","ROST","0.11%","115.66",-0.59,"(-0.51%)"
"179","Exelon Corporation","EXC","0.11%","39.30",-0.47,"(-1.18%)"
"180","Archer Daniels Midland Company","ADM","0.11%","72.85",-0.99,"(-1.34%)"
"181","Msci, Inc.","MSCI","0.11%","489.74",-7.53,"(-1.51%)"
"182","Hilton Worldwide Holdings Inc.","HLT","0.11%","147.57",-2.74,"(-1.82%)"
"183","Metlife, Inc.","MET","0.11%","60.12",-1.8,"(-2.91%)"
"184","Centene Corporation","CNC","0.11%","71.89",-0.05,"(-0.07%)"
"185","Halliburton Company","HAL","0.11%","42.11",-1.15,"(-2.66%)"
"186","Copart Inc","CPRT","0.11%","43.69",-0.62,"(-1.40%)"
"187","American Electric Power Company, Inc.","AEP","0.11%","73.35",-1.07,"(-1.44%)"
"188","Paychex Inc","PAYX","0.11%","116.00",-2.19,"(-1.85%)"
"189","Constellation Brands, Inc.","STZ","0.10%","230.39",-2.81,"(-1.20%)"
"190","On Semiconductor Corp","ON","0.10%","84.83",-2.18,"(-2.51%)"
"191","The Travelers Companies, Inc.","TRV","0.10%","161.59",-2.35,"(-1.43%)"
"192","Monster Beverage Corporation","MNST","0.10%","49.98",-0.42,"(-0.83%)"
"193","Fortinet, Inc.","FTNT","0.10%","56.36",-1.41,"(-2.44%)"
"194","Te Connectivity Ltd","TEL","0.10%","117.60",-1.75,"(-1.47%)"
"195","Truist Financial Corporation","TFC","0.10%","27.16",-0.9,"(-3.21%)"
"196","Crown Castle Inc.","CCI","0.10%","86.14",0.25,"(0.29%)"
"197","Biogen Inc.","BIIB","0.10%","257.45",0.15,"(0.06%)"
"198","General Mills, Inc.","GIS","0.10%","63.24",0.38,"(0.60%)"
"199","Constellation Energy Corporation","CEG","0.10%","112.10",-2.19,"(-1.92%)"
"200","Corteva, Inc.","CTVA","0.10%","50.26",-0.7,"(-1.37%)"
"201","Nucor Corporation","NUE","0.10%","141.36",-2.39,"(-1.66%)"
"202","Baker Hughes Company","BKR","0.10%","34.84",-0.74,"(-2.08%)"
"203","Old Dominion Freight Line","ODFL","0.10%","393.25",-3.2,"(-0.81%)"
"204","Capital One Financial","COF","0.10%","90.23",-2.47,"(-2.66%)"
"205","Idexx Laboratories Inc","IDXX","0.10%","427.00",1.32,"(0.31%)"
"206","Realty Income Corporation","O","0.10%","49.35",-0.07,"(-0.14%)"
"207","Digital Realty Trust, Inc.","DLR","0.10%","115.81",0.17,"(0.15%)"
"208","Simon Property Group, Inc.","SPG","0.10%","106.15",-0.35,"(-0.33%)"
"209","Dow Inc.","DOW","0.10%","48.99",-0.46,"(-0.93%)"
