"","Company","Symbol","Weight","Price","Chg","Pct_chg"
"47","Danaher Corp","DHR",0.39737,"216.87",0.8,"(0.37%)"
"48","Philip Morris International","PM",0.396713,"91.98",0.65,"(0.71%)"
"49","Conocophillips","COP",0.379803,"113.42",0.09,"(0.08%)"
"50","Caterpillar Inc","CAT",0.378375,"260.80",-4.23,"(-1.60%)"
"51","Verizon Communications Inc","VZ",0.371082,"31.82",0.28,"(0.89%)"
"52","Intl Business Machines Corp","IBM",0.359733,"141.52",0.45,"(0.32%)"
"53","Union Pacific Corp","UNP",0.344991,"200.64",-1.63,"(-0.81%)"
"54","Qualcomm Inc","QCOM",0.343038,"109.80",-0.05,"(-0.05%)"
"55","Honeywell International Inc","HON",0.339116,"180.02",-2.48,"(-1.36%)"
"56","General Electric Co","GE",0.331549,"108.72",-0.13,"(-0.12%)"
"57","S&p Global Inc","SPGI",0.329906,"361.28",-1,"(-0.28%)"
"58","Nike Inc  Cl B","NKE",0.328757,"95.79",-0.1,"(-0.10%)"
"59","Bristol Myers Squibb Co","BMY",0.328343,"56.42",-0.31,"(-0.55%)"
"60","Applied Materials Inc","AMAT",0.327371,"139.28",-0.02,"(-0.01%)"
"61","Lowe S Cos Inc","LOW",0.327308,"199.80",0.21,"(0.11%)"
"62","Servicenow Inc","NOW",0.313213,"547.17",-1.47,"(-0.27%)"
"63","United Parcel Service Cl B","UPS",0.311153,"153.38",-0.34,"(-0.22%)"
"64","Booking Holdings Inc","BKNG",0.304257,"3,018.76",-27.71,"(-0.91%)"
"65","Boeing Co","BA",0.296525,"186.29",-0.44,"(-0.24%)"
"66","At&t Inc","T",0.292883,"14.83",0.18,"(1.23%)"
"67","Starbucks Corp","SBUX",0.292183,"92.37",1.22,"(1.34%)"
"68","Elevance Health Inc","ELV",0.288815,"443.87",5.92,"(1.35%)"
"69","Deere & Co","DE",0.287687,"375.69",-1.31,"(-0.35%)"
"70","Nextera Energy Inc","NEE",0.286689,"49.45",-1.17,"(-2.31%)"
"71","Rtx Corp","RTX",0.285627,"69.38",-0.74,"(-1.06%)"
"72","Intuitive Surgical Inc","ISRG",0.285286,"290.09",-0.19,"(-0.07%)"
"73","Goldman Sachs Group Inc","GS",0.284719,"310.50",1.9,"(0.62%)"
"74","Medtronic Plc","MDT",0.284092,"76.15",-0.12,"(-0.16%)"
"75","Tjx Companies Inc","TJX",0.283158,"87.83",-0.21,"(-0.24%)"
"76","Morgan Stanley","MS",0.282399,"79.15",0.06,"(0.08%)"
"77","Automatic Data Processing","ADP",0.281309,"243.36",-0.62,"(-0.25%)"
"78","Prologis Inc","PLD",0.280255,"109.03",0.61,"(0.56%)"
"79","Marsh & Mclennan Cos","MMC",0.263223,"191.92",0.8,"(0.42%)"
"80","Mondelez International Inc A","MDLZ",0.261486,"65.07",-3.61,"(-5.26%)"
"81","Gilead Sciences Inc","GILD",0.260628,"74.70",-0.04,"(-0.05%)"
"82","Vertex Pharmaceuticals Inc","VRTX",0.254495,"355.14",2.17,"(0.61%)"
"83","Stryker Corp","SYK",0.251751,"264.81",-1.39,"(-0.52%)"
"84","Lockheed Martin Corp","LMT",0.251733,"397.35",-3.98,"(-0.99%)"
"85","Blackrock Inc","BLK",0.249997,"640.30",3.77,"(0.59%)"
"86","Cvs Health Corp","CVS",0.247956,"69.75",0.77,"(1.12%)"
"87","Analog Devices Inc","ADI",0.243874,"172.10",-1.69,"(-0.97%)"
"88","Regeneron Pharmaceuticals","REGN",0.243444,"831.12",16.13,"(1.98%)"
"89","Chubb Ltd","CB",0.238713,"210.76",3.09,"(1.49%)"
"90","American Express Co","AXP",0.237771,"147.09",0.46,"(0.31%)"
"91","The Cigna Group","CI",0.23614,"285.35",0.27,"(0.09%)"
"92","Lam Research Corp","LRCX",0.235903,"625.83",-6.55,"(-1.04%)"
"93","Eaton Corp Plc","ETN",0.233503,"203.18",-6.16,"(-2.94%)"
"94","Progressive Corp","PGR",0.232905,"142.50",0.34,"(0.24%)"
"95","Schlumberger Ltd","SLB",0.22202,"55.40",-0.43,"(-0.77%)"
"96","Zoetis Inc","ZTS",0.22028,"172.00",1.01,"(0.59%)"
"97","Citigroup Inc","C",0.214548,"39.88",0.07,"(0.18%)"
"98","Schwab (Charles) Corp","SCHW",0.213942,"51.06",-0.35,"(-0.68%)"
"99","Boston Scientific Corp","BSX",0.21124,"51.68",0.13,"(0.25%)"
"100","Becton Dickinson and Co","BDX",0.210862,"261.05",1.33,"(0.51%)"
"101","Micron Technology Inc","MU",0.208444,"69.05",0.94,"(1.38%)"
"102","Blackstone Inc","BX",0.207053,"104.19",-0.05,"(-0.05%)"
"103","Altria Group Inc","MO",0.206851,"41.99",0.34,"(0.82%)"
"104","American Tower Corp","AMT",0.205583,"158.71",1.03,"(0.65%)"
"105","Cme Group Inc","CME",0.20473,"207.40",4.16,"(2.05%)"
"106","Palo Alto Networks Inc","PANW",0.202385,"236.78",0.34,"(0.14%)"
"107","T Mobile Us Inc","TMUS",0.200005,"137.43",-0.63,"(-0.46%)"
"108","Southern Co","SO",0.196986,"64.59",-0.03,"(-0.05%)"
"109","Synopsys Inc","SNPS",0.196437,"459.75",-1.57,"(-0.34%)"
"110","Eog Resources Inc","EOG",0.194497,"118.46",-0.9,"(-0.75%)"
"111","Fiserv Inc","FI",0.192732,"113.15",0.18,"(0.16%)"
"112","Equinix Inc","EQIX",0.187477,"720.99",5.06,"(0.71%)"
"113","Activision Blizzard Inc","ATVI",0.187256,"93.67",-0.08,"(-0.09%)"
"114","Duke Energy Corp","DUK",0.185711,"85.48",-0.64,"(-0.74%)"
"115","Aon Plc Class A","AON",0.184501,"325.85",0.89,"(0.27%)"
"116","Paypal Holdings Inc","PYPL",0.179984,"57.48",-1.06,"(-1.81%)"
"117","Cadence Design Sys Inc","CDNS",0.178794,"234.77",-0.28,"(-0.12%)"
"118","Illinois Tool Works","ITW",0.178726,"232.83",0.76,"(0.33%)"
"119","Air Products & Chemicals Inc","APD",0.176949,"279.86",-5.02,"(-1.76%)"
"120","Kla Corp","KLAC",0.176403,"461.08",0.03,"(0.01%)"
"121","Intercontinental Exchange In","ICE",0.174614,"109.69",0.66,"(0.61%)"
"122","Csx Corp","CSX",0.173223,"30.41",-0.44,"(-1.43%)"
"123","Sherwin Williams Co","SHW",0.169623,"253.72",-2.74,"(-1.07%)"
"124","Humana Inc","HUM",0.168462,"488.98",3.2,"(0.66%)"
"125","Fedex Corp","FDX",0.168407,"259.16",-0.89,"(-0.34%)"
"126","Northrop Grumman Corp","NOC",0.168089,"420.07",-2.22,"(-0.53%)"
"127","Mckesson Corp","MCK",0.166878,"445.80",3.77,"(0.85%)"
"128","Colgate Palmolive Co","CL",0.163245,"69.27",-1.29,"(-1.83%)"
"129","Waste Management Inc","WM",0.158821,"154.72",0.76,"(0.49%)"
"130","Marathon Petroleum Corp","MPC",0.158779,"142.28",0.39,"(0.27%)"
"131","Airbnb Inc Class A","ABNB",0.152024,"124.99",-2.42,"(-1.90%)"
"132","Emerson Electric Co","EMR",0.151689,"93.59",-1.07,"(-1.13%)"
"133","O Reilly Automotive Inc","ORLY",0.151674,"900.80",3.6,"(0.40%)"
"134","Roper Technologies Inc","ROP",0.144747,"489.18",1.15,"(0.24%)"
"135","Freeport Mcmoran Inc","FCX",0.143753,"35.37",-0.49,"(-1.37%)"
"136","Chipotle Mexican Grill Inc","CMG",0.143425,"1,861.58",3.59,"(0.19%)"
"137","Nxp Semiconductors Nv","NXPI",0.142986,"195.45",-2.74,"(-1.38%)"
"138","Pioneer Natural Resources Co","PXD",0.140497,"214.96",-0.36,"(-0.17%)"
"139","Amphenol Corp Cl A","APH",0.138884,"82.64",-0.7,"(-0.84%)"
"140","Moody S Corp","MCO",0.138461,"313.99",-0.5,"(-0.16%)"
"141","Parker Hannifin Corp","PH",0.138345,"383.68",-0.91,"(-0.24%)"
"142","Arthur J Gallagher & Co","AJG",0.137902,"229.56",0.3,"(0.13%)"
"143","Phillips 66","PSX",0.137691,"109.48",-1.01,"(-0.91%)"
"144","General Dynamics Corp","GD",0.137613,"216.75",-2.58,"(-1.18%)"
"145","Target Corp","TGT",0.137407,"105.15",-1.47,"(-1.38%)"
"146","Hca Healthcare Inc","HCA",0.137083,"245.43",2.07,"(0.85%)"
"147","Marriott International  Cl A","MAR",0.136589,"194.77",-0.05,"(-0.03%)"
"148","3m Co W/d","MMM",0.136228,"87.83",-0.19,"(-0.22%)"
"149","Us Bancorp","USB",0.136126,"31.87",0.63,"(2.02%)"
"150","Pnc Financial Services Group","PNC",0.13386,"120.38",0.28,"(0.23%)"
"151","Ford Motor Co","F",0.132108,"11.90",-0.09,"(-0.75%)"
"152","Arista Networks Inc","ANET",0.130551,"188.03",2,"(1.08%)"
"153","Carrier Global Corp","CARR",0.12826,"53.51",-1.1,"(-2.01%)"
"154","Motorola Solutions Inc","MSI",0.128165,"273.23",-1,"(-0.36%)"
"155","Trane Technologies Plc","TT",0.128091,"200.82",0.43,"(0.21%)"
"156","Valero Energy Corp","VLO",0.127161,"127.48",-1.19,"(-0.92%)"
"157","Autozone Inc","AZO",0.126919,"2,521.68",24.08,"(0.96%)"
"158","Transdigm Group Inc","TDG",0.126904,"838.93",17.28,"(2.10%)"
"159","Paccar Inc","PCAR",0.12661,"86.23",-0.44,"(-0.51%)"
"160","Autodesk Inc","ADSK",0.123848,"203.96",-3.1,"(-1.50%)"
"161","Charter Communications Inc A","CHTR",0.123331,"431.78",-1.06,"(-0.24%)"
"162","Norfolk Southern Corp","NSC",0.122591,"190.69",-2.27,"(-1.18%)"
"163","Edwards Lifesciences Corp","EW",0.121325,"72.20",0.93,"(1.30%)"
"164","Ecolab Inc","ECL",0.120417,"168.44",-1.17,"(-0.69%)"
"165","General Motors Co","GM",0.119523,"30.31",-0.73,"(-2.35%)"
"166","Welltower Inc","WELL",0.11853,"83.00",1.35,"(1.65%)"
"167","Microchip Technology Inc","MCHP",0.118476,"77.35",-0.42,"(-0.54%)"
"168","American International Group","AIG",0.118264,"60.15",0.79,"(1.33%)"
"169","Cintas Corp","CTAS",0.117199,"481.85",-2.09,"(-0.43%)"
"170","Sempra","SRE",0.117048,"66.25",-0.24,"(-0.36%)"
"171","Aflac Inc","AFL",0.115086,"76.44",0.37,"(0.49%)"
"172","Public Storage","PSA",0.114849,"258.88",-0.17,"(-0.07%)"
"173","Kimberly Clark Corp","KMB",0.114561,"118.49",-2.53,"(-2.09%)"
"174","Constellation Brands Inc A","STZ",0.112572,"241.33",-8.03,"(-3.22%)"
"175","Williams Cos Inc","WMB",0.11197,"33.36",0.43,"(1.31%)"
"176","Occidental Petroleum Corp","OXY",0.111487,"59.42",-0.62,"(-1.03%)"
"177","Msci Inc","MSCI",0.111016,"498.13",-3.46,"(-0.69%)"
"178","Hess Corp","HES",0.110794,"141.94",-1.32,"(-0.92%)"
"179","Hilton Worldwide Holdings In","HLT",0.110509,"149.83",-1.17,"(-0.77%)"
"180","Archer Daniels Midland Co","ADM",0.110231,"73.13",-0.34,"(-0.46%)"
"181","Nucor Corp","NUE",0.109238,"156.43",-0.5,"(-0.32%)"
"182","Monster Beverage Corp","MNST",0.10892,"50.09",-2.24,"(-4.28%)"
"183","On Semiconductor","ON",0.108778,"88.17",-1.82,"(-2.02%)"
"184","Te Connectivity Ltd","TEL",0.10843,"120.93",-2.48,"(-2.01%)"
"185","Crown Castle Inc","CCI",0.108237,"89.81",0.54,"(0.60%)"
"186","Ross Stores Inc","ROST",0.106778,"111.72",-0.27,"(-0.24%)"
"187","Copart Inc","CPRT",0.106348,"44.04",0.31,"(0.71%)"
"188","Metlife Inc","MET",0.106078,"60.29",0.29,"(0.48%)"
"189","Fortinet Inc","FTNT",0.10577,"58.02",-0.24,"(-0.41%)"
"190","American Electric Power","AEP",0.10545,"71.33",-1.96,"(-2.67%)"
"191","Centene Corp","CNC",0.104532,"69.02",0.04,"(0.06%)"
"192","Exelon Corp","EXC",0.104268,"37.41",0,"(0.00%)"
"193","Travelers Cos Inc","TRV",0.104117,"163.88",1.38,"(0.85%)"
"194","Biogen Inc","BIIB",0.104008,"259.77",2.61,"(1.01%)"
"195","Paychex Inc","PAYX",0.103545,"114.87",-0.41,"(-0.36%)"
"196","General Mills Inc","GIS",0.103339,"62.36",-0.74,"(-1.17%)"
"197","Old Dominion Freight Line","ODFL",0.101093,"403.01",-0.15,"(-0.04%)"
"198","Truist Financial Corp","TFC",0.10094,"27.28",0.11,"(0.40%)"
"199","Dow Inc","DOW",0.100707,"49.86",-1.25,"(-2.45%)"
"200","Iqvia Holdings Inc","IQV",0.100671,"197.82",1.39,"(0.71%)"
"201","Idexx Laboratories Inc","IDXX",0.100657,"430.52",-2.69,"(-0.62%)"
"202","Corteva Inc","CTVA",0.100211,"49.83",-0.62,"(-1.23%)"
"203","Oneok Inc","OKE",0.099947,"62.44",1.09,"(1.78%)"
"204","Digital Realty Trust Inc","DLR",0.099594,"117.70",0.14,"(0.12%)"
"205","Johnson Controls Internation","JCI",0.099309,"51.33",-0.83,"(-1.59%)"
"206","Capital One Financial Corp","COF",0.098845,"92.11",-0.5,"(-0.54%)"
"207","Realty Income Corp","O",0.098326,"50.06",0.49,"(0.99%)"
"208","Dominion Energy Inc","D",0.098086,"40.98",-0.99,"(-2.36%)"
"209","Verisk Analytics Inc","VRSK",0.097554,"238.63",-1.3,"(-0.54%)"
"210","Yum  Brands Inc","YUM",0.096874,"121.84",-1.69,"(-1.37%)"
"211","Ametek Inc","AME",0.096699,"148.41",-1.71,"(-1.14%)"
"212","Moderna Inc","MRNA",0.096456,"102.97",-1.29,"(-1.24%)"
"213","Halliburton Co","HAL",0.096236,"38.06",-0.21,"(-0.55%)"
"214","Simon Property Group Inc","SPG",0.095771,"104.54",0.1,"(0.10%)"
"215","Constellation Energy","CEG",0.095543,"107.88",1.72,"(1.62%)"
"216","Cognizant Tech Solutions A","CTSH",0.095461,"67.70",0.16,"(0.24%)"
"217","Kenvue Inc W/i","KVUE",0.095219,"19.76",0.03,"(0.15%)"
"218","Dexcom Inc","DXCM",0.094857,"84.00",-3.7,"(-4.22%)"
"219","Dupont De Nemours Inc","DD",0.094671,"73.65",-0.03,"(-0.04%)"
"220","Baker Hughes Co","BKR",0.092927,"33.35",0.21,"(0.63%)"
"221","Prudential Financial Inc","PRU",0.09264,"91.84",0.65,"(0.71%)"
"222","Rockwell Automation Inc","ROK",0.092596,"286.16",-2.64,"(-0.91%)"
"223","Agilent Technologies Inc","A",0.092562,"110.35",-1.32,"(-1.18%)"
"224","Estee Lauder Companies Cl A","EL",0.092517,"141.39",-0.99,"(-0.70%)"
"225","Otis Worldwide Corp","OTIS",0.092254,"79.14",-0.92,"(-1.15%)"
"226","Ameriprise Financial Inc","AMP",0.091367,"322.31",4.2,"(1.32%)"
"227","Sysco Corp","SYY",0.091176,"63.65",-1.35,"(-2.08%)"
"228","Fidelity National Info Serv","FIS",0.090224,"54.15",-0.15,"(-0.28%)"
"229","Cummins Inc","CMI",0.09022,"225.42",-2.24,"(-0.98%)"
"230","Bank of New York Mellon Corp","BK",0.089882,"41.69",0.45,"(1.09%)"
"231","Keurig Dr Pepper Inc","KDP",0.08925,"30.21",-1.49,"(-4.70%)"
"232","Dr Horton Inc","DHI",0.088933,"103.79",-0.58,"(-0.56%)"
"233","P G & E Corp","PCG",0.088841,"15.34",0.16,"(1.05%)"
"234","Fastenal Co","FAST",0.08809,"54.90",-0.12,"(-0.22%)"
"235","Ppg Industries Inc","PPG",0.087378,"131.33",-1.89,"(-1.42%)"
"236","Costar Group Inc","CSGP",0.087041,"79.49",3.06,"(4.00%)"
"237","Ww Grainger Inc","GWW",0.087015,"702.55",3.72,"(0.53%)"
"238","Kinder Morgan Inc","KMI",0.086964,"16.16",0.13,"(0.81%)"
"239","Xcel Energy Inc","XEL",0.086777,"56.48",-0.15,"(-0.26%)"
"240","L3harris Technologies Inc","LHX",0.086685,"161.28",-2.5,"(-1.53%)"
"241","Cencora Inc","COR",0.085221,"185.04",2.38,"(1.30%)"
"242","Hershey Co","HSY",0.083424,"195.51",-3.41,"(-1.71%)"
"243","Arch Capital Group Ltd","ACGL",0.083339,"81.64",1.18,"(1.47%)"
"244","Electronic Arts Inc","EA",0.083293,"120.79",0.07,"(0.06%)"
"245","Global Payments Inc","GPN",0.082179,"114.12",1.18,"(1.04%)"
"246","Republic Services Inc","RSG",0.082058,"143.50",0.33,"(0.23%)"
"247","Kroger Co","KR",0.082012,"44.15",-0.79,"(-1.76%)"
"248","Allstate Corp","ALL",0.081583,"112.37",0.92,"(0.83%)"
"249","Consolidated Edison Inc","ED",0.081278,"84.76",0.56,"(0.67%)"
"250","United Rentals Inc","URI",0.081059,"420.93",-3.22,"(-0.76%)"
"251","Vici Properties Inc","VICI",0.079813,"28.31",-0.04,"(-0.14%)"
"252","Newmont Corp","NEM",0.078873,"36.35",0.92,"(2.60%)"
"253","Public Service Enterprise Gp","PEG",0.078421,"56.56",0.44,"(0.78%)"
"254","Devon Energy Corp","DVN",0.077717,"42.85",-0.5,"(-1.15%)"
"255","West Pharmaceutical Services","WST",0.077248,"372.73",-1.05,"(-0.28%)"
"256","Cdw Corp/de","CDW",0.077067,"203.04",-2.38,"(-1.16%)"
"257","Lennar Corp A","LEN",0.077011,"108.64",-0.33,"(-0.30%)"
"258","Gartner Inc","IT",0.076668,"352.14",4.84,"(1.39%)"
"259","Aptiv Plc","APTV",0.076349,"94.06",-2.4,"(-2.49%)"
"260","Vulcan Materials Co","VMC",0.07631,"206.95",1.92,"(0.94%)"
"261","Ge Healthcare Technology","GEHC",0.074471,"67.60",-0.28,"(-0.41%)"
"262","Kraft Heinz Co","KHC",0.073968,"32.32",-0.95,"(-2.86%)"
"263","Fortive Corp","FTV",0.072835,"74.60",0.66,"(0.89%)"
"264","Diamondback Energy Inc","FANG",0.072816,"145.12",-0.39,"(-0.27%)"
"265","Martin Marietta Materials","MLM",0.072466,"420.25",1.33,"(0.32%)"
"266","Ingersoll Rand Inc","IR",0.071841,"62.82",-0.44,"(-0.70%)"
"267","Ansys Inc","ANSS",0.070645,"290.18",-0.64,"(-0.22%)"
"268","Wec Energy Group Inc","WEC",0.069981,"79.30",0.08,"(0.10%)"
"269","Quanta Services Inc","PWR",0.06979,"168.23",-3.52,"(-2.05%)"
"270","Extra Space Storage Inc","EXR",0.068978,"116.57",0.2,"(0.17%)"
"271","Mettler Toledo International","MTD",0.066822,"1,078.25",-13.65,"(-1.25%)"
"272","Lyondellbasell Indu Cl A","LYB",0.066398,"90.69",-2.81,"(-3.01%)"
"273","Avalonbay Communities Inc","AVB",0.065931,"170.26",1.96,"(1.16%)"
"274","Dollar General Corp","DG",0.065848,"106.38",-0.65,"(-0.61%)"
"275","Edison International","EIX",0.065477,"60.69",-0.54,"(-0.88%)"
"276","Keysight Technologies In","KEYS",0.065068,"129.28",-1.09,"(-0.84%)"
"277","Delta Air Lines Inc","DAL",0.064853,"36.44",0.38,"(1.05%)"
"278","American Water Works Co Inc","AWK",0.064598,"118.73",-0.62,"(-0.52%)"
"279","Corning Inc","GLW",0.064201,"29.68",-0.39,"(-1.30%)"
"280","Zimmer Biomet Holdings Inc","ZBH",0.06414,"109.30",-0.39,"(-0.36%)"
"281","T Rowe Price Group Inc","TROW",0.064061,"101.94",0.13,"(0.13%)"
"282","Ebay Inc","EBAY",0.06395,"42.61",-0.33,"(-0.77%)"
"283","Warner Bros Discovery Inc","WBD",0.063776,"10.09",-0.2,"(-1.94%)"
"284","Cardinal Health Inc","CAH",0.063348,"89.82",0.91,"(1.02%)"
"285","Hp Inc","HPQ",0.063123,"26.23",0.19,"(0.73%)"
"286","Church & Dwight Co Inc","CHD",0.06296,"90.23",-1.82,"(-1.98%)"
"287","Tractor Supply Company","TSCO",0.062734,"205.17",-0.84,"(-0.41%)"
"288","Equifax Inc","EFX",0.061718,"180.77",0.76,"(0.42%)"
"289","Cbre Group Inc   A","CBRE",0.061713,"72.29",1.12,"(1.57%)"
"290","Take Two Interactive Softwre","TTWO",0.061709,"140.20",0.57,"(0.41%)"
"291","Steris Plc","STE",0.061432,"222.46",-0.1,"(-0.04%)"
"292","Hewlett Packard Enterprise","HPE",0.061423,"16.79",-0.22,"(-1.29%)"
"293","Willis Towers Watson Plc","WTW",0.061189,"208.58",-0.02,"(-0.01%)"
"294","Weyerhaeuser Co","WY",0.061167,"30.02",0.11,"(0.37%)"
"295","Monolithic Power Systems Inc","MPWR",0.061116,"451.76",-5.41,"(-1.18%)"
"296","Discover Financial Services","DFS",0.061103,"87.15",-0.2,"(-0.23%)"
"297","Dollar Tree Inc","DLTR",0.061088,"106.41",1.64,"(1.57%)"
"298","Xylem Inc","XYL",0.060932,"90.14",-1.08,"(-1.18%)"
"299","Illumina Inc","ILMN",0.060926,"139.43",1.11,"(0.80%)"
"300","Resmed Inc","RMD",0.060731,"145.52",-2.49,"(-1.68%)"
"301","Hartford Financial Svcs Grp","HIG",0.060049,"70.64",0.48,"(0.68%)"
"302","Fair Isaac Corp","FICO",0.059887,"862.53",1.68,"(0.20%)"
"303","Broadridge Financial Solutio","BR",0.059126,"179.32",-0.13,"(-0.07%)"
"304","Royal Caribbean Cruises Ltd","RCL",0.058939,"88.77",-0.59,"(-0.66%)"
"305","Align Technology Inc","ALGN",0.058248,"280.18",-11.52,"(-3.95%)"
"306","Sba Communications Corp","SBAC",0.057763,"191.28",0.48,"(0.25%)"
"307","State Street Corp","STT",0.05748,"64.27",-0.19,"(-0.29%)"
"308","M & T Bank Corp","MTB",0.056987,"123.36",0.95,"(0.78%)"
"309","Dte Energy Company","DTE",0.056205,"94.20",-2.91,"(-3.00%)"
"310","Genuine Parts Co","GPC",0.056203,"142.69",-0.32,"(-0.22%)"
"311","Equity Residential","EQR",0.05546,"58.47",0.42,"(0.72%)"
"312","Ulta Beauty Inc","ULTA",0.055185,"388.82",-7.09,"(-1.79%)"
"313","Coterra Energy Inc","CTRA",0.054938,"26.11",0.28,"(1.08%)"
"314","Eversource Energy","ES",0.054816,"55.21",-0.9,"(-1.60%)"
"315","Nvr Inc","NVR",0.054278,"5,951.68",12.14,"(0.20%)"
"316","Dover Corp","DOV",0.054185,"138.31",0.39,"(0.28%)"
"317","Entergy Corp","ETR",0.054044,"91.76",0.74,"(0.81%)"
"318","Molina Healthcare Inc","MOH",0.053234,"329.09",1.09,"(0.33%)"
"319","Teledyne Technologies Inc","TDY",0.052752,"398.10",-3.18,"(-0.79%)"
"320","Ameren Corporation","AEE",0.052722,"73.25",0.42,"(0.58%)"
"321","Wabtec Corp","WAB",0.052634,"102.10",-2.9,"(-2.76%)"
"322","Baxter International Inc","BAX",0.052316,"37.02",0.06,"(0.16%)"
"323","Albemarle Corp","ALB",0.051961,"155.03",-3.37,"(-2.13%)"
"324","Fleetcor Technologies Inc","FLT",0.051908,"252.07",0.75,"(0.30%)"
"325","Verisign Inc","VRSN",0.051346,"205.08",0.58,"(0.28%)"
"326","Raymond James Financial Inc","RJF",0.051229,"98.28",0.89,"(0.91%)"
"327","Invitation Homes Inc","INVH",0.051063,"31.66",0.09,"(0.29%)"
"328","Howmet Aerospace Inc","HWM",0.050106,"45.63",-0.09,"(-0.20%)"
"329","Laboratory Crp of Amer Hldgs","LH",0.049942,"200.79",-0.47,"(-0.23%)"
"330","Targa Resources Corp","TRGP",0.049597,"80.15",0.92,"(1.16%)"
"331","Firstenergy Corp","FE",0.04851,"33.78",0.19,"(0.57%)"
"332","Mccormick & Co Non Vtg Shrs","MKC",0.048005,"65.39",-3.02,"(-4.41%)"
"333","Factset Research Systems Inc","FDS",0.048002,"449.19",1.89,"(0.42%)"
"334","Darden Restaurants Inc","DRI",0.047767,"141.11",-0.09,"(-0.06%)"
"335","Expeditors Intl Wash Inc","EXPD",0.047739,"114.21",-1.13,"(-0.98%)"
